species_as_published,brain_stem_g,prosencephalon_g,ratio_prosencephalon_to_brainstem,cerebellum_g,ratio_cerebellum_to_brainstem,data_role,secondary_source
Frog,0.049,0.048,0.98,,,primary,
Chicken,1.11,1.83,1.65,0.46,0.41,primary,
Turtle,0.197,0.491,2.49,0.038,0.19,primary,
Rat,0.337,1.198,3.56,0.244,0.72,secondary,Donaldson (1924)
Rabbit,1.642,6.118,3.72,1.381,0.84,primary,
Guinea pig,0.671,2.803,4.18,0.532,0.79,primary,
Cat,2.98,20.61,6.92,3.96,1.38,primary,
Dog,6.03,63.52,10.53,7.37,1.22,primary,
Baboon,3.91,142.14,36.35,15.49,3.96,secondary,Riese & Riese (1952)
Man,27.0,1164.0,43.11,144.0,5.33,secondary,Donaldson (1909)
