"species","brain_weight_g","neuron_density_per_mm3","astrocyte_density_per_mm3","gray_matter_thickness_mm","ventricle_1_2_volume_mm3","GI","source"
"Castor canadensis",41.17,NA,NA,1.82,NA,1.02,"Lewitus_etal_2013"
"Hydrochoerus h.",63.5,NA,NA,1.19,NA,1.3,"Lewitus_etal_2013"
"Oryctolagus cuniculus",6.5,NA,NA,0.94,NA,1.15,"Lewitus_etal_2013"
"Erythrocebus patas",105.65,416869,154882,NA,561,1.91,"Lewitus_etal_2013"
"Miopithecus talapoin",39.1,NA,NA,NA,262,1.74,"Lewitus_etal_2013"
"Mandrillus sphinx",NA,263027,138038,1.21,NA,2.14,"Lewitus_etal_2013"
"Lophocebus albigena",103.38,NA,NA,NA,742,1.87,"Lewitus_etal_2013"
"Macaca mulatta",89.22,422149,113783,1.14,834,1.79,"Lewitus_etal_2013"
"Piliocolobus badius",76.75,NA,NA,NA,455,1.81,"Lewitus_etal_2013"
"Pygathrix nemaeus",84.83,NA,NA,NA,911,1.64,"Lewitus_etal_2013"
"Gorilla gorilla",477.44,144544,138038,NA,3608,2.26,"Lewitus_etal_2013"
"Pan troglodytes",392.06,208930,123027,1.25,1899,2.46,"Lewitus_etal_2013"
"Hylobates lar",101.52,NA,NA,NA,555,1.86,"Lewitus_etal_2013"
"Alouatta palliata",52.75,176349,49168,1.31,NA,1.33,"Lewitus_etal_2013"
"Lagothrix lagotricha",95.58,NA,NA,NA,1090,1.97,"Lewitus_etal_2013"
"Callicebus moloch",19,467735,125893,1.11,NA,1.25,"Lewitus_etal_2013"
"Aotus trivirgatus",17.4,410950,59930,1.36,105,1.31,"Lewitus_etal_2013"
"Callimico goeldii",10.95,NA,NA,NA,48,1.26,"Lewitus_etal_2013"
"Callithrix jacchus",7.61,NA,NA,NA,52,1.17,"Lewitus_etal_2013"
"Saguinus midas",10.5,NA,NA,NA,251,1.2,"Lewitus_etal_2013"
"Saimiri sciureus",22.98,478630,117490,1.07,299,1.46,"Lewitus_etal_2013"
"Microcebus murinus",1.85,190546,112202,NA,11,1.1,"Lewitus_etal_2013"
"Cheirogaleus major",6.43,NA,NA,NA,83,1.15,"Lewitus_etal_2013"
"Cheirogaleus medius",3.01,186209,109648,NA,25,1.11,"Lewitus_etal_2013"
"Avahi laniger",10.65,NA,NA,NA,172,1.26,"Lewitus_etal_2013"
"Avahi occidentalis",9.69,NA,NA,NA,74,1.15,"Lewitus_etal_2013"
"Propithecus verreauxi",26.9,NA,NA,NA,231,1.35,"Lewitus_etal_2013"
"Indri indri",37.35,NA,NA,NA,330,1.46,"Lewitus_etal_2013"
"Daubentonia m.",44.89,NA,NA,NA,392,1.25,"Lewitus_etal_2013"
"Eulemur fulvus",28.1,NA,NA,NA,194,1.46,"Lewitus_etal_2013"
"Eulemur mongoz",20.75,234423,138038,1,NA,1.33,"Lewitus_etal_2013"
"Varecia variegata",49.83,NA,NA,NA,299,1.32,"Lewitus_etal_2013"
"Lepilemur ruficaudatus",7.5,NA,NA,NA,77,1.14,"Lewitus_etal_2013"
"Perodicticus potto",13.54,NA,NA,1.03,127,1.27,"Lewitus_etal_2013"
"Loris tardigradus",6.63,NA,NA,NA,52,1.29,"Lewitus_etal_2013"
"Nycticebus coucang",11.73,109648,53703,1.25,142,1.21,"Lewitus_etal_2013"
"Galago senegalensis",4.8,338844,151356,NA,40,1.17,"Lewitus_etal_2013"
"Otolemur crassicaudatus",10.6,NA,NA,NA,147,1.26,"Lewitus_etal_2013"
"Galago demidoff",3.35,NA,NA,NA,30,1.21,"Lewitus_etal_2013"
"Tupaia glis",3.03,131826,107152,0.87,NA,1.06,"Lewitus_etal_2013"
"Capra hircus",106,NA,NA,0.94,NA,2.28,"Lewitus_etal_2013"
"Bos taurus",462,NA,NA,1.32,NA,2.53,"Lewitus_etal_2013"
"Odocoileus virginianus",160,NA,NA,0.84,NA,2.27,"Lewitus_etal_2013"
