data_item_normalised,n_species,n_distinct_refs,dominant_ref_number,n_species_with_dominant,dominant_ref_pct,dominant_ref_citation
neocortex volume,25,3,17,23,92.0,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5
"adult body and brain weight, neonate body and brain weight",18,2,11,17,94.0,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615
cortical thickness,18,2,19,17,94.0,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.
brain weight,18,10,12,7,39.0,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29"
"medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",11,1,24,11,100.0,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70"
resting metabolic rate,11,1,28,11,100.0,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590"
social system,6,6,31,1,17.0,Knoll A (2012) Crocidura russula (On-line).).
weight at weaning,5,2,22,4,80.0,"Godfrey LR, Samonds KE, Jungers WL, Sutherland MR, & Irwin MT (2004) Ontogenetic correlates of diet in Malagasy lemurs. Am. J. Phys. Anthropol. 123(3):250-276"
neurogenic period,4,2,43,3,75.0,"Clancy B, Darlington RB, & Finlay BL (2001) Translating developmental time across mammalian species. Neuroscience 105(1):7-17."
body weight,3,2,44,2,67.0,"Roberts M (1994) Growth, Development, and Parental Care in the Western Tarsier (Tarsius-Bancanus) in Captivity - Evidence for a Slow Life-History and Nonmonogamous Mating System. Int J Primatol 15(1):1-28"
"brain weight , body weight",3,2,58,2,67.0,Byers JA (1999) The distribution of play behaviour among Australian marsupials. J Zool 247:349-356
adult body and brain weight,3,1,26,3,100.0,Crile G & Quiring DP (1940) A Record of the Body Weight and Certain Organ and Gland Weights of 3690 Animals (Ohio Journal of Science).
"adult body and brain weight , neonate body and brain weight",3,1,11,3,100.0,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615
"weight at birth , weight at weaning",2,1,22,2,100.0,"Godfrey LR, Samonds KE, Jungers WL, Sutherland MR, & Irwin MT (2004) Ontogenetic correlates of diet in Malagasy lemurs. Am. J. Phys. Anthropol. 123(3):250-276"
neonatal brain weight,2,2,18,1,50.0,Parker ST & Gibson KR (1994) 'Language' and Intelligence in Monkeys and Apes: Comparative Developmental Perspectives (Cambridge University Press).
"neonatal brain size , neonatal body mass , maternal body mass , litter size , altricial",2,1,23,2,100.0,"Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98"
