species,lewitus_Neocortex_mm3,n_exact,exact_match_tables,verdict,bush_allman_status,bush_allman_closest_rel_diff
Erythrocebus patas,77141.0,2,Sherwood_etal_2003; Stephan_etal_1981,exact in multiple Stephan-lineage tables,not testable - no B&A value for this species,
Miopithecus talapoin,26427.0,0,,no source found in repo,not testable - no B&A value for this species,
Lophocebus albigena,68733.0,1,deSousa_etal_2010x1000,single exact match,not testable - no B&A value for this species,
Macaca mulatta,63482.0,3,Stephan_etal_1970; Stephan_etal_1981; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,"tested, no match",0.2612
Piliocolobus badius,50906.0,0,,no source found in repo,not testable - no B&A value for this species,
Pygathrix nemaeus,48763.0,1,Stephan_etal_1981,single exact match,not testable - no B&A value for this species,
Gorilla gorilla,341444.0,3,Heldstab_etal_2016x1000; Sherwood_etal_2003; Stephan_etal_1981,exact in multiple Stephan-lineage tables,not testable - no B&A value for this species,
Pan troglodytes,291592.0,4,Frahm_etal_1982; Heldstab_etal_2016x1000; Sherwood_etal_2003; Stephan_etal_1981,exact in multiple Stephan-lineage tables,"tested, no match",0.0843
Hylobates lar,65800.0,2,Frahm_etal_1982; Stephan_etal_1981,exact in multiple Stephan-lineage tables,"tested, no match",0.0027
Lagothrix lagothricha,65873.0,2,Frahm_etal_1982; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,not testable - no B&A value for this species,
Aotus trivirgatus,9950.0,3,Frahm_etal_1982; Sherwood_etal_2003; Stephan_etal_1981,exact in multiple Stephan-lineage tables,"tested, no match",0.2995
Callimico goeldii,6476.0,1,Stephan_etal_1981,single exact match,not testable - no B&A value for this species,
Callithrix jacchus,4371.0,3,Frahm_etal_1982; Heldstab_etal_2016x1000; Stephan_etal_1981,exact in multiple Stephan-lineage tables,not testable - no B&A value for this species,
Saguinus midas,5883.0,0,,no source found in repo,not testable - no B&A value for this species,
Saguinus oedipus,5894.0,1,Stephan_etal_1981,single exact match,not testable - no B&A value for this species,
Saimiri sciureus,15541.0,3,Frahm_etal_1982; Heldstab_etal_2016x1000; Stephan_etal_1981,exact in multiple Stephan-lineage tables,"tested, no match",0.0901
Microcebus murinus,740.0,2,Stephan_etal_1981; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,"tested, no match",0.0676
Cheirogaleus major,2938.0,2,Stephan_etal_1981; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,not testable - no B&A value for this species,
Cheirogaleus medius,1221.0,2,Stephan_etal_1981; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,"tested, no match",0.1646
Avahi laniger,4813.0,1,deSousa_etal_2010x1000,single exact match,not testable - no B&A value for this species,
Avahi occidentalis,4443.0,0,,no source found in repo,not testable - no B&A value for this species,
Propithecus verreauxi,13170.0,5,Frahm_etal_1982; Heldstab_etal_2016x1000; Sherwood_etal_2003; Stephan_etal_1981; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,"tested, no match",0.0744
Indri indri,20114.0,3,Frahm_etal_1982; Stephan_etal_1981; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,not testable - no B&A value for this species,
Daubentonia madagascariensis,22127.0,3,Sherwood_etal_2003; Stephan_etal_1970; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,"tested, no match",0.0807
Eulemur fulvus,12207.0,1,deSousa_etal_2010x1000,single exact match,not testable - no B&A value for this species,
Varecia variegata,15293.0,1,deSousa_etal_2010x1000,single exact match,not testable - no B&A value for this species,
Lepilemur ruficaudatus,3282.0,3,Frahm_etal_1982; Stephan_etal_1981; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,not testable - no B&A value for this species,
Perodicticus potto,6683.0,4,Sherwood_etal_2003; Stephan_etal_1970; Stephan_etal_1981; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,"tested, no match",0.3192
Loris tardigradus,3524.0,3,Sherwood_etal_2003; Stephan_etal_1981; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,not testable - no B&A value for this species,
Nycticebus coucang,6.192,1,deSousa_etal_2010,single exact match,"tested, no match",0.9986
Galago senegalensis,2139.0,4,Sherwood_etal_2003; Stephan_etal_1970; Stephan_etal_1981; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,"tested, no match",0.266
Otolemur crassicaudatus,4723.0,2,Sherwood_etal_2003; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,"tested, no match",0.2225
Galagoides demidoff,1568.0,2,Frahm_etal_1982; deSousa_etal_2010x1000,exact in multiple Stephan-lineage tables,not testable - no B&A value for this species,
