Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,species binomial as printed (from the printed table's species column headings),,Species,,info,Cetacea (4 species),Lyamin_etal_2008_Table2,printed Table 2 has species as COLUMNS and parameters as rows; the snapshot transposes it to species-as-rows (folder ReadMe),"printed Table 2 column headings, p. 1455"
common_name,"common name as printed, lowercased in the clean CSV",,,,info,Cetacea (4 species),Lyamin_etal_2008_Table2,,printed Table 2 column headings
n_animals,number of animals contributing to the species column,,Count,n,info,Cetacea (4 species),Lyamin_etal_2008_Table2,"6 bottlenose dolphins; 1 each of harbor porpoise, Amazon river dolphin, beluga - single-animal columns for three of four species",printed Table 2 row 'Number of animals'
sex,"sex composition of the animals recorded, as printed",,Sex,,info,Cetacea (4 species),Lyamin_etal_2008_Table2,,printed Table 2 row 'Sex'
age,"age or age class of the animals, as printed",,Age,,info,Cetacea (4 species),Lyamin_etal_2008_Table2,"the Amazon river dolphin was a calf of a few weeks and was recorded immediately after electrode surgery under diazepam, which is known to induce USWS - its values are the least comparable of the four","printed Table 2 row 'Age'; caveat in the text, p. 1456"
total_sws_pct,total slow-wave sleep (SWS) time as a percentage of the 24-hour day,whole-organism,Sleep.pct,point,primary,Cetacea (4 species),Lyamin_etal_2008_Table2,"printed footnote e: total SWS is LESS than left-hemisphere SWS plus right-hemisphere SWS, because cetaceans have unihemispheric SWS and episodes of bilateral sleep with EEG asymmetry - the two hemisphere columns overlap and must never be summed","printed Table 2 row 'Total SWS time' under the heading 'Amount of (% of 24-h)', with footnote e, p. 1455"
sws_left_hemisphere_pct,"SWS recorded in the LEFT cerebral hemisphere, as a percentage of the 24-hour day",whole-organism,Sleep.pct,point,primary,Cetacea (4 species),Lyamin_etal_2008_Table2,per-hemisphere amounts differ between individuals within a 24 h period,printed Table 2 row 'SWS left hemisphere'
sws_right_hemisphere_pct,"SWS recorded in the RIGHT cerebral hemisphere, as a percentage of the 24-hour day",whole-organism,Sleep.pct,point,primary,Cetacea (4 species),Lyamin_etal_2008_Table2,,printed Table 2 row 'SWS in right hemisphere'
low_amp_usws_pct_tst,low-amplitude unihemispheric slow-wave sleep (USWS) as a percentage of total sleep time (TST),whole-organism,Sleep.pct,point,primary,Cetacea (4 species),Lyamin_etal_2008_Table2,USWS = a state in which slow-wave EEG is recorded in one hemisphere (alternately left or right) while EEG desynchronization is recorded simultaneously in the other (Mukhametov's definition). TST = total sleep time. This and the four rows below are the composition of SWS and sum to about 100% of TST,"printed Table 2 row 'Low amplitude USWS' under the heading 'Composition of SWS (% of TST)'; USWS definition quoted in sec. 2.3, p. 1453"
high_amp_usws_pct_tst,high-amplitude USWS as a percentage of total sleep time,whole-organism,Sleep.pct,point,primary,Cetacea (4 species),Lyamin_etal_2008_Table2,low- plus high-amplitude USWS is what the project's USWS_pctTST term sums; across these species USWS is 70-90% of total sleep time,"printed Table 2 row 'High amplitude USWS'; 70-90% figure in the text, p. 1456"
asymmetrical_sws_pct_tst,asymmetrical (but bilateral) SWS as a percentage of total sleep time - high-voltage slow waves in one hemisphere with low-voltage slow waves in the other,whole-organism,Sleep.pct,point,primary,Cetacea (4 species),Lyamin_etal_2008_Table2,"distinct from USWS: both hemispheres show slow waves, at different amplitudes. Together with bilateral SWS this occupies the remaining 10-30% of total sleep time","printed Table 2 row 'Asymmetrical SWS'; description in the text, p. 1456"
low_amp_bilateral_sws_pct_tst,low-amplitude bilateral SWS as a percentage of total sleep time,whole-organism,Sleep.pct,point,primary,Cetacea (4 species),Lyamin_etal_2008_Table2,,printed Table 2 row 'Low amplitude bilateral SWS'
high_amp_bilateral_sws_pct_tst,high-amplitude bilateral SWS as a percentage of total sleep time,whole-organism,Sleep.pct,point,primary,Cetacea (4 species),Lyamin_etal_2008_Table2,essentially absent: 0.0 in three species and 0.2 in the beluga,printed Table 2 row 'High amplitude bilateral SWS'
reference,"primary study for that species column, from the printed per-column footnotes a-d",,Source,,info,Cetacea (4 species),Lyamin_etal_2008_Table2,"a Mukhametov et al. (1988); b Mukhametov and Polyakova (1981); c Mukhametov (1987); d Lyamin et al. (2002b) - Lyamin et al. 2008 is a review, the measurer of each column is this reference","printed Table 2 footnotes a-d, p. 1455"
SWS_total_pct,project standardized term: total slow-wave sleep as a per cent of the 24-hour day,whole-organism,Sleep.pct,point,primary,Cetacea (4 species),Lyamin_etal_2008_Table2,"project standardized term; per cent of 24 h, NOT per cent of total sleep time - do not pool with percent-of-sleep terms",derived in __merging_sleep/sleep_compiled.R from column total_sws_pct
USWS_pctTST,"project standardized term: unihemispheric slow-wave sleep as a per cent of total sleep time, computed as low-amplitude USWS + high-amplitude USWS",whole-organism,Sleep.pct,point,primary,Cetacea (4 species),Lyamin_etal_2008_Table2,"project standardized term; a derived sum of two printed rows, not a printed value. Distinct construct from the free-text USWS field in Capellini_etal_2008_sleep-data - never pool the two",derived in __merging_sleep/sleep_compiled.R as low_amp_usws_pct_tst + high_amp_usws_pct_tst
Method,"chronic EEG recording from both cerebral hemispheres in captive cetaceans using the tethered wire/harness technique, scored for unihemispheric versus bilateral slow-wave sleep",whole-organism,,,method,Cetacea (4 species),Lyamin_etal_2008_Table2,"no REM column exists: the paper argues cetaceans show a negligible amount or complete absence of classical REM sleep, and that absence is itself the finding. Animals were in shallow pools or movement-restricted; conditions differ between the four columns","review paper secs. 2.3 and 3, pp. 1453-1456"
