applies_to,field,value,source_in_paper,note
Lyamin_etal_2008_Table1,species_identification_confidence,medium,"Table 1, ""Bottlenose dolphin""","Tursiops aduncus is also called bottlenose dolphin. T. truncatus is taken from the cited primary, Mukhametov and Lyamin (1997), whose captive stock was T. truncatus. Every other common name in Tables 1 and 2 maps to a monotypic genus or an unambiguous binomial."
Lyamin_etal_2008_Table2,species_identification_confidence,medium,"Table 2, ""Bottlenose dolphin""",as above
Lyamin_etal_2008_Table1,number_of_jerks_comparability,not a comparable quantity,"Table 1, ""Number of jerks"" column","The printed values use incompatible denominators: totals over a stated period, per-day rates, a mean with SD, upper bounds, per-individual splits, and one qualitative entry (""a few/night""). Kept verbatim as text and not coerced to numeric."
Lyamin_etal_2008_Table2,hemispheric_sums,left + right exceeds the printed total,"Table 2, ""Amount of (% of 24-h)"" block","Expected, not an error. In unihemispheric sleep the hemispheres sleep separately, so time asleep in one hemisphere is not time asleep in the animal. The printed sums exceed the printed totals by 4.0, 15.3, 16.0 and 11.0 percentage points; that difference is the bilateral overlap."
Lyamin_etal_2008_Table2,composition_check,sums to 100% of TST,"Table 2, ""Composition of SWS (% of TST)"" block","The five composition figures sum to 100.0, 100.0, 99.9 and 100.0 for the four species. The build asserts this."
Lyamin_etal_2008_Table2,footnote_a,per-column source citation,"Table 2 footnote a","Mukhametov et al. (1988). Full bibliography entry not yet typed up - see the open item in _START_HERE.md."
Lyamin_etal_2008_Table2,footnote_b,per-column source citation,"Table 2 footnote b","Mukhametov and Polyakova (1981). Full bibliography entry not yet typed up."
Lyamin_etal_2008_Table2,footnote_c,per-column source citation,"Table 2 footnote c","Mukhametov (1987). Full bibliography entry not yet typed up."
Lyamin_etal_2008_Table2,footnote_d,per-column source citation,"Table 2 footnote d","Lyamin et al. (2002b). Full bibliography entry not yet typed up."
Lyamin_etal_2008_Table1,secondary_data,all rows are secondary,"Table 1, ""Reference"" column","Every row cites an earlier study; none of these counts were made in this paper. Two rows cite Lyamin and Siegel (unpublished data) and one cites Shpak et al. (in press), so those have no retrievable source at all. Flagged in the CSV as reference_unpublished and reference_in_press."
