status,species_key,species_file,species_csv,n_specimens_cmp,n_specimens_csv,n_measure_mismatch,n_digest_self_mismatch,mean_note,brain_cmp,cerebellum_cmp,vermis_cmp,hemisphere_cmp,brain_cmp_from_specimens,cerebellum_cmp_from_specimens,vermis_cmp_from_specimens,hemisphere_cmp_from_specimens,brain_csv,cerebellum_csv,vermis_csv,hemisphere_csv,brain_match,brain_digest_eq_own_specimens,cerebellum_match,cerebellum_digest_eq_own_specimens,vermis_match,vermis_digest_eq_own_specimens,hemisphere_match,hemisphere_digest_eq_own_specimens
matched_by_species,alouatta seniculus,Alouatta seniculus,Alouatta seniculus,2,2,0,0,means agree,37.4,4.1499999999999995,1.4500000000000002,2.7,37.400000000000006,4.15,1.4500000000000002,2.7,37.4,4.15,1.4500000000000002,2.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,4,4,0,0,means agree,19.125,1.75,0.9,0.9500000000000002,19.125,1.75,0.9,0.95,19.125,1.75,0.9,0.95,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,ateles paniscus,Ateles paniscus,Ateles paniscus,3,3,0,0,means agree,90.7,10.366666666666669,3.033333333333333,7.3,90.7,10.366666666666667,3.033333333333333,7.300000000000001,90.7,10.366666666666665,3.033333333333333,7.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cebus apella,Cebus apella,Cebus apella,4,4,0,0,means agree,66.45,6.449999999999999,1.825,4.6499999999999995,66.45,6.45,1.825,4.65,66.45,6.45,1.825,4.65,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cebus sp.,Cebus sp.,Cebus sp.,2,2,0,0,means agree,76.5,7.05,2.3499999999999996,4.699999999999998,76.5,7.05,2.35,4.699999999999999,76.5,7.05,2.35,4.699999999999999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercocebus albigena,Cercocebus albigena,Cercocebus albigena,1,1,0,0,means agree,112,11.7,4,7.7,112,11.7,4,7.7,112,11.7,4,7.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercocebus torquatus atys,Cercocebus torquatus atys,Cercocebus torquatus atys,4,4,0,0,means agree,98.85000000000001,8.65,2.3,6.375,98.85,8.65,2.3,6.375,98.85,8.65,2.3,6.375,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercopithecus sp.,Cercopithecus sp.,Cercopithecus sp.,2,2,0,0,means agree,64,6.199999999999998,2.6500000000000004,3.4499999999999997,64,6.199999999999999,2.6500000000000004,3.45,64,6.199999999999999,2.6500000000000004,3.45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,erythrocebus patas,Erythrocebus patas,Erythrocebus patas,1,1,0,0,means agree,89,7.9,2.7,5.2,89,7.9,2.7,5.2,89,7.9,2.7,5.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,gorilla gorilla,Gorilla gorilla,Gorilla gorilla,5,5,0,0,means agree,401.28000000000003,59.38,6.3,53.1,401.28,59.38,6.3,53.1,401.28,59.38,6.3,53.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,homo sapiens,Homo sapiens,Homo sapiens,14,14,0,0,means agree,1265.1142857142856,139.15714285714287,11.75,127.38571428571426,1265.1142857142856,139.15714285714284,11.75,127.38571428571429,1265.1142857142856,139.15714285714284,11.75,127.38571428571429,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,hylobates lar,Hylobates lar,Hylobates lar,9,9,0,0,means agree,91.36666666666667,12.18888888888889,2.1555555555555554,10.033333333333333,91.36666666666666,12.188888888888888,2.1555555555555554,10.033333333333333,91.36666666666666,12.188888888888888,2.1555555555555554,10.033333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,macaca mulatta,Macaca mulatta,Macaca mulatta,8,8,0,0,means agree,90.55714285714285,7.825,2.537499999999999,5.250000000000001,90.55714285714286,7.825,2.5375,5.25,90.55714285714286,7.825,2.5375,5.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
