Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
code,specimen series code number (Düsseldorf collection) as printed in Table I,,,info,,,Matano_etal_1999_Table1,used for the printed row order; taxonomy applied later via ../_keys/Stephan/,STUB - verify against printed table
Species,species name as printed in Matano & Ohta 1999,,,info,,,Matano_etal_1999_Table1,journal names kept; taxonomy applied later,STUB
n,number of specimens (sample size),,,n,primary,Prosimians,Matano_etal_1999_Table1,Specimens column; blank in print means 1,STUB
body_weight_g,body weight in g (BoW),Body_weight,Mass.g,,secondary,Prosimians,Matano_etal_1999_Table1,re-used body weights (largely Stephan et al. 1981),STUB
MCN_mm3,volume of the medial cerebellar nucleus in mm3,Medial_cerebellar_nuclei,Vol.mm3,,primary,Prosimians,Matano_etal_1999_Table1,vermis zone; match Structure name to Matano_etal_1985_a,STUB
ICN_mm3,volume of the interposed (interpositus) cerebellar nucleus in mm3,Interpositus_cerebellar_nuclei,Vol.mm3,,primary,Prosimians,Matano_etal_1999_Table1,pars intermedius zone,STUB
LCN_mm3,volume of the lateral (dentate) cerebellar nucleus in mm3,Lateral_cerebellar_nuclei,Vol.mm3,,primary,Prosimians,Matano_etal_1999_Table1,hemisphere zone,STUB
VPo_mm3,volume of the ventral pons in mm3,Ventral_pons,Vol.mm3,,primary,Prosimians,Matano_etal_1999_Table1,match Structure name to Matano_etal_1985_b,STUB
IOP_mm3,volume of the inferior olive principal nucleus in mm3,Inferior_olive_principal,Vol.mm3,,primary,Prosimians,Matano_etal_1999_Table1,confirm structure naming with _keys/Stephan anatomy_key,STUB
IOA_mm3,volume of the inferior olive accessory nuclei in mm3,Inferior_olive_accessory,Vol.mm3,,primary,Prosimians,Matano_etal_1999_Table1,confirm structure naming,STUB
VC_mm3,volume of the vestibular nuclear complex in mm3,Vestibular_complex,Vol.mm3,,primary,Prosimians,Matano_etal_1999_Table1,CHECK LATERALITY vs Baron_etal_1988 (one-side) before merge; register in laterality_known.csv,STUB
Method:size_indices,"Table I also prints size indices / ratios; these are derived (allometric/relative) and are NOT transcribed here; recompute downstream with body weights from Stephan et al. 1981.",,,method,,,Matano_etal_1999_Table1,per-nucleus regressions in the paper,STUB
