Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Record_ID,row index as printed (ID column); NOT a species key -- many species have multiple records,,,,info,Mammals,MedinaGonzález__2026_SupplementaryFile3,printed row order preserved,
species_printed / Species,"species name exactly as printed in the source (""Specie"" column)",,,,info,Mammals,MedinaGonzález__2026_SupplementaryFile3,printed name preserved (invariant 3),
species_sci,accepted scientific binomial; resolved via _keys/species_reference.csv + _keys/Stephan/species_key.csv,,,,info,Mammals,MedinaGonzález__2026_SupplementaryFile3,all 182 rows resolved directly (no unmatched names),
Order,taxonomic order as printed,,,,info,Mammals,MedinaGonzález__2026_SupplementaryFile3,,
Posture,limb posture class,limb,category,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,Plantigrade / Digitigrade / Sub-unguligrade / Unguligrade / Mixed,
Body_mass_kg,"body mass, kg as printed",whole-organism,Mass.kg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,source units,
Body_mass_g,body mass converted to project unit (g),whole-organism,Mass.g,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,= Body_mass_kg * 1000,
Body_mass_ln,natural log of body mass as printed,whole-organism,Mass.ln,point,secondary,Mammals,MedinaGonzález__2026_SupplementaryFile3,derived by source authors; kept for provenance,
Body_mass_class,categorical body-mass bin printed alongside the continuous value,whole-organism,category,point,secondary,Mammals,MedinaGonzález__2026_SupplementaryFile3,Small / Medium / Large / Very large,
Top_speed_class,reported top-speed class,whole-organism,category,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,Slow / Medium / Fast; no continuous top-speed value given,
Locomotor_habit,locomotor habit class,whole-organism,category,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,Arboreal / Cursorial / Scansorial / Terrestrial; duplicated with justification in SupplementaryFile2,
Shoulder_TD_deg,"Shoulder joint angle at touchdown (forelimb), degrees",limb,angle.deg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,sagittal-plane video analysis / published sources,
Shoulder_MS_deg,"Shoulder joint angle at midstance (forelimb), degrees",limb,angle.deg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,sagittal-plane video analysis / published sources,
Shoulder_TO_deg,"Shoulder joint angle at toe-off (forelimb), degrees",limb,angle.deg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,sagittal-plane video analysis / published sources,
Elbow_TD_deg,"Elbow joint angle at touchdown (forelimb), degrees",limb,angle.deg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,sagittal-plane video analysis / published sources,
Elbow_MS_deg,"Elbow joint angle at midstance (forelimb), degrees",limb,angle.deg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,sagittal-plane video analysis / published sources,
Elbow_TO_deg,"Elbow joint angle at toe-off (forelimb), degrees",limb,angle.deg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,sagittal-plane video analysis / published sources,
Wrist_TD_deg,"Wrist joint angle at touchdown (forelimb), degrees",limb,angle.deg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,sagittal-plane video analysis / published sources,
Wrist_MS_deg,"Wrist joint angle at midstance (forelimb), degrees",limb,angle.deg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,sagittal-plane video analysis / published sources,
Wrist_TO_deg,"Wrist joint angle at toe-off (forelimb), degrees",limb,angle.deg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,sagittal-plane video analysis / published sources,
Hip_TD_deg,"Hip joint angle at touchdown (hindlimb), degrees",limb,angle.deg,point,primary,Mammals,MedinaGonzález__2026_SupplementaryFile3,sagittal-plane video analysis / published sources,
