Species,n,Hearing range low (kHz),Hearing range high (kHz),Best sensitivity low (kHz),Best sensitivity high (kHz),Footnote,Method,Reference
T. truncatus,1,0.75,150,7,130,,Behaviour,"Johnson (1966, 1967)"
T. truncatus,42,10,150,10,80,a,Physiology,Houser and Finneran (2006b)
P. phocoena,1,1,150,2,140,,Behaviour,Andersen (1970)
P. phocoena,1,0.250,180,4,150,,Behaviour,Kastelein et al. (2002)
O. orca,1,0.5,31,5,30,,Behaviour,Hall and Johnson (1972)
O. orca,2,4,100,12,52,,Behaviour,Szymanski et al. (1999)
O. orca,2,1,100,16,45,b,Physiology,Szymanski et al. (1999)
I. geoffrensis,1,1,105,10,50,,Behaviour,Jacobs and Hall (1972)
D. leucas,2,1,130,15,110,,Behaviour,White et al. (1978)
D. leucas,4,0.125,8,4,8,c,Behaviour,Awbrey et al. (1988)
D. leucas,1,8,128,27,107,,Physiology,Klishin et al. (2000)
D. leucas,2,2,130,14,90,,Behaviour,Finneran et al. (2005)
D. leucas,1,8,128,22,90,,Physiology,Mooney et al. (2008)
T. truncatus gilli,1,2,135,25,110,,Behaviour,Ljungblad et al. (1982)
T. truncatus gilli,13,10,150,20,130,a,Physiology,Houser et al. (2008)
P. crassidens,1,2,115,16,64,,Behaviour,Thomas et al. (1988)
P. crassidens,1,4,45,7,27,,Behaviour,Yuen et al. (2005)
P. crassidens,1,4,45,6.7,27,b,Physiology,Yuen et al. (2005)
L. vexillifer,1,1,200,10,65,,Behaviour,Wang et al. (1992)
G. griseus,1,1.6,110,4,80,,Behaviour,Nachtigall et al. (1995)
G. griseus,1,4,150,8,108,,Physiology,Nachtigall et al. (2005)
S. fluviatilis guianensis,1,4,135,16,105,,Behaviour,Sauerland and Dehnhardt (1998)
S. coeruleoalba,1,32,120,0.5,160,,Behaviour,Kastelein et al. (2003)
N. phocaenoides,2,8,152,32,139,,Physiology,Popov et al. (2005)
M. europaeus,1,10,80,40,80,,Physiology,Cook et al. (2006)
M. europaeus,1,20,90,20,80,,Physiology,Finneran et al. (2009)
L. albirostris,2,16,181,32,128,,Physiology,Nachtigall et al. (2008)
G. melas,1,22.5,50,4,100,,Physiology,Pacini et al. (2010)
S. bredanensis,14,10,120,,,unclear,Physiology,Mann et al. (2010)
M. densirostris,1,5.6,160,40,50,,Physiology,Pacini et al. (2011)
F. attenuata,2,5,120,20,60,,Physiology,Montie et al. (2011)
