"species","species_as_published","suborder","superfamily","family","spindle_cells","spindle_cells_present","n_specimens","source"
NA,"Eulemur fulvus","Prosimii","Lemuroidea","Lemuridae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Lemur catta","Prosimii","Lemuroidea","Lemuridae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Propithecus verreauxi","Prosimii","Lemuroidea","Indridae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Cheirogaleus medius","Prosimii","Lemuroidea","Cheirogaleidae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Microcebus murinus","Prosimii","Lemuroidea","Cheirogaleidae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Galago senegalensis","Prosimii","Loroidea","Galagonidae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Galagoides demidoff","Prosimii","Loroidea","Galagonidae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Loris tardigradus","Prosimii","Loroidea","Lorisidae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Nycticebus coucang","Prosimii","Loroidea","Lorisidae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Perodicticus potto","Prosimii","Loroidea","Lorisidae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Tarsius syrichta","Prosimii","Tarsioidea","Tarsiidae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Callithrix jacchus","Anthropoidea","Ceboidea","Callithricidae","None",FALSE,2,"Nimchinsky_etal_1999"
NA,"Aotus trivirgatus","Anthropoidea","Ceboidea","Cebidae","None",FALSE,2,"Nimchinsky_etal_1999"
NA,"Cebus apella","Anthropoidea","Ceboidea","Cebidae","None",FALSE,4,"Nimchinsky_etal_1999"
NA,"Saimiri sciureus","Anthropoidea","Ceboidea","Cebidae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Macaca fascicularis","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,8,"Nimchinsky_etal_1999"
NA,"Macaca fuscata","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,4,"Nimchinsky_etal_1999"
NA,"Macaca mulatta","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,4,"Nimchinsky_etal_1999"
NA,"Macaca nemestrina","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,4,"Nimchinsky_etal_1999"
NA,"Macaca nigra","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,4,"Nimchinsky_etal_1999"
NA,"Erythrocebus patas","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,4,"Nimchinsky_etal_1999"
NA,"Papio hamadryas cynocephalus","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,1,"Nimchinsky_etal_1999"
NA,"Hylobates lar","Anthropoidea","Hominoidea","Hylobatidae","None",FALSE,4,"Nimchinsky_etal_1999"
NA,"Pongo pygmaeus","Anthropoidea","Hominoidea","Pongidae","Rare",TRUE,1,"Nimchinsky_etal_1999"
NA,"Gorilla gorilla gorilla","Anthropoidea","Hominoidea","Hominidae","Frequent",TRUE,5,"Nimchinsky_etal_1999"
NA,"Pan troglodytes","Anthropoidea","Hominoidea","Hominidae","Abundant",TRUE,8,"Nimchinsky_etal_1999"
NA,"Pan paniscus","Anthropoidea","Hominoidea","Hominidae","Abundant/clusters",TRUE,1,"Nimchinsky_etal_1999"
NA,"Homo sapiens","Anthropoidea","Hominoidea","Hominidae","Abundant/clusters",TRUE,6,"Nimchinsky_etal_1999"
