"Common_name_Nudo1995","Species_Nudo1995","species_sci","Body_Mass.g","Brain_Mass.mg","Neocortex_SurfaceArea.mm2","parse_flags"
"Albino rat","Rattus norvegicus","Rattus norvegicus",268,1500,152,NA
"Nine-banded armadillo","Dasypus novemcinctus","Dasypus novemcinctus",5000,7540,308,NA
"Lesser bushbaby","Galago senegalensis","Galago senegalensis",160,2400,436,NA
"Domestic cat","Felis catus","Felis catus",3068,19080,2301,NA
"Eastern gray squirrel","Sciurus carolinensis","Sciurus carolinensis",400,4930,388,NA
"13-lined ground squirrel","Citellus tridecemlineatus","Spermophilus tridecemlineatus",150,1530,188,NA
"West African hedgehog","Erinaceus albiventris","Atelerix albiventris",410,1300,81,NA
"European hedgehog","E. europaeus","Erinaceus europaeus",315,2260,193,NA
"Desert hedgehog","Hemiechinus auritus","Hemiechinus auritus",203,965,119,NA
"Rock hyrax","Procavia capensis","Procavia capensis",2500,12420,836,NA
"Least shrew","Cryptotis parva","Cryptotis parva",8,80,18,NA
"Common marmoset","Callithrix jacchus","Callithrix jacchus",287,5480,892,NA
"Eastern American mole","Scalopus aquaticus","Scalopus aquaticus",53,570,87,NA
"Green monkey","Cercopithecus aethiops","Chlorocebus aethiops",1370,36540,3616,NA
"Crab-eating macaque","Macaca fascicularis","Macaca fascicularis",1932,38030,5548,NA
"Rhesus macaque","M. mulatta","Macaca mulatta",3300,53700,7546,NA
"Squirrel monkey","Saimiri sciureus","Saimiri sciureus",691,17040,2150,NA
"North American opossum","Didelphis virginiana","Didelphis virginiana",2727,4360,316,NA
"Gray, short-tailed opossum","Monodelphis domesticus","Monodelphis domestica",83,790,68,NA
"Rabbit","Oryctolagus cuniculus","Oryctolagus cuniculus",5230,7570,634,NA
"Raccoon","Procyon lotor","Procyon lotor",4091,31870,3669,NA
"Slow loris","Nycticebus coucang","Nycticebus coucang",965,7880,837,NA
"Tree shrew","Tupaia glis","Tupaia glis",230,2480,290,NA
"Pine vole","Pitymys pinetorum","Microtus pinetorum",16,370,55,NA
