accepted_name,source_publication,variant_name
Rattus norvegicus,Nudo1995,Rattus norvegicus
Dasypus novemcinctus,Nudo1995,Dasypus novemcinctus
Galago senegalensis,Nudo1995,Galago senegalensis
Felis catus,Nudo1995,Felis catus
Sciurus carolinensis,Nudo1995,Sciurus carolinensis
Spermophilus tridecemlineatus,Nudo1995,Citellus tridecemlineatus
Atelerix albiventris,Nudo1995,Erinaceus albiventris
Erinaceus europaeus,Nudo1995,E. europaeus
Hemiechinus auritus,Nudo1995,Hemiechinus auritus
Procavia capensis,Nudo1995,Procavia capensis
Cryptotis parva,Nudo1995,Cryptotis parva
Callithrix jacchus,Nudo1995,Callithrix jacchus
Scalopus aquaticus,Nudo1995,Scalopus aquaticus
Chlorocebus aethiops,Nudo1995,Cercopithecus aethiops
Macaca fascicularis,Nudo1995,Macaca fascicularis
Macaca mulatta,Nudo1995,M. mulatta
Saimiri sciureus,Nudo1995,Saimiri sciureus
Didelphis virginiana,Nudo1995,Didelphis virginiana
Monodelphis domestica,Nudo1995,Monodelphis domesticus
Oryctolagus cuniculus,Nudo1995,Oryctolagus cuniculus
Procyon lotor,Nudo1995,Procyon lotor
Nycticebus coucang,Nudo1995,Nycticebus coucang
Tupaia glis,Nudo1995,Tupaia glis
Microtus pinetorum,Nudo1995,Pitymys pinetorum
Rattus norvegicus,Nudo1995,R.n.
Dasypus novemcinctus,Nudo1995,D.n.
Galago senegalensis,Nudo1995,G.s.
Felis catus,Nudo1995,F.c.
Sciurus carolinensis,Nudo1995,S.c.
Spermophilus tridecemlineatus,Nudo1995,C.t.
Atelerix albiventris,Nudo1995,E.a.
Erinaceus europaeus,Nudo1995,E.e.
Hemiechinus auritus,Nudo1995,H.a.
Procavia capensis,Nudo1995,P.c.
Cryptotis parva,Nudo1995,C.p.
Callithrix jacchus,Nudo1995,C.j.
Scalopus aquaticus,Nudo1995,S.a.
Chlorocebus aethiops,Nudo1995,C.a.
Macaca fascicularis,Nudo1995,M.f.
Macaca mulatta,Nudo1995,M.m.
Saimiri sciureus,Nudo1995,S.s.
Didelphis virginiana,Nudo1995,D.v.
Monodelphis domestica,Nudo1995,M.d.
Oryctolagus cuniculus,Nudo1995,O.c.
Procyon lotor,Nudo1995,P.l.
Nycticebus coucang,Nudo1995,N.c.
Tupaia glis,Nudo1995,T.g.
Microtus pinetorum,Nudo1995,P.p.
