Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Order_Nudo1995,taxonomic order exactly as printed in TABLE 3,,,,info,9 mammalian orders (the 24 species of TABLE 2 pooled by order),Nudo_etal_1995_TABLE3,the row key; there is no species column,"TABLE 3 prints ""Lagomorpha"" where TABLES 2/4/5 print ""Lagamorpha"""
n_species,number of TABLE 2 species pooled into this order,,Count,n,info,9 mammalian orders (the 24 species of TABLE 2 pooled by order),Nudo_etal_1995_TABLE3,sums to 24 across the 9 orders,"printed header ""# Species"""
mean_CS_somata_total,unweighted mean of CS_somata_total over the order's species,Neocortex,Count,mean,secondary,9 mammalian orders (the 24 species of TABLE 2 pooled by order),Nudo_etal_1995_TABLE3,"recomputes exactly from TABLE 2 - derived, never merge as independent data","printed header ""Mean # CSN""; footnote 1: stereologically corrected values"
mean_CS_somata_A,unweighted mean of CS_somata_A over the order's species,Neocortex (CS region A),Count,mean,secondary,9 mammalian orders (the 24 species of TABLE 2 pooled by order),Nudo_etal_1995_TABLE3,recomputes exactly from TABLE 2,region A = frontal + parietal cortex; roughly M1 + premotor + SMA + S1 + posterior parietal
mean_CS_somata_B,unweighted mean of CS_somata_B over the order's species,Neocortex (CS region B),Count,mean,secondary,9 mammalian orders (the 24 species of TABLE 2 pooled by order),Nudo_etal_1995_TABLE3,recomputes exactly from TABLE 2,region B = roughly the second somatosensory area (SII)
mean_CS_somata_C,unweighted mean of CS_somata_C over the order's species,Neocortex (CS region C),Count,mean,secondary,9 mammalian orders (the 24 species of TABLE 2 pooled by order),Nudo_etal_1995_TABLE3,non-zero for Primates only,region C = arcuate (lateral) premotor area; present in primates only
mean_CS_somata_Cprime,unweighted mean of CS_somata_Cprime over the order's species,Neocortex (CS region Cprime),Count,mean,secondary,9 mammalian orders (the 24 species of TABLE 2 pooled by order),Nudo_etal_1995_TABLE3,non-zero for Rodentia and Lagomorpha only,region C' = rostral forelimb area; present in the four rodents and the rabbit only
mean_CS_somata_pct_A,unweighted mean of the per-species CS_somata_pct_A,Neocortex (CS region A),pct,mean,secondary,9 mammalian orders (the 24 species of TABLE 2 pooled by order),Nudo_etal_1995_TABLE3,"mean of percentages, not a pooled percentage - recomputes exactly from TABLE 2",region A = frontal + parietal cortex; roughly M1 + premotor + SMA + S1 + posterior parietal
mean_CS_somata_pct_B,unweighted mean of the per-species CS_somata_pct_B,Neocortex (CS region B),pct,mean,secondary,9 mammalian orders (the 24 species of TABLE 2 pooled by order),Nudo_etal_1995_TABLE3,"mean of percentages, not a pooled percentage - recomputes exactly from TABLE 2",region B = roughly the second somatosensory area (SII)
parse_flags,printed cells that could not be parsed or that fail a sanity check,,,,note,9 mammalian orders (the 24 species of TABLE 2 pooled by order),Nudo_etal_1995_TABLE3,0 of 9 rows flagged,printed values are never corrected (sec 7)
