Species group,Species,Linear magnification factor (mm cortex/deg),Acuity from ganglion cell density (cycles/deg),Ratio (cycles/mm)
species with well-developed retinogeniculate pathway,human,15,60,4
species with well-developed retinogeniculate pathway,marmoset,2,12,6
species with well-developed retinogeniculate pathway,aotus,1.2,9,7.5
species with well-developed retinogeniculate pathway,agouti,0.8,9,11
species with well-developed retinogeniculate pathway,cat,1,12,12
species with well-developed retinogeniculate pathway,Tammar wallaby,0.4,6,15
species with well-developed retinogeniculate pathway,ferret,0.2,4,20
species with well-developed retinogeniculate pathway,flying fox,0.2,5,25
species with dominant retinotectal pathway,guinea pig,0.06,1.8,30
species with dominant retinotectal pathway,hedgehog,0.03,1,33
species with dominant retinotectal pathway,mouse,0.03,1,33
species with dominant retinotectal pathway,rabbit,0.15,6,40
species with dominant retinotectal pathway,platypus,0.03,1.8,60
