Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
component,"brain-structure abbreviation, one row per structure",,Structure,,primary,Carnivora,Pirlot_Jiao_1985_Table1,Same Pirlot-lab code set as Kamiya_Pirlot_1988 (confirmed p.19 Table 1 footnote: 'BO = bulbus olfactorius; N neocortex; RH = rhinencephalon; S or septum; D = diencephalon; St = striatum; H = hippocampus; M = mesencephalon; C = cerebellum; O = medulla oblongata'),
BO,"Bulbus olfactorius - absolute volume (mm3) and percent of total brain, one column-pair per species",Bulbus olfactorius,volume,value mm3 + percent of total brain,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
N,"Neocortex - absolute volume (mm3) and percent of total brain, one column-pair per species",Neocortex,volume,value mm3 + percent of total brain,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
RH,"Rhinencephalon - absolute volume (mm3) and percent of total brain, one column-pair per species",Rhinencephalon,volume,value mm3 + percent of total brain,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
S,"Septum - absolute volume (mm3) and percent of total brain, one column-pair per species",Septum,volume,value mm3 + percent of total brain,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
D,"Diencephalon - absolute volume (mm3) and percent of total brain, one column-pair per species",Diencephalon,volume,value mm3 + percent of total brain,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
ST,"Striatum - absolute volume (mm3) and percent of total brain, one column-pair per species",Striatum,volume,value mm3 + percent of total brain,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
H,"Hippocampus - absolute volume (mm3) and percent of total brain, one column-pair per species",Hippocampus,volume,value mm3 + percent of total brain,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
M,"Mesencephalon - absolute volume (mm3) and percent of total brain, one column-pair per species",Mesencephalon,volume,value mm3 + percent of total brain,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
C,"Cerebellum - absolute volume (mm3) and percent of total brain, one column-pair per species",Cerebellum,volume,value mm3 + percent of total brain,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
O,"Medulla oblongata - absolute volume (mm3) and percent of total brain, one column-pair per species",Medulla oblongata,volume,value mm3 + percent of total brain,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
panda,"column pair = Ailuropoda melanoleuca (giant panda, one male, ~7 yr)",,Species,,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
raccoon,"column pair = Procyon lotor (raccoon, one female)",,Species,,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
bear,"column pair = Ursus americanus (black bear, one male juvenile)",,Species,,primary,Carnivora,Pirlot_Jiao_1985_Table1,,
source,registry item key,,,,provenance,Carnivora,Pirlot_Jiao_1985_Table1,,
