Variable,Definition,Topic,Measure,Units,Data role,Taxon,Item name,N.B.,Source
species,"Common genus name as printed in the paper (Cynocephalus, Iomys, Glaucomys, or Pteropodids average)",Taxonomy,Species,,provenance,Mammals,Pirlot_Kamiya_1982_Table1,,Table 1
species_sci,"Best-available scientific name for the individual specimen; Pteropodids is an average across 7 species, not a single binomial",Taxonomy,Species_sci,,provenance,Mammals,Pirlot_Kamiya_1982_Table1,"Cynocephalus variegatus per text (""the species in our material being presumably C. variegatus""); Iomys horsfieldii and Glaucomys sabrinus per text",Methods section
specimen_type,"individual = single perfused specimen (n=1 per genus); species-average = Pteropodids row, averaged across 7 species from Stephan et al. (1974), not a specimen",provenance,Specimen_type,,provenance,Mammals,Pirlot_Kamiya_1982_Table1,"Glaucomys specimen was immature (small testes noted in text)",Materials
body_weight_g,Body weight of the individual specimen in grams,Body,Body_Mass.g,g,primary,Mammals,Pirlot_Kamiya_1982_Table1,Blank for the Pteropodids average row (not printed per-species here),Materials
brain_weight_g,Brain weight of the individual specimen in grams,Brain,Brain_Mass.g,g,primary,Mammals,Pirlot_Kamiya_1982_Table1,Blank for the Pteropodids average row,Materials
brain_component_code,"Abbreviation as printed: BO bulbus olfactorius; N neocortex; RH rhinencephalon; S septum; D diencephalon; St striatum; H hippocampus; M mesencephalon; C cerebellum; O medulla oblongata; Sz schizocortex",Brain,Component_code,,provenance,Mammals,Pirlot_Kamiya_1982_Table1,,Table 1 footnote
brain_component_name,Full name of the brain component,Brain,Component_name,,provenance,Mammals,Pirlot_Kamiya_1982_Table1,,Table 1 footnote
pct_of_total_brain,Component volume as a percentage of total brain volume,Brain,PctOfBrain,%,primary,Mammals,Pirlot_Kamiya_1982_Table1,"Each species' 11 components sum to 100.00%, verified",Table 1
volume_mm3,"Absolute volume of the component, mm3 (unit inferred from house convention for this lineage of Stephan/Pirlot papers; not printed explicitly in this table, but consistent with the group's other volumetric tables)",Brain,Volume.mm3,mm3,primary,Mammals,Pirlot_Kamiya_1982_Table1,Blank for the Pteropodids row (printed only as a range),Table 1
volume_mm3_min,"Low end of the printed range for the Pteropodids average row only",Brain,Volume.mm3,mm3,secondary,Mammals,Pirlot_Kamiya_1982_Table1,"Range across the 7 pteropodid species averaged, from Stephan et al. (1974)",Table 1
volume_mm3_max,"High end of the printed range for the Pteropodids average row only",Brain,Volume.mm3,mm3,secondary,Mammals,Pirlot_Kamiya_1982_Table1,,Table 1
total_brain_volume_mm3,"Total brain volume for the specimen/group (or range for Pteropodids), mm3",Brain,TotalBrainVolume.mm3,mm3,primary,Mammals,Pirlot_Kamiya_1982_Table1,"Independently verified: sum of the 11 component volumes matches the printed total within rounding (max 0.2 mm3 off)",Table 1
