Table 1. Percentage composition of the Dugong brain
Component,Volumes,% total brain,% telencephalon
N,127460.42,57.17,78.16
RH,22549.38,10.11,13.82
S,1629.19,0.73,1.00
D,15643.63,7.01,-
St,9386.18,4.21,5.75
H,2074.54,0.93,1.27
M,2863.77,1.28,-
C,32651.51,14.64,-
O,8743.52,3.92,-
Total,223002.14,100.00,100.00

For abbreviations see text: N neocortex; RH rhinencephalon; S septum; D diencephalon; St striatum; H hippocampus; M mesencephalon; C cerebellum; O medulla oblongata.
Single specimen (n=1), Dugong dugong. % telencephalon shown only for the 5 components that are subdivisions of the telencephalon (N RH S St H); "-" printed for non-telencephalic components (D M C O).
