species,component,absolute_volume_mm3,percent_total_brain
Ornithorhynchus anatinus,Neo,4099.28,47.83
Tachyglossus aculeatus,Neo,11372.4,42.79
Didelphis marsupialis,Neo,1442.88,22.24
Ornithorhynchus anatinus,Scz,121.34,1.41
Tachyglossus aculeatus,Scz,396.9,1.49
Didelphis marsupialis,Scz,,
Ornithorhynchus anatinus,Hip,506.16,5.9
Tachyglossus aculeatus,Hip,1773.5,6.65
Didelphis marsupialis,Hip,527.88,8.14
Ornithorhynchus anatinus,Sep,52.33,0.61
Tachyglossus aculeatus,Sep,108.6,0.41
Didelphis marsupialis,Sep,59.82,0.92
Ornithorhynchus anatinus,Pal,505.56,5.89
Tachyglossus aculeatus,Pal,5374.5,20.33
Didelphis marsupialis,Pal,779.75,12.02
Ornithorhynchus anatinus,Bul,71.37,0.83
Tachyglossus aculeatus,Bul,835.8,3.14
Didelphis marsupialis,Bul,572.13,8.82
Ornithorhynchus anatinus,Str,478.21,5.58
Tachyglossus aculeatus,Str,1553.5,5.68
Didelphis marsupialis,Str,240.3,3.7
Ornithorhynchus anatinus,Di,1050.97,12.27
Tachyglossus aculeatus,Di,1768.3,6.64
Didelphis marsupialis,Di,607.82,9.37
Ornithorhynchus anatinus,Mes,163.56,1.91
Tachyglossus aculeatus,Mes,686.7,2.58
Didelphis marsupialis,Mes,373.03,5.75
Ornithorhynchus anatinus,CbI,919.55,10.74
Tachyglossus aculeatus,CbI,1589.3,5.98
Didelphis marsupialis,CbI,839.07,12.93
Ornithorhynchus anatinus,Med,663.56,7.74
Tachyglossus aculeatus,Med,686.7,2.58
Didelphis marsupialis,Med,572.13,8.82
Ornithorhynchus anatinus,Mesocortex,,
Tachyglossus aculeatus,Mesocortex,,
Didelphis marsupialis,Mesocortex,473.08,7.29
