"Code","Definition","Structure","Measure","Stat","role","taxon","Reference","Note","Source Note"
"Species","accepted binomial as printed (Homo sapiens, Pan troglodytes, Pan paniscus, Gorilla gorilla, Pongo pygmaeus, Hylobates lar)","","","","info","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","printed name preserved (invariant)",""
"n_individuals","number of individuals per species (Table 1 only; parenthetical after species name)","","","","info","Hominidae + Hylobatidae","Schenker_etal_2005_Table1","",""
"Individual","printed individual identifier (Appendix 1 only): anonymized human index (human1-human10) or Yerkes-derived house name for nonhuman hominoids","","","","info","Hominidae + Hylobatidae","Schenker_etal_2005_Appendix1","see specimen registration note in Appendix1 README",""
"Age_years","age in years as printed; integer","","","","info","Hominidae + Hylobatidae","Schenker_etal_2005_Appendix1","",""
"Sex","M/F as printed","","","","info","Hominidae + Hylobatidae","Schenker_etal_2005_Appendix1","",""
"Rearing_history","HR = human-reared; MR = mother-reared; N/A = not available (all humans, and all gibbons)","","","","info","Hominidae + Hylobatidae","Schenker_etal_2005_Appendix1","footnote: all ape individuals captive-born except Lulu and Bo (wild-born, most likely mother-reared)",""
"dorsal_cortex","dorsal sector of frontal lobe cortex","dorsal frontal cortex","Vol.cm3","mean/SE","primary","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","dorsal+mesial+orbital sum to frontal_cortex","MRI (Brainvox 3D reconstruction, manual tracing)"
"mesial_cortex","mesial sector of frontal lobe cortex","mesial frontal cortex","Vol.cm3","mean/SE","primary","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","dorsal+mesial+orbital sum to frontal_cortex","MRI (Brainvox 3D reconstruction, manual tracing)"
"orbital_cortex","orbital sector of frontal lobe cortex","orbital frontal cortex","Vol.cm3","mean/SE","primary","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","dorsal+mesial+orbital sum to frontal_cortex","MRI (Brainvox 3D reconstruction, manual tracing)"
"frontal_cortex","total frontal lobe cortex (Appendix 1 only; = dorsal+mesial+orbital cortex, within stated rounding tolerance)","frontal cortex","Vol.cm3","value","secondary","Hominidae + Hylobatidae","Schenker_etal_2005_Appendix1","not printed in Table 1 as a standalone column",""
"dorsal_GWM","gyral white matter underlying the dorsal frontal sector","dorsal frontal gyral white matter","Vol.cm3","mean/SE","primary","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","dorsal+mesial+orbital GWM sum to total frontal gyral white matter","MRI (Brainvox 3D reconstruction, manual tracing)"
"mesial_GWM","gyral white matter underlying the mesial frontal sector","mesial frontal gyral white matter","Vol.cm3","mean/SE","primary","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","dorsal+mesial+orbital GWM sum to total frontal gyral white matter","MRI (Brainvox 3D reconstruction, manual tracing)"
"orbital_GWM","gyral white matter underlying the orbital frontal sector","orbital frontal gyral white matter","Vol.cm3","mean/SE","primary","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","dorsal+mesial+orbital GWM sum to total frontal gyral white matter","MRI (Brainvox 3D reconstruction, manual tracing)"
"frontal_core","frontal lobe core white matter and subcortical structures (basal ganglia etc.) remaining after cortex and gyral white matter are removed","frontal core white matter","Vol.cm3","mean/SE","primary","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","ape MRI resolution did not allow accurate subcortical segmentation, so subcortical structures are folded into this value in nonhuman hominoids",""
"temporal_cortex","temporal lobe cortex (includes amygdala and hippocampus)","temporal cortex","Vol.cm3","mean/SE","primary","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","",""
"temporal_GWM","gyral white matter underlying the temporal cortex","temporal gyral white matter","Vol.cm3","mean/SE","primary","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","",""
"temporal_core","temporal lobe core white matter (no subcortical structures other than amygdala/hippocampus, which are counted under temporal_cortex)","temporal core white matter","Vol.cm3","mean/SE","primary","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","",""
"Method:units","Printed values are cm3, both hemispheres combined; stored here unchanged (no unit conversion applied)","","","","method","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","",""
"Method:segmentation","Brains reconstructed in 3D with Brainvox; cortex/gyral white matter/core white matter boundaries traced manually on coronal sections per hemisphere; ape MRI resolution precluded subcortical segmentation, so subcortical structures are folded into frontal_core (and, in the temporal lobe, temporal_core)","","","","method","Hominidae + Hylobatidae","Schenker_etal_2005_Table1; Schenker_etal_2005_Appendix1","",""
