"measure_printed","unit","1","2","3","4","5","6","7","8","9","10","11","12","13"
"Oblongata","mm3","323","583","793","914","1131","2196","2353","2975","3230","—","1744","4336","4303"
"Kleinhirn","mm3","412","819","1896","2703","3038","5547","7017","8473","8330","—","6292","11721","13589"
"Mittelhirn","mm3","627","607","926","947","1037","1794","2221","2404","2550","—","1830","2751","3097"
"Zwischenhirn","mm3","649","1159","1431","2037","1971","3088","3148","3569","4360","—","3346","6106","5951"
"Endhirn","mm3","7664","13477","21190","29293","30599","48181","55279","55749","63890","—","59356","91907","103470"
"Neocortex","mm3","6220","11329","18397","26100","26977","41740","48098","48718","56190","—","52655","81125","92616"
"Striatum","mm3","342","510","663","769","861","1582","1736","1876","2090","—","1599","2733","2893"
"Allocortex","mm3","1102","1647","2130","2424","2761","4859","5444","5156","5620","—","5101","8049","7961"
"(Periv. Matrix)","mm3","351","399","360","310","216","20","—","—","—","—","—","—","—"
"Bulbus olfact.","mm3","150","319","351","516","850","914","1332","1381","1600","—","1242","2774","3440"
"Riechhirn + NA","mm3","677","969","1175","1280","1535","2921","2976","2902","2980","—","2852","3935","3987"
"Nichtolf. Alloc.","mm3","425","678","955","1144","1226","1939","2468","2254","2640","—","2249","4114","3974"
"Septum","mm3","96","126","163","183","161","209","273","295","300","—","336","413","237"
"Ammonshorn","mm3","247","351","511","628","855","1429","1866","1491","1770","—","1372","3211","3137"
"Schizocortex","mm3","82","201","281","334","211","300","330","468","560","—","542","490","600"
"Gesamthirnvolumen","mm3","9600","16650","26240","35890","37800","60800","70000","73100","82360","—","72570","117000","125400"
