"Species","Species_Semendeferi2000","Specimen","taxon_concept","WholeBrain_Vol.mm3","Cerebellum_Vol.mm3","Hemispheres_Vol.mm3","Frontal_Vol.mm3","Temporal_Vol.mm3","Insula_Vol.mm3","ParietoOccipital_Vol.mm3","Core_Vol.mm3"
"Homo sapiens","Human","Human 1","",1369500,152600,1216900,440200,210000,16600,460600,89500
"Homo sapiens","Human","Human 2","",1381500,149300,1218400,462100,229600,18800,418400,89500
"Homo sapiens","Human","Human 3","",1231100,144400,1086700,397000,215900,14600,379000,82900
"Homo sapiens","Human","Human 4","",1274900,159000,1115900,399000,211700,17700,392400,95100
"Homo sapiens","Human","Human 5","",1489600,167900,1321700,508500,252500,19000,444000,97700
"Homo sapiens","Human","Human 6","",1477900,159500,1318400,461300,232900,18000,510400,95800
"Homo sapiens","Human","Human 7","",1608400,171200,1437200,551100,261500,16900,508900,98800
"Homo sapiens","Human","Human 8","",1372000,133400,1238600,461400,234600,16500,447200,78900
"Homo sapiens","Human","Human 9","",1315000,152400,1162600,423400,176400,15200,463700,83900
"Homo sapiens","Human","Human 10","",1382900,161200,1221700,443800,207100,20300,463300,87200
"Pan paniscus","Bonobo","Bonobo 1","",333600,48500,285100,105600,44900,3500,104700,26400
"Pan paniscus","Bonobo","Bonobo 2","",356900,47700,309200,105000,53200,4100,116100,30800
"Pan paniscus","Bonobo","Bonobo 3","",318300,41100,277200,93800,46600,3400,106600,26800
"Pan troglodytes","Chimpanzee","Chimpanzee 1","",322100,41900,280200,99700,47100,2600,99000,31800
"Pan troglodytes","Chimpanzee","Chimpanzee 2","",242400,34900,207500,74100,35300,2500,76500,19100
"Pan troglodytes","Chimpanzee","Chimpanzee 3","",269800,34900,234900,85000,38900,2700,85700,22600
"Pan troglodytes","Chimpanzee","Chimpanzee 4","",304900,35100,269800,89800,51100,3500,101300,24100
"Pan troglodytes","Chimpanzee","Chimpanzee 5","",437500,55300,382200,133400,64300,4000,144300,36200
"Pan troglodytes","Chimpanzee","Chimpanzee 6","",348600,45200,303400,101200,52200,3000,114500,32500
"Gorilla gorilla","Gorilla","Gorilla 1","",358600,53600,305000,107600,42500,3500,118600,32800
"Gorilla gorilla","Gorilla","Gorilla 2","",491600,84900,406700,142000,57000,7100,166500,34100
"Pongo pygmaeus","Orang-utan","Orang-utan 1","Pongo pygmaeus (s.l.)",456000,61000,395000,142000,63200,5900,139200,44700
"Pongo pygmaeus","Orang-utan","Orang-utan 2","Pongo pygmaeus (s.l.)",508500,52700,455800,169300,74800,4300,165100,42300
"Pongo pygmaeus","Orang-utan","Orang-utan 3","Pongo pygmaeus (s.l.)",436900,49200,387700,142800,72300,5300,132000,35300
"Pongo pygmaeus","Orang-utan","Orang-utan 4","Pongo pygmaeus (s.l.)",371300,45200,326100,115100,52400,3700,118800,36100
"Hylobates sp.","Gibbon","Gibbon 1","",79500,8500,71000,19500,13700,800,28000,9000
"Hylobates sp.","Gibbon","Gibbon 2","",92600,13500,79100,23400,14900,700,29600,10500
"Hylobates sp.","Gibbon","Gibbon 3","",78500,10000,68500,18600,13000,700,27300,8900
"Hylobates sp.","Gibbon","Gibbon 4","",78500,10700,67800,19800,12500,600,27300,7600
