"student_species","paper_species","column","status","student_value","paper_value"
"Acinonyx jubatus","Acinonyx jubatus","VA","agree","23.02","23.02"
"Acinonyx jubatus","Acinonyx jubatus","MT","agree","A","A"
"Cuniculus paca","Agouti paca","VA","agree","2.80","2.8"
"Cuniculus paca","Agouti paca","MT","agree","A","A"
"Alouatta caraya","Alouatta caraya","VA","agree","59.61","59.61"
"Alouatta caraya","Alouatta caraya","MT","agree","A","A"
"Aotus azarae","Aotus azarae","VA","agree","8.30","8.3"
"Aotus azarae","Aotus azarae","MT","agree","A","A"
"Aotus trivirgatus","Aotus trivirgatus","VA","agree","10.00","10"
"Aotus trivirgatus","Aotus trivirgatus","MT","agree","B","B"
"Artibeus cinereus","Artibeus cinereus","VA","agree","1.40","1.4"
"Artibeus cinereus","Artibeus cinereus","MT","agree","A","A"
"Artibeus jamaicensis","Artibeus jamaicensis","VA","MISMATCH","0.17","0.167"
"Artibeus jamaicensis","Artibeus jamaicensis","MT","agree","B","B"
"Bos taurus","Bos taurus","VA","agree","10.31","10.31"
"Bos taurus","Bos taurus","MT","agree","A","A"
"Callithrix jacchus","Callithrix jacchus","VA","agree","30.00","30"
"Callithrix jacchus","Callithrix jacchus","MT","agree","A","A"
"Camelus bactrianus","Camelus bactrianus","VA","agree","10.00","10"
"Camelus bactrianus","Camelus bactrianus","MT","agree","B","B"
"Camelus dromedarius","Camelus dromedarius","VA","agree","10.40","10.4"
"Camelus dromedarius","Camelus dromedarius","MT","agree","A","A"
"Canis lupus","Canis lupus","VA","agree","14.57","14.57"
"Canis lupus","Canis lupus","MT","agree","A","A"
"Capra hircus","Capra hircus","VA","agree","8.43","8.43"
"Capra hircus","Capra hircus","MT","agree","A","A"
"Carollia perspicillata","Carollia perspicillata","VA","agree","0.94","0.94"
"Carollia perspicillata","Carollia perspicillata","MT","agree","A","A"
"Cebus apella","Cebus apella","VA","agree","54.75","54.75"
"Cebus apella","Cebus apella","MT","agree","A","A"
"Cheirogaleus medius","Cheirogaleus medius","VA","agree","2.84","2.84"
"Cheirogaleus medius","Cheirogaleus medius","MT","agree","A","A"
"Chlorocebus aethiops","Chlorocebus aethiops","VA","agree","55.23","55.23"
"Chlorocebus aethiops","Chlorocebus aethiops","MT","agree","A","A"
"Choloepus didactylus","Choloepus didactylus","VA","agree","1.54","1.54"
"Choloepus didactylus","Choloepus didactylus","MT","agree","A","A"
"Crocuta crocuta","Crocuta crocuta","VA","agree","8.40","8.4"
"Crocuta crocuta","Crocuta crocuta","MT","agree","A","A"
"Dama dama","Dama dama","VA","agree","18.48","18.48"
"Dama dama","Dama dama","MT","agree","A","A"
"Dasyprocta leporina","Dasyprocta leoporina","VA","agree","6.21","6.21"
"Dasyprocta leporina","Dasyprocta leoporina","MT","agree","A","A"
"Dasyurus hallucatus","Dasyurus hallucatus","VA","agree","2.80","2.8"
"Dasyurus hallucatus","Dasyurus hallucatus","MT","agree","B","B"
"Desmodus rotundus","Desmodus rotundus","VA","MISMATCH","0.63","0.625"
"Desmodus rotundus","Desmodus rotundus","MT","agree","B","B"
"Diceros bicornis","Diceros bicornis","VA","agree","6.00","6"
"Diceros bicornis","Diceros bicornis","MT","agree","A","A"
"Didelphis marsupialis","Didelphis marsupialis","VA","agree","1.25","1.25"
"Didelphis marsupialis","Didelphis marsupialis","MT","agree","A","A"
"Didelphis virginiana","Didelphis virginiana","VA","agree","2.49","2.49"
"Didelphis virginiana","Didelphis virginiana","MT","agree","A","A"
"Ellobius lutescens","Ellobius lutescens","VA","agree","0.40","0.4"
"Ellobius lutescens","Ellobius lutescens","MT","agree","A","A"
"Ellobius talpinus","Ellobius talpinus","VA","agree","0.90","0.9"
"Ellobius talpinus","Ellobius talpinus","MT","agree","A","A"
"Enhydra lutris","Enhydra lutris","VA","agree","4.20","4.2"
"Enhydra lutris","Enhydra lutris","MT","agree","A","A"
"Eptesicus fuscus","Eptesicus fuscus","VA","agree","0.50","0.5"
"Eptesicus fuscus","Eptesicus fuscus","MT","agree","B","B"
"Equus caballus","Equus caballus","VA","agree","23.30","23.3"
"Equus caballus","Equus caballus","MT","agree","B","B"
"Eulemur macaco","Eulemur macaco","VA","agree","5.14","5.14"
"Eulemur macaco","Eulemur macaco","MT","agree","B","B"
"Felis catus","Felis catus","VA","agree","8.85","8.85"
"Felis catus","Felis catus","MT","agree","B","B"
"Galago senegalensis","Galago senegalensis","VA","agree","6.70","6.7"
"Galago senegalensis","Galago senegalensis","MT","agree","B","B"
"Giraffa camelopardalis","Giraffa camelopardalis","VA","agree","25.46","25.46"
"Giraffa camelopardalis","Giraffa camelopardalis","MT","agree","A","A"
"Heterocephalus glaber","Heterocephalus glaber","VA","agree","0.44","0.44"
"Heterocephalus glaber","Heterocephalus glaber","MT","agree","A","A"
"Homo sapiens","Homo sapiens","VA","agree","64.00","64"
"Homo sapiens","Homo sapiens","MT","agree","B","B"
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","VA","agree","5.80","5.8"
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","MT","agree","A","A"
"Lemmus lemmus","Lemmus lemmus","VA","agree","0.83","0.83"
"Lemmus lemmus","Lemmus lemmus","MT","agree","B","B"
"Lemur catta","Lemur catta","VA","agree","6.70","6.7"
"Lemur catta","Lemur catta","MT","agree","B","B"
"Loxodonta africana","Loxodonta africana","VA","agree","13.16","13.16"
"Loxodonta africana","Loxodonta africana","MT","agree","A","A"
"Lynx lynx","Lynx lynx","VA","agree","8.00","8"
"Lynx lynx","Lynx lynx","MT","agree","",""
"Macaca fascicularis","Macaca fascicularis","VA","agree","46.00","46"
"Macaca fascicularis","Macaca fascicularis","MT","agree","B","B"
"Macaca mulatta","Macaca mulatta","VA","agree","53.60","53.6"
"Macaca mulatta","Macaca mulatta","MT","agree","B","B"
"Macaca nemestrina","Macaca nemestrina","VA","agree","46.00","46"
"Macaca nemestrina","Macaca nemestrina","MT","agree","B","B"
"Macroderma gigas","Macroderma gigas","VA","agree","1.90","1.9"
"Macroderma gigas","Macroderma gigas","MT","agree","A","A"
"Macropus eugenii","Macropus eugenii","VA","agree","2.70","2.7"
"Macropus eugenii","Macropus eugenii","MT","agree","B","B"
"Macropus fuliginosus","Macropus fulginosus","VA","agree","11.23","11.23"
"Macropus fuliginosus","Macropus fulginosus","MT","agree","A","A"
"Megaderma lyra","Megaderma lyra","VA","agree","1.50","1.5"
"Megaderma lyra","Megaderma lyra","MT","agree","A","A"
"Meriones unguiculatus","Meriones unguiculatus","VA","agree","1.80","1.8"
"Meriones unguiculatus","Meriones unguiculatus","MT","agree","B","B"
