"source_number","citation"
"1","Hebel R (1976): Distribution of retinal ganglion cells in five mammalian species (pig, sheep, ox, horse, dog). Anat Embryol 150:45–51."
"2","Howland HC, Merola S, Basarab JR (2004): The allometry and scaling of the size of vertebrate eyes. Vision Res 44:2043–2065."
"3","Nowak RM (1999): Walker’s Mammals of the World. 6th edn. Baltimore, Johns Hopkins University Press."
"4","Betteridge K, Costall D, Balladur S, Upsdell M, Umemura K (2010): Urine distribution and grazing behaviour of female sheep and cattle grazing a steep New Zealand hill pasture. Anim Prod Sci 50:624–629."
"5","Harman A, Dann J, Ahmat A, Macuda T, Johnston K, Timney B (2001): The retinal ganglion cell layer and visual acuity of the camel. Brain Behav Evol 58:15–27."
"6","Ross CF, Kirk EC (2007): Evolution of eye size and shape in primates. J Hum Evol 52:294– 313."
"7","Pérez-Barbería FJ, Shultz S, Dunbar RIM (2007): Evidence for coevolution of sociality and relative brain size in three orders of mammals. Evolution 61:2811–2821."
"8","Christiansen P (2002): Locomotion in terrestrial mammals: the influence of body mass, limb length and bone proportions on speed. Zool J Linn Soc 136:685–714."
"9","Silva M, Downing JA (1995): CRC Handbook of Mammalian Body Masses. New York, CRC Press."
"10","Ribeiro AP, Santos NL, Silva VC, Campos AF, Teixeira IAM, Laus JL (2010): Ultrasonographic and ecobiometric findings in the eyes of adult goats. Ciência Rural 40:568–573."
"11","Gonzalez-Soriano J, Mayayo-Vicente S, Martinez-Sainz P, Contreras-Rodriguez J, Rodriguez-Veiga E (1997): A quantitative study of ganglion cells in the goat retina. Anat Histol Embryol 26:39–44."
"12","Hughes A (1977): The topography of vision in mammals of contrasting lifestyle: comparative optics and retinal organisation; in F Crescitelli (ed): Handbook of Sensory Physiology. Berlin, Springer-Verlag, pp. 613–756."
"13","Heard-Booth AN, Kirk EC (2012): The influence of maximum running speed on eye size: a test of Leuckart’s Law in mammals. Anat Rec 295:1053–1062."
"14","Coimbra JP, Hart NS, Collin SP, Manger PR (2013): Scene from above: retinal ganglion cell topography and spatial resolving power in the giraffe (Giraffa camelopardalis). J Comp Neurol 521:2042-2057."
"15","Tanaka T, Hashimoto A, Tanida H, Yoshimoto T (1995): Studies on the visual acuity of sheep using shape discrimination learning. J Ethol 13:69–75."
"16","Garcá M, Ruiz-Ederra J, Hernández-Barbáchano H, Vecino E (2005): Topography of pig retinal ganglion cells. J Comp Neurol 486:361–372."
"17","Guthoff R, Berger R, Draeger, J (1987): Ultrasonographic measurement of the posterior coats of the eye and their relation to axial length. Graefes Arch Clin Exp Ophthalmol 225:374–376."
"18","Peichl L (1992): Morphological types of ganglion cells in the dog and wolf retina. J Comp Neurol 324:590–602."
"19","Peichl L (1992): Topography of ganglion cells in the dog and wolf retina. J Comp Neurol 324:603–620."
"20","Calderone JB, Reese BE, Jacobs GH (2003: Topography of photoreceptors and retinal ganglion cells in the spotted hyena (Crocuta crocuta). Brain Behav Evol 62:182–192."
"21","Mass AM, Supin AY (2000): Ganglion cells density and retinal resolution in the sea otter, Enhydra lutris. Brain Behav Evol 55:111–119."
"22","Jacobson SG, Franklin KBJ, McDonald WI (1976): Visual acuity of the cat. Vision Res 16:1141–1143."
"23","Pellis SM, Officer RCE (1987) An analysis of some predatory behaviour patterns in four species of carnivorous marsupials (Dasyuridae), with comparative notes on the eutherian cat Felis catus. Ethology 75:177–196."
"24","Gittleman JL (1985): Carnivore body size: Ecological and taxonomic correlates. Oecologia 67:540–554."
"25","Maffei L, Fiorentini A, Bisti S (1990): The visual acuity of the lynx. Vision Res 30:527–528."
"26","Heffner RS, Heffner HE. (1992): Visual factors in sound localization in mammals. J Comp Neurol 317:219–232."
"27","Pontenagel VT, Schmidt U (1980): Untersuchungen zur Leistungsfähigkeit des Gesichtssinnes beim Frettchen, Mustela putorius f. furo L. Z. Säugetierkunde 45:376–383."
"28","Marcelli M, Fusillo R, Boitani L (2003): Sexual segregation in the activity patterns of European polecats (Mustela putorius). J Zool 261:249–255."
"29","Mass AM (1992) Retinal topography in the walrus (Odobenus rosmarus divergence) and fur seal (Callorhinus ursinus); in Thomas JA, Kastelein RA, Supin YA (eds): Marine Mammal Sensory Systems. New York, Plenum, pp. 119–135."
"30","Moran G, Timney B, Sorensen L, Desrochers B (1983): Binocular depth perception in the meerkat (Suricata suricatta). Vision Res 23:965–969."
"31","van Staaden MJ (1994): Suricata suricatta. Mammalian Species 483:1–8."
"32","Pettigrew JD, Dreher B, Hopkins CS, McCall MJ, Brown M (1988): Peak density and distribution of ganglion cells in the retinae of microchiropteran bats: implications for visual acuity. Brain Behav Evol 32:39–56."
"33","Suthers RA (1966): Optomotor responses by echolocating bats. Science 152:1102–1104."
"34","Eklöf J (2003): Vision in echolocating bats [PhD thesis]. Göteborg, Sweden, Göteborg University."
"35","Ortega J, Castro-Arellano I (2001): Artibeus jamaicensis. Mammalian Species 662:1–9."
"36","Hall MI, Kamilar J, Kirk EC (2012): Eye shape and the nocturnal bottleneck of mammals. Proc R Soc Lond B 279:4962–4968."
"37","Heffner RS, Koay G, Heffner HE (2007): Sound-localization acuity and its relation to vision in large and small fruit-eating bats: I. Echolocating species, Phyllostomus hastatus and Carollia perspicillata. Hear Res 234:1–9."
"38","Suthers RA, Wallis NE (1970): Optics of the eyes of echolocating bats. Vision Res 10:1165– 1173."
