source_row,code,species,sex,catalogue_number,body_weight_g,brain_weight_fresh_g,brain_material,staining,section_thickness_um,plane_of_sectioning,distance_between_sections,collection_group
1,,Tortoise,---,S,---,---,whole brain,Merker Cell body Gallyas Myelin,20,coronal,15 15,Varightous
2,,Alligator,m,A 1,---,4.6,whole brain,Merker Cell body Gallyas Myelin,20,coronal,10 10,Varightous
3,,Alligator,f,A 2,---,6.1,whole brain,Merker Cell body Gallyas Myelin,20,coronal,15 15,Varightous
4,,Alligator,f,A 3,---,6.7,whole brain,Merker Cell body Gallyas Myelin,10,coronal,10 10,Varightous
5,1,Tachyglossus acule.,---,A,---,---,whole brain,Cresylvioletviolet Loyez Myelin,?,horightzontal,3 3,Masupalia
6,1,Tachyglossus acule.,---,x,---,---,whole brain,Cresylviolet,?,coronal,3,Masupalia
7,243,Sminthopsis crassic.,---,Sc,---,---,right brain left brain,Cresylviolet Gallyas Myelin Cresylviolet Gallyas Myelin,10 10,sagittal coronal,4 4 4 4,Masupalia
8,351,Petaurus breviceps,---,P,---,---,right brain left brain,Cresylviolet Gallyas Myelin Cresylviolet Gallyas Myelin,10 10,sagittal coronal,4 4 4 4,Masupalia
9,585,Echinops telfairi,m,Ech1,87.7,---,whole brain,Cresylviolet Heidenhain-Woelcke Myelin,20,coronal,2 2,Insectivora
10,,Echinops telfairi,m,Ech2,116.7,---,whole brain,Cresylviolet Heidenhain-Woelcke Myelin,20,sagittal,2 2,Insectivora
11,,Echinops telfairi,m,Ech3,92.90000000000001,---,whole brain,Cresylviolet Heidenhain-Woelcke Myelin,20,horightzontal,2 2,Insectivora
12,637,Pomatogale velox,---,163,---,---,left brain right brain,Cresylviolet Gallyas Myelin Cresylviolet Gallyas Myelin,20 20,coronal sagittal,2 2 2 2,Insectivora
13,689,Erinaceus algirus,---,H 1,15,---,whole brain,Merker Cell body Gallyas Myelin,10,coronal,12 12,Insectivora
14,,Erinaceus algirus,---,H 2,15,---,whole brain,Merker Cell body Gallyas Myelin,10,coronal,12 12,Insectivora
15,,Erinaceus algirus,---,H 3,29.3,---,whole brain,Merker Cell Gallyas Myelin,10,coronal,12 12,Insectivora
16,,Erinaceus algirus,---,H 4,41.1,---,whole brain,Merker Cell body Gallyas Myelin,10,coronal,12 12,Insectivora
17,,Erinaceus algirus,---,H 5,55,---,whole brain,Merker Cell body Gallyas Myelin,20,coronal,12 12,Insectivora
18,,Erinaceus algirus,---,H 6,55,---,whole brain,Merker Cell body Gallyas Myelin,20,coronal,12 12,Insectivora
19,,Erinaceus algirus,---,H 7,450,---,whole brain,Merker Cell body Gallyas Myelin,20,coronal,4 4,Insectivora
20,,Erinaceus algirus,---,H 8,56,---,whole brain,Merker Cell body Gallyas Myelin,20,coronal,12 12,Insectivora
21,,Erinaceus algirus,f,H 9,500,---,whole brain,Merker Cell body Gallyas Myelin,20,coronal,12 12,Insectivora
22,1215,Talpa europaea,---,Ta 1,---,---,whole brain,Cresylviolet,20,coronal,2,Insectivora
23,,Talpa europaea,---,Ta 2,---,---,whole brain,Cresylviolet Bodian unstained,20,coronal,3 3,Insectivora
24,5393,Castor Myeer,m,B I,7500,---,left brain,Cresylviolet Heidenhain-Woelcke Myelin,20,sagittal,2 2,Rodentia
25,,Castor Myeer,m,B II,7000,---,left brain right brain,Cresylviolet Gallyas Myelin Cresylviolet Heidenhain-Woelcke Myelin,20 20,horightzontal coronal,5 2 2 2,Rodentia
26,,Castor Myeer,f,B III,5400,---,whole brain,Cresylviolet Gallyas Myelin unstained,20,coronal,10 10,Rodentia
27,7326,Notomys spec?,---,N I,---,---,right brain left brain,Cresylviolet Gallyas Myelin Cresylviolet Gallyas Myelin,10 10,sagittal coronal,4 4 4 4,Rodentia
28,,Notomys spec?,---,N II,---,---,whole brain,Cresylviolet Gallyas Myelin,10,coronal,4 4,Rodentia
29,7588,Cavia cobaya f.d.,m,M 1,447,---,right brain left brain,Cresylviolet Cresylviolet,20 20,coronal sagittal,complete complete,Rodentia
30,,Cavia cobaya f.d.,m,M 2,424,---,right brain,Cresylviolet,20,horightzontal,complete,Rodentia
31,7647,Chinchilla,f,Ch I,412,---,left brain right brain,Cresylviolet Cresylviolet Heidenhain-Woelcke Myelin Bodian,20 20,coronal sagittal,complete 3 3 3,Rodentia
32,,Chinchilla,f,Ch II,380,---,right brain,Cresylviolet,20,coronal,2,Rodentia
33,,Chinchilla,f,Ch III,381,---,left brain,Cresylviolet Heidenhain-Woelcke Myelin Bodian,20,horightzontal,3 3 3,Rodentia
34,7984,Oryctolagus cuniculus,m,K,4000,8.390000000000001,left brain,Cresylviolet Heidenhain-Woelcke Myelin,20,coronal,3 incomplete,Lagomorpha
35,,Oryctolagus cuniculus,---,x,---,---,whole brain,Heidenhain-Woelcke Myelin,20,coronal,4,Lagomorpha
36,3199,Microcebus murinus,f,M 12,42.2,1.54,right brain left brain,Gallyas Myelin Gallyas Myelin,20 20,sagittal horightzontal,2 2,Lagomorpha
37,,Microcebus murinus,f,1053,46.8,1.97,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Lagomorpha
38,,Microcebus murinus,f,M 113,98.3,1.7,whole brain,Gallyas Myelin,20,coronal,2,Lagomorpha
39,,Microcebus murinus,f,1077,1.96,101.3,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Lagomorpha
40,3205,Cheirogaleus major,m,M 58,400,6.61,right brain,Gallocyanin Gallyas Myelin,20,coronal,5 5,Lagomorpha
41,3211,Lemur catta,f,1514,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Lagomorpha
42,3216,Lemur fulvus,m,1515,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,10 10,Lagomorpha
43,3253,Lorights tardigradus,m,1516,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Lagomorpha
44,3255,Nycticebus coucang,m,P 7,990,---,whole brain,Cresylviolet Heidenhain-Woelcke Myelin,20,coronal,5 5,Lagomorpha
45,,Nycticebus coucang,f,1520,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Lagomorpha
46,,Nycticebus coucang,m,1519,---,---,whole brain,Cresylviolet Gallyas Myelin,20,horightzontal,10 10,Lagomorpha
47,,Nycticebus coucang,f,1912,352,8.970000000000001,right brain li brain,Merker Cell body Gallyas Myelin,20,sagittal,5 5,Lagomorpha
48,3259,Perodicticus potto,m,P 8,960,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Lagomorpha
49,,Perodicticus potto,m,P9,1140,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Lagomorpha
50,,Perodicticus potto,m,A 291,1000,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,10 10,Lagomorpha
51,3265,Galago senegalensis,m,1231,122,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Lagomorpha
52,,Galago senegalensis,---,A 407,---,---,whole brain,MerkerCell body,20,coronal,!0,Lagomorpha
53,3275,Galagoides demidoff,m,A 281,82,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Lagomorpha
54,3287,Callithrightx jacchus,m,1529,---,---,whole brain,Cresylviolet,20,coronal,10,Simier
55,,Callithrightx jacchus,m,1531,---,---,whole brain,Cresylviolet,20,coronal,10,Simier
56,,Callithrightx jacchus,m,Ca,---,---,whole brain,Cresylviolet Gallyas Myelin unstained,20,coronal,6 6,Simier
57,3289,Cebuella pygmaea,m,2990,80.90000000000001,4.165,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Simier
58,,Cebuella pygmaea,m,2993,95.40000000000001,3.812,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Simier
59,3311,Saguinus oedipus,m,1532,---,---,whole brain,Cresylviolet,20,coronal,10,Simier
60,,Saguinus oedipus,m,1533,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Simier
61,3324,Cebus spec?,m,I,---,---,right brain,Cresylviolet unstained,20,coronal,5,Simier
62,,Cebus 5,---,5,---,---,whole brain,Merker Cell body Gallyas Myelin,10,coronal,20 20,Simier
63,3325,Aotus trivirgatus,f,K 197,830,16.35,whole brain,Cresylviolet Gallyas Myelin,20,coronal,10 10,Simier
64,3325,Aotus trivirgatus,f,888,913,17.3,whole brain,Merker Cell body Gallyas Myelin,20,coronal,20 20,Simier
65,,Aotus trivirgatus,f,1535,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Simier
66,,Aotus trivirgatus,f,1536,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,10 10,Simier
67,3335,Saimiri sciureus,f,1064,345,19.65,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Simier
68,,Saimiri sciureus,m,1405,---,---,left brain,Cresylviolet,20,coronal,5,Simier
69,,Saimiri sciureus,m,2408,720,---,whole brain,Merker Cell body,20,coronal,10,Simier
70,3363,Alouatta seniculus,m,1961/8,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,5 5,Simier
71,3366,Alouatta spec?,f,1961/9,---,---,whole brain,Gallyas Myelin,20,coronal,10,Simier
72,3373,Ateles paniscus,m,1538,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,10 10,Simier
73,3373,Ateles paniscus,m,1541,2700,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,10 10,Simier
74,3374,Ateles spec?,---,2412,---,---,whole brain,Merker Cell body,20,coronal,20,Simier
75,3387,Macaca fascicularis,m,C 9,---,---,left brain right brain,Cresylviolet Cresylviolet,20 20,horightzontal coronal,10 10,Simier
76,,Macaca fascicularis,---,P 23,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,4 4,Simier
77,,Macaca fascicularis,---,P 24,2650,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,4 4,Simier
78,3391,Macaca mulatta,---,DP 1,---,---,both hem,Merker Cell body Gallyas Myelin,20,coronal,5 5,Simier
