Species_Nguyen2019	Species_scientific_printed	Species	region_printed	region_code	region	neuron_type	n	dendritic_volume_um3_mean	dendritic_volume_um3_sem	total_dendritic_length_um_mean	total_dendritic_length_um_sem	mean_segment_length_um_mean	mean_segment_length_um_sem	dendritic_segment_count_mean	dendritic_segment_count_sem	dendritic_spine_count_mean	dendritic_spine_count_sem	dendritic_spine_density_per_um_mean	dendritic_spine_density_per_um_sem	soma_area_um2_mean	soma_area_um2_sem	soma_depth_um_mean	soma_depth_um_sem	source_note
African lion	Panthera leo leo	Panthera leo	Frontal	Frontal	frontal cortex	Aspiny	2	7621	2953	2866	386	79	33	47	25					456	8	755	373	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Frontal	Frontal	frontal cortex	Extraverted	3	8877	486	3055	346	54	7	59	13	465	1	0.16	0.02	313	22	582	97	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Frontal	Frontal	frontal cortex	Multiapical	1	15387		3531		86		41		982		0.28		484		830		Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Frontal	Frontal	frontal cortex	Pyramidal	14	11019	966	3037	223	70	4	46	4	711	85	0.23	0.02	385	24	738	63	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Motor	M1	primary motor cortex	Aspiny	5	6224	817	2492	192	70	7	36	3					401	51	989	190	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Motor	M1	primary motor cortex	Extraverted	11	10324	1089	3487	414	59	3	59	6	645	183	0.16	0.03	337	28	512	25	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Motor	M1	primary motor cortex	Gigantopyramidal	16	49253	4580	1872	215	53	3	35	3	210	36	0.1	0.01	1771	176	1885	34	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Motor	M1	primary motor cortex	Multiapical	2	13812	3086	3292	278	69	4	48	2	664	75	0.2	0.01	419	15	1106	387	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Motor	M1	primary motor cortex	Pyramidal	32	15199	1035	4135	187	68	2	61	3	722	64	0.17	0.01	399	15	984	87	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Visual	V1	primary visual cortex	Aspiny	9	3544	688	2163	359	60	6	36	4					329	41	984	107	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Visual	V1	primary visual cortex	Inverted	3	8906	1101	3302	302	74	7	46	9	533	250	0.17	0.09	374	46	1747	428	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Visual	V1	primary visual cortex	Meynert	6	33878	4984	3813	808	74	10	48	6	332	156	0.07	0.02	1655	125	1736	91	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African lion	Panthera leo leo	Panthera leo	Visual	V1	primary visual cortex	Pyramidal	58	12493	1283	3672	162	61	2	61	2	777	58	0.2	0.01	372	47	1087	69	Source footnote: quantitative measures are underestimates, especially DSN/DSD, due to relatively incomplete Golgi impregnation.
African leopard	Panthera pardus pardus	Panthera pardus	Frontal	Frontal	frontal cortex	Aspiny	6	3736	504	2261	360	63	9	37	5					225	18	1211	118	
African leopard	Panthera pardus pardus	Panthera pardus	Frontal	Frontal	frontal cortex	Extraverted	3	7185	755	3349	645	68	12	50	6	1388	521	0.39	0.08	267	45	874	131	
African leopard	Panthera pardus pardus	Panthera pardus	Frontal	Frontal	frontal cortex	Inverted	4	6843	2029	2161	369	60	4	36	6	568	179	0.24	0.06	321	58	1484	305	
African leopard	Panthera pardus pardus	Panthera pardus	Frontal	Frontal	frontal cortex	Multiapical	1	30469		2955		70		42		2421		0.82		584		1473		
