"Animal_Nudo1995"	"animal_common_Nudo1995"	"gs_initials_Nudo1995"	"Order_Nudo1995"	"Order_resolved"	"species_sci"	"max_surface_density_A.cells_per_mm2"	"max_surface_density_B.cells_per_mm2"	"max_surface_density_C.cells_per_mm2"	"max_surface_density_Cprime.cells_per_mm2"	"method"	"parse_flags"
"Albino rat/R.n./Rodentia"	"Albino rat"	"R.n."	"Rodentia"	"Rodentia"	"Rattus norvegicus"	2250	592	0	1606	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Armadillo/D.n./Edentata"	"Armadillo"	"D.n."	"Edentata"	"Edentata"	"Dasypus novemcinctus"	736	201	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Bushbaby/G.s./Primates"	"Bushbaby"	"G.s."	"Primates"	"Primates"	"Galago senegalensis"	4030	1323	1504	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Cat/F.c./Carnivora"	"Cat"	"F.c."	"Carnivora"	"Carnivora"	"Felis catus"	1677	189	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Gray squirrel/S.c./Rodentia"	"Gray squirrel"	"S.c."	"Rodentia"	"Rodentia"	"Sciurus carolinensis"	1664	574	0	976	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Ground squirrel/C.t./Rodentia"	"Ground squirrel"	"C.t."	"Rodentia"	"Rodentia"	"Spermophilus tridecemlineatus"	3310	602	0	1143	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Hedgehog/E.a./Insectivora"	"Hedgehog"	"E.a."	"Insectivora"	"Insectivora"	"Atelerix albiventris"	848	326	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Hedgehog/E.e./Insectivora"	"Hedgehog"	"E.e."	"Insectivora"	"Insectivora"	"Erinaceus europaeus"	771	356	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Hedgehog/H.a./Insectivora"	"Hedgehog"	"H.a."	"Insectivora"	"Insectivora"	"Hemiechinus auritus"	676	184	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Hyrax/P.c./Hyracoidea"	"Hyrax"	"P.c."	"Hyracoidea"	"Hyracoidea"	"Procavia capensis"	1148	446	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Least shrew/C.p./Insectivora"	"Least shrew"	"C.p."	"Insectivora"	"Insectivora"	"Cryptotis parva"	706	107	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Marmoset/C.j./Primates"	"Marmoset"	"C.j."	"Primates"	"Primates"	"Callithrix jacchus"	1305	435	638	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Mole/S.a./Insectivora"	"Mole"	"S.a."	"Insectivora"	"Insectivora"	"Scalopus aquaticus"	3472	1335	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Monkey/C.a./Primates"	"Monkey"	"C.a."	"Primates"	"Primates"	"Chlorocebus aethiops"	900	228	464	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Monkey/M.f./Primates"	"Monkey"	"M.f."	"Primates"	"Primates"	"Macaca fascicularis"	300	128	128	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Monkey/M.m./Primates"	"Monkey"	"M.m."	"Primates"	"Primates"	"Macaca mulatta"	408	99	161	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Monkey/S.s./Primates"	"Monkey"	"S.s."	"Primates"	"Primates"	"Saimiri sciureus"	760	253	535	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Opossum/D.v./Marsupialia"	"Opossum"	"D.v."	"Marsupialia"	"Marsupialia"	"Didelphis virginiana"	857	429	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Opossum/M.d./Marsupialia"	"Opossum"	"M.d."	"Marsupialia"	"Marsupialia"	"Monodelphis domestica"	655	393	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Rabbit/O.c./Lagamorpha"	"Rabbit"	"O.c."	"Lagamorpha"	"Lagomorpha"	"Oryctolagus cuniculus"	540	256	0	170	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	"order printed 'Lagamorpha' - typographic error for 'Lagomorpha'"
"Raccoon/P.l./Carnivora"	"Raccoon"	"P.l."	"Carnivora"	"Carnivora"	"Procyon lotor"	786	171	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Slow loris/N.c./Primates"	"Slow loris"	"N.c."	"Primates"	"Primates"	"Nycticebus coucang"	875	282	226	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Tree shrew/T.g./Scandentia"	"Tree shrew"	"T.g."	"Scandentia"	"Scandentia"	"Tupaia glis"	1790	429	0	0	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
"Vole/P.p./Rodentia"	"Vole"	"P.p."	"Rodentia"	"Rodentia"	"Microtus pinetorum"	2339	759	0	1075	"max labelled somata subjacent to a 250 um x 50 um patch of neocortical surface"	NA
