"Row_ID"	"Order"	"Specie"	"Source_name"
1	"Metatheria"	"Monodelphis domestica"	"Fischer, M. S., Schilling, N., Schmidt, M., Haarhaus, D., & Witte, H. (2002). Basic limb kinematics of small therian mammals. The Journal of experimental biology, 205(Pt 9), 1315–1338. https://doi.org/10.1242/jeb.205.9.1315"
2	"Metatheria"	"Dasyuroides byrnei"	NA
3	"Rodentia"	"Galea musteloides"	NA
4	"Rodentia"	"Rattus norvegicus"	NA
5	"Lagomorpha"	"Ochotona rufescens"	NA
6	"Hyracoidea"	"Procavia capensis"	NA
7	"Scandentia"	"Tupaia glis"	NA
8	"Primates"	"Microcebus murinus"	NA
9	"Rodentia"	"Galea musteloides"	"Schilling N. (2005). Ontogenetic development of locomotion in small mammals--a kinematic study. The Journal of experimental biology, 208(Pt 21), 4013–4034. https://doi.org/10.1242/jeb.01875"
10	"Rodentia"	"Galea musteloides"	NA
11	"Scandentia"	"Tupaia glis"	NA
12	"Scandentia"	"Tupaia glis"	NA
13	"Primates"	"Pan paniscus"	"D'Août, K., Aerts, P., De Clercq, D., De Meester, K., & Van Elsacker, L. (2002). Segment and joint angles of hind limb during bipedal and quadrupedal walking of the bonobo (Pan paniscus). American journal of physical anthropology, 119(1), 37–51. https://doi.org/10.1002/ajpa.10112"
14	"Primates"	"Pan paniscus"	NA
15	"Primates"	"Pan paniscus"	NA
16	"Primates"	"Homo sapiens"	"Winter, D. A. (1991). The biomechanics and motor control of human gait: Normal, elderly and pathological (2nd ed.). University of Waterloo Press."
17	"Primates"	"Homo sapiens"	NA
18	"Primates"	"Homo sapiens"	NA
19	"Proboscidea"	"Elephas maximus"	"Ren, L., Butler, M., Miller, C., Paxton, H., Schwerda, D., Fischer, M. S., & Hutchinson, J. R. (2008). The movements of limb segments and joints during locomotion in African and Asian elephants. The Journal of experimental biology, 211(Pt 17), 2735–2751. https://doi.org/10.1242/jeb.018820"
20	"Proboscidea"	"Elephas maximus"	NA
21	"Proboscidea"	"Loxodonta africana"	NA
22	"Proboscidea"	"Elephas maximus"	NA
