Species	Species_Semendeferi2000	Specimen	taxon_concept	WholeBrain_Vol.mm3	Cerebellum_Vol.mm3	Hemispheres_Vol.mm3	Frontal_Vol.mm3	Temporal_Vol.mm3	Insula_Vol.mm3	ParietoOccipital_Vol.mm3	Core_Vol.mm3
Homo sapiens	Human	Human 1		1369500.0	152600.0	1216900.0	440200.0	210000.0	16600.0	460600.0	89500.0
Homo sapiens	Human	Human 2		1381500.0	149300.0	1218400.0	462100.0	229600.0	18800.0	418400.0	89500.0
Homo sapiens	Human	Human 3		1231100.0	144400.0	1086700.0	397000.0	215900.0	14600.0	379000.0	82900.0
Homo sapiens	Human	Human 4		1274900.0	159000.0	1115900.0	399000.0	211700.0	17700.0	392400.0	95100.0
Homo sapiens	Human	Human 5		1489600.0	167900.0	1321700.0	508500.0	252500.0	19000.0	444000.0	97700.0
Homo sapiens	Human	Human 6		1477900.0	159500.0	1318400.0	461300.0	232900.0	18000.0	510400.0	95800.0
Homo sapiens	Human	Human 7		1608400.0	171200.0	1437200.0	551100.0	261500.0	16900.0	508900.0	98800.0
Homo sapiens	Human	Human 8		1372000.0	133400.0	1238600.0	461400.0	234600.0	16500.0	447200.0	78900.0
Homo sapiens	Human	Human 9		1315000.0	152400.0	1162600.0	423400.0	176400.0	15200.0	463700.0	83900.0
Homo sapiens	Human	Human 10		1382900.0	161200.0	1221700.0	443800.0	207100.0	20300.0	463300.0	87200.0
Pan paniscus	Bonobo	Bonobo 1		333600.0	48500.0	285100.0	105600.0	44900.0	3500.0	104700.0	26400.0
Pan paniscus	Bonobo	Bonobo 2		356900.0	47700.0	309200.0	105000.0	53200.0	4100.0	116100.0	30800.0
Pan paniscus	Bonobo	Bonobo 3		318300.0	41100.0	277200.0	93800.0	46600.0	3400.0	106600.0	26800.0
Pan troglodytes	Chimpanzee	Chimpanzee 1		322100.0	41900.0	280200.0	99700.0	47100.0	2600.0	99000.0	31800.0
Pan troglodytes	Chimpanzee	Chimpanzee 2		242400.0	34900.0	207500.0	74100.0	35300.0	2500.0	76500.0	19100.0
Pan troglodytes	Chimpanzee	Chimpanzee 3		269800.0	34900.0	234900.0	85000.0	38900.0	2700.0	85700.0	22600.0
Pan troglodytes	Chimpanzee	Chimpanzee 4		304900.0	35100.0	269800.0	89800.0	51100.0	3500.0	101300.0	24100.0
Pan troglodytes	Chimpanzee	Chimpanzee 5		437500.0	55300.0	382200.0	133400.0	64300.0	4000.0	144300.0	36200.0
Pan troglodytes	Chimpanzee	Chimpanzee 6		348600.0	45200.0	303400.0	101200.0	52200.0	3000.0	114500.0	32500.0
Gorilla gorilla	Gorilla	Gorilla 1		358600.0	53600.0	305000.0	107600.0	42500.0	3500.0	118600.0	32800.0
Gorilla gorilla	Gorilla	Gorilla 2		491600.0	84900.0	406700.0	142000.0	57000.0	7100.0	166500.0	34100.0
Pongo pygmaeus	Orang-utan	Orang-utan 1	Pongo pygmaeus (s.l.)	456000.0	61000.0	395000.0	142000.0	63200.0	5900.0	139200.0	44700.0
Pongo pygmaeus	Orang-utan	Orang-utan 2	Pongo pygmaeus (s.l.)	508500.0	52700.0	455800.0	169300.0	74800.0	4300.0	165100.0	42300.0
Pongo pygmaeus	Orang-utan	Orang-utan 3	Pongo pygmaeus (s.l.)	436900.0	49200.0	387700.0	142800.0	72300.0	5300.0	132000.0	35300.0
Pongo pygmaeus	Orang-utan	Orang-utan 4	Pongo pygmaeus (s.l.)	371300.0	45200.0	326100.0	115100.0	52400.0	3700.0	118800.0	36100.0
Hylobates sp.	Gibbon	Gibbon 1		79500.0	8500.0	71000.0	19500.0	13700.0	800.0	28000.0	9000.0
Hylobates sp.	Gibbon	Gibbon 2		92600.0	13500.0	79100.0	23400.0	14900.0	700.0	29600.0	10500.0
Hylobates sp.	Gibbon	Gibbon 3		78500.0	10000.0	68500.0	18600.0	13000.0	700.0	27300.0	8900.0
Hylobates sp.	Gibbon	Gibbon 4		78500.0	10700.0	67800.0	19800.0	12500.0	600.0	27300.0	7600.0
