"species_row"	"common_name"	"binomial"	"n"	"hearing_range_low_kHz"	"hearing_range_high_kHz"	"best_sensitivity_low_kHz"	"best_sensitivity_high_kHz"	"footnote"	"footnote_text"	"method"	"reference"	"data_role"
1	"Bottlenose dolphin"	"Tursiops truncatus"	1	0.75	150	7	130	""		"Behaviour"	"Johnson (1966, 1967)"	"secondary"
2	"Bottlenose dolphin"	"Tursiops truncatus"	42	10	150	10	80	"a"	"Greatly varied depending on sex and age"	"Physiology"	"Houser and Finneran (2006b)"	"secondary"
3	"Harbour porpoise"	"Phocoena phocoena"	1	1	150	2	140	""		"Behaviour"	"Andersen (1970)"	"secondary"
4	"Harbour porpoise"	"Phocoena phocoena"	1	0.25	180	4	150	""		"Behaviour"	"Kastelein et al. (2002)"	"secondary"
5	"Killer whale"	"Orcinus orca"	1	0.5	31	5	30	""		"Behaviour"	"Hall and Johnson (1972)"	"secondary"
6	"Killer whale"	"Orcinus orca"	2	4	100	12	52	""		"Behaviour"	"Szymanski et al. (1999)"	"secondary"
7	"Killer whale"	"Orcinus orca"	2	1	100	16	45	"b"	"Same animal tested as preceding study"	"Physiology"	"Szymanski et al. (1999)"	"secondary"
8	"Amazon river dolphin"	"Inia geoffrensis"	1	1	105	10	50	""		"Behaviour"	"Jacobs and Hall (1972)"	"secondary"
9	"Beluga whale"	"Delphinapterus leucas"	2	1	130	15	110	""		"Behaviour"	"White et al. (1978)"	"secondary"
10	"Beluga whale"	"Delphinapterus leucas"	4	0.125	8	4	8	"c"	"Did not establish upper limit"	"Behaviour"	"Awbrey et al. (1988)"	"secondary"
11	"Beluga whale"	"Delphinapterus leucas"	1	8	128	27	107	""		"Physiology"	"Klishin et al. (2000)"	"secondary"
12	"Beluga whale"	"Delphinapterus leucas"	2	2	130	14	90	""		"Behaviour"	"Finneran et al. (2005)"	"secondary"
13	"Beluga whale"	"Delphinapterus leucas"	1	8	128	22	90	""		"Physiology"	"Mooney et al. (2008)"	"secondary"
14	"Pacific bottlenose dolphin"	"Tursiops truncatus gilli"	1	2	135	25	110	""		"Behaviour"	"Ljungblad et al. (1982)"	"secondary"
15	"Pacific bottlenose dolphin"	"Tursiops truncatus gilli"	13	10	150	20	130	"a"	"Greatly varied depending on sex and age"	"Physiology"	"Houser et al. (2008)"	"secondary"
16	"False killer whale"	"Pseudorca crassidens"	1	2	115	16	64	""		"Behaviour"	"Thomas et al. (1988)"	"secondary"
17	"False killer whale"	"Pseudorca crassidens"	1	4	45	7	27	""		"Behaviour"	"Yuen et al. (2005)"	"secondary"
18	"False killer whale"	"Pseudorca crassidens"	1	4	45	6.7	27	"b"	"Same animal tested as preceding study"	"Physiology"	"Yuen et al. (2005)"	"secondary"
19	"Chinese river dolphin (baiji)"	"Lipotes vexillifer"	1	1	200	10	65	""		"Behaviour"	"Wang et al. (1992)"	"secondary"
20	"Risso's dolphin"	"Grampus griseus"	1	1.6	110	4	80	""		"Behaviour"	"Nachtigall et al. (1995)"	"secondary"
21	"Risso's dolphin"	"Grampus griseus"	1	4	150	8	108	""		"Physiology"	"Nachtigall et al. (2005)"	"secondary"
22	"Tucuxi"	"Sotalia fluviatilis guianensis"	1	4	135	16	105	""		"Behaviour"	"Sauerland and Dehnhardt (1998)"	"secondary"
23	"Striped dolphin"	"Stenella coeruleoalba"	1	32	120	0.5	160	""		"Behaviour"	"Kastelein et al. (2003)"	"secondary"
24	"Finless porpoise"	"Neophocaena phocaenoides"	2	8	152	32	139	""		"Physiology"	"Popov et al. (2005)"	"secondary"
25	"Gervais' beaked whale"	"Mesoplodon europaeus"	1	10	80	40	80	""		"Physiology"	"Cook et al. (2006)"	"secondary"
26	"Gervais' beaked whale"	"Mesoplodon europaeus"	1	20	90	20	80	""		"Physiology"	"Finneran et al. (2009)"	"secondary"
27	"White-beaked dolphin"	"Lagenorhynchus albirostris"	2	16	181	32	128	""		"Physiology"	"Nachtigall et al. (2008)"	"secondary"
28	"Long-finned pilot whale"	"Globicephala melas"	1	22.5	50	4	100	""		"Physiology"	"Pacini et al. (2010)"	"secondary"
29	"Rough-toothed dolphin"	"Steno bredanensis"	14	10	120			"unclear"	"Best-sensitivity range not established (printed as 'Unclear' in source)"	"Physiology"	"Mann et al. (2010)"	"secondary"
30	"Blainville's beaked whale"	"Mesoplodon densirostris"	1	5.6	160	40	50	""		"Physiology"	"Pacini et al. (2011)"	"secondary"
31	"Pygmy killer whale"	"Feresa attenuata"	2	5	120	20	60	""		"Physiology"	"Montie et al. (2011)"	"secondary"
