"species_row"	"common_name"	"binomial"	"low_frequency_limit_Hz"	"high_frequency_limit_Hz"	"best_sensitivity_dB"	"best_frequency_Hz"	"data_role"
1	"Laboratory mouse"	"Mus musculus"	900	79000	5	15000	"secondary"
2	"Cat"	"Felis catus"	55	79000	-10	8000	"secondary"
3	"Laboratory rat"	"Rattus norvegicus"	530	70500	0	8000	"secondary"
4	"Rabbit"	"Oryctolagus cuniculus"	96	49000	4	4000	"secondary"
5	"Guinea pig"	"Cavia porcellus"	47	49000	-6	8000	"secondary"
6	"Dog"	"Canis lupus familiaris"	67	44000	-1	8000	"secondary"
7	"Sheep"	"Ovis aries"	125	42000	-6	10000	"secondary"
8	"Pig"	"Sus scrofa domesticus"	42	40500	9	8000	"secondary"
9	"Goat"	"Capra hircus"	78	37000	-11	2000	"secondary"
10	"Cattle"	"Bos taurus"	23	37000	-11	8000	"secondary"
11	"Horse"	"Equus caballus"	55	33500	7	2000	"secondary"
12	"Chinchilla"	"Chinchilla lanigera"	50	33000	1	1000	"secondary"
13	"Human"	"Homo sapiens"	31	17600	-10	4000	"secondary"
14	"Canary"	"Serinus canaria domestica"	250	10000	8	2800	"secondary"
15	"Budgerigar"	"Melopsittacus undulatus"	125	8000	2	2800	"secondary"
16	"Zebra finch"	"Taeniopygia guttata"		7000	21	4000	"secondary"
17	"Turkey"	"Meleagris gallopavo"		7000	17	1000	"secondary"
18	"Pigeon"	"Columba livia"		6600	10	3000	"secondary"
19	"Mallard duck"	"Anas platyrhynchos"		6000	15	2000	"secondary"
