"figure_id"	"Species_Koay1998"	"common_name_Koay1998"	"corrected_binomial"	"functional_interaural_distance_us"	"high_freq_hearing_limit_60dB_kHz"	"medium"	"marker"	"excluded_from_correlation"	"audiogram_source"	"value_origin"	"note"
"Ef"	"Eptesicus fuscus"	"big brown bat"	"Eptesicus fuscus"	55.7966226071059	106.342500351946	"air"	"open_circle_bat"	"FALSE"	"Koay, Heffner, & Heffner, 1997"	"digitised_from_figure"	""
"Ml"	"Myotis lucifugus"	"little brown bat"	"Myotis lucifugus"	41.4823194797482	115.852761847095	"air"	"open_circle_bat"	"FALSE"	"Dalland, 1965"	"digitised_from_figure"	""
"Nl"	"Noctilio leporinus"	"fish-catching bat"	"Noctilio leporinus"	87.7219138979827	111.362091884371	"air"	"open_circle_bat"	"FALSE"	"Wenstrup, 1984"	"digitised_from_figure"	""
"Ra"	"Rousettus aegyptiacus"	"Egyptian fruit bat"	"Rousettus aegyptiacus"	138.762373264572	64.0281898690842	"air"	"open_circle_bat"	"FALSE"	"present report"	"digitised_from_figure"	""
"Rf"	"Rhinolophus ferrumequinum"	"horseshoe bat"	"Rhinolophus ferrumequinum"	55.7926895436888	102.896205131978	"air"	"open_circle_bat"	"FALSE"	"Long & Schnitzler, 1975"	"digitised_from_figure"	""
"1"	"Didelphis virginiana"	"Virginia opossum"	"Didelphis virginiana"	276.602421898069	68.8410910216144	"air"	"filled_circle"	"FALSE"	"Ravizza, Heffner, & Masterton, 1969a"	"digitised_from_figure"	""
"2"	"Marmosa elegans"	"mouse opossum"	"Thylamys elegans"	60.4988151862968	78.021856492046	"air"	"filled_circle"	"FALSE"	"Frost & Masterton, 1994"	"digitised_from_figure"	""
"3"	"Monodelphis domestica"	"short-tailed opossum"	"Monodelphis domestica"	116.182936664877	76.4947754933287	"air"	"filled_circle"	"FALSE"	"Frost & Masterton, 1994"	"digitised_from_figure"	""
"4"	"Hemiechinus auritus"	"hedgehog"	"Hemiechinus auritus"	170.75817377556	59.551774050535	"air"	"filled_circle"	"FALSE"	"Ravizza, Heffner, & Masterton, 1969b"	"digitised_from_figure"	""
"5"	"Tupaia glis"	"tree shrew"	"Tupaia glis"	136.706018645672	61.1421506948463	"air"	"filled_circle"	"FALSE"	"H. E. Heffner, Ravizza, & Masterton, 1969a"	"digitised_from_figure"	""
"6"	"Lemur fulvus"	"brown lemur"	"Eulemur fulvus"	272.261451822322	43.4052852236769	"air"	"filled_circle"	"FALSE"	"Sutherland, Granger, & Masterton, 1988"	"digitised_from_figure"	""
"7"	"Nycticebus coucang"	"slow loris"	"Nycticebus coucang"	219.587077645362	44.2717938954327	"air"	"filled_circle"	"FALSE"	"H. E. Heffner & Masterton, 1970"	"digitised_from_figure"	""
"8"	"Perodicticus potto"	"potto"	"Perodicticus potto"	221.199698685141	42.2762645550398	"air"	"filled_circle"	"FALSE"	"H. E. Heffner & Masterton, 1970"	"digitised_from_figure"	""
"9"	"Galago senegalensis"	"bushbaby"	"Galago senegalensis"	211.773244133673	65.7381126945387	"air"	"filled_circle"	"FALSE"	"H. E. Heffner, Ravizza, & Masterton, 1969b"	"digitised_from_figure"	""
"10"	"Aotus trivirgatus"	"owl monkey"	"Aotus trivirgatus"	227.94616779502	50.5076494032799	"air"	"filled_circle"	"FALSE"	"Beecher, 1974a"	"digitised_from_figure"	""
"11"	"Saimiri sciureus"	"squirrel monkey"	"Saimiri sciureus"	304.291073225991	43.1202343540541	"air"	"filled_circle"	"FALSE"	"Beecher, 1974b; Green, 1975"	"digitised_from_figure"	""
"12"	"Macaca nemestrina"	"pigtailed macaque"	"Macaca nemestrina"	474.589090209156	34.465933782662	"air"	"filled_circle"	"FALSE"	"Stebbins, Green, & Miller, 1966"	"digitised_from_figure"	""
"13"	"Macaca irus"	"crab-eating macaque"	"Macaca fascicularis"			"air"	"filled_circle"	"FALSE"	"Stebbins et al., 1966"	""	"point present in the figure but not recoverable from the Bath digitisation (dense cluster); audiogram ref in audiogram_source"
"14"	"Macaca mulatta"	"rhesus macaque"	"Macaca mulatta"	421.64519309213	40.9061962571161	"air"	"filled_circle"	"FALSE"	"Pfingst, Laycock, Flammino, Lonsbury-Martin, & Martin, 1978"	"digitised_from_figure"	""
"15"	"Macaca fuscata"	"Japanese macaque"	"Macaca fuscata"	460.71813005452	34.465933782662	"air"	"filled_circle"	"FALSE"	"Jackson & Heffner, 1997"	"digitised_from_figure"	""
"16"	"Cercopithecus aithiops"	"vervet"	"Chlorocebus aethiops"	400.400593648244	45.1556008587297	"air"	"filled_circle"	"FALSE"	"Owren, Hopp, Sinnott, & Petersen, 1988"	"digitised_from_figure"	""
"17"	"Cercopithecus mitis"	"blue monkey"	"Cercopithecus mitis"	400.451401767048	47.914299398559	"air"	"filled_circle"	"FALSE"	"C. H. Brown & Waser, 1984"	"digitised_from_figure"	""
"18"	"Cercopithecus neglectus"	"DeBrazza monkey"	"Cercopithecus neglectus"	421.674916650853	42.2762645550398	"air"	"filled_circle"	"FALSE"	"Owren et al., 1988"	"digitised_from_figure"	""
"19"	"Papio cynocephalus"	"yellow baboon"	"Papio cynocephalus"	579.990954387166	40.3706827184182	"air"	"filled_circle"	"FALSE"	"Heinz, Turkkan, & Harris, 1982"	"digitised_from_figure"	""
"20"	"Pan troglodytes"	"chimpanzee"	"Pan troglodytes"	657.129829432734	23.0588920323534	"air"	"filled_circle"	"FALSE"	"Farrer & Prim, 1965"	"digitised_from_figure"	""
"21"	"Homo sapiens"	"human"	"Homo sapiens"	870.541583685009	17.7165176586358	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Heffner, 1991"	"digitised_from_figure"	""
"22"	"Oryctolagus cuniculus"	"domestic rabbit"	"Oryctolagus cuniculus"	252.869453971435	49.1938881917886	"air"	"filled_circle"	"FALSE"	"H. E. Heffner & Masterton, 1980"	"digitised_from_figure"	""
"23"	"Sylvilagus floridana"	"eastern cottontail"	"Sylvilagus floridanus"	123.204223088872	56.4940472440078	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Koay, 1995"	"digitised_from_figure"	""
"24"	"Tamias striatus"	"eastern chipmunk"	"Tamias striatus"	108.594502660992	52.5443674661784	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Contos, 1989"	"digitised_from_figure"	""
"25"	"Marmota monax"	"groundhog"	"Marmota monax"	290.769726250498	27.5485652920428	"air"	"filled_circle"	"FALSE"	"Conesa, Heffner, & Heffner, 1991"	"digitised_from_figure"	""
"26"	"Cynomys ludovicianus"	"black-tailed prairie dog"	"Cynomys ludovicianus"	134.448687079661	26.1340652554299	"air"	"filled_circle"	"FALSE"	"R. S. Heffner, Heffner, Contos, & Kearns, 1994"	"digitised_from_figure"	""
"27"	"Cynomys leucurus"	"white-tailed prairie dog"	"Cynomys leucurus"	121.190338572031	26.1340652554299	"air"	"filled_circle"	"FALSE"	"R. S. Heffner et al., 1994"	"digitised_from_figure"	""
"28"	"Sciureus niger"	"fox squirrel"	"Sciurus niger"	157.315344365557	48.8708224513624	"air"	"filled_circle"	"FALSE"	"Jackson, Heffner, & Heffner, 1997"	"digitised_from_figure"	""
"29"	"Geomys bursarius"	"pocket gopher"	"Geomys bursarius"	113.100910380024	8.75382101225309	"air"	"filled_triangle_subterranean"	"TRUE"	"R. S. Heffner & Heffner, 1990b"	"digitised_from_figure"	""
"30"	"Heterocephalus glaber"	"naked mole rat"	"Heterocephalus glaber"	62.0651160487937	11.4688332575195	"air"	"filled_triangle_subterranean"	"TRUE"	"R. S. Heffner & Heffner, 1993"	"digitised_from_figure"	""
"31"	"Spalax ehrenbergi"	"blind mole rat"	"Nannospalax ehrenbergi"	88.4733382883108	5.85660655141258	"air"	"filled_triangle_subterranean"	"TRUE"	"R. S. Heffner & Heffner, 1992"	"digitised_from_figure"	""
"32"	"Dipodomys merriami"	"kangaroo rat"	"Dipodomys merriami"	90.2153206583042	51.8564956341558	"air"	"filled_circle"	"FALSE"	"H. E. Heffner & Masterton, 1980"	"digitised_from_figure"	""
"33"	"Onychomys leucogaster"	"grasshopper mouse"	"Onychomys leucogaster"	61.3846118090306	67.9398745890453	"air"	"filled_circle"	"FALSE"	"H. E. Heffner & Heffner, 1985"	"digitised_from_figure"	""
"34"	"Sigmodon hispidus"	"cotton rat"	"Sigmodon hispidus"	66.6102939742458	72.0905365060763	"air"	"filled_circle"	"FALSE"	"H. E. Heffner & Masterton, 1980"	"digitised_from_figure"	""
"35"	"Neotoma floridana"	"wood rat"	"Neotoma floridana"	116.971837174154	56.4940472440078	"air"	"filled_circle"	"FALSE"	"H. E. Heffner & Heffner, 1985"	"digitised_from_figure"	""
"36"	"Phyllotis darwini"	"Darwin's leaf-eared mouse"	"Phyllotis darwini"	64.1893210608206	74.0157705962958	"air"	"filled_circle"	"FALSE"	"Mooney, Heffner, & Heffner, 1990"	"digitised_from_figure"	""
"37"	"Meriones unguiculatus"	"gerbil"	"Meriones unguiculatus"	87.6007976161909	58.3861983172564	"air"	"filled_circle"	"FALSE"	"Ryan, 1976"	"digitised_from_figure"	""
"38"	"Acomys cahirinus"	"spiny mouse"	"Acomys cahirinus"	64.6607197004029	70.6795461318984	"air"	"filled_circle"	"FALSE"	"Mooney et al., 1990"	"digitised_from_figure"	""
"39"	"Rattus norvegicus"	"Norway rat, albino"	"Rattus norvegicus"	151.717401522619	72.567098621994	"air"	"filled_circle"	"FALSE"	"Kelly & Masterton, 1977"	"digitised_from_figure"	""
"40"	"Rattus norvegicus"	"Norway rat, hooded"	"Rattus norvegicus"	151.700290765299	68.8410910216144	"air"	"filled_circle"	"FALSE"	"H. E. Heffner, Heffner, Contos, & Ott, 1994"	"digitised_from_figure"	""
"41"	"Mus musculus"	"house mouse, wild"	"Mus musculus"	40.5496301041008	91.9927976001962	"air"	"filled_circle"	"FALSE"	"H. E. Heffner & Masterton, 1980"	"digitised_from_figure"	""
"42"	"Mus musculus"	"house mouse, domestic"	"Mus musculus"	61.8615718553541	79.0568095236125	"air"	"filled_circle"	"FALSE"	"Markl & Ehret, 1973"	"digitised_from_figure"	""
"43"	"Mesocricetus auritus"	"hamster"	"Mesocricetus auratus"	115.201040620106	46.3615164525225	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Koay, 1993"	"digitised_from_figure"	""
"44"	"Cavia porcellus"	"guinea pig"	"Cavia porcellus"	162.053962890438	49.1938881917886	"air"	"filled_circle"	"FALSE"	"R. S. Heffner, Heffner, & Masterton, 1971"	"digitised_from_figure"	""
"45"	"Chinchilla laniger"	"chinchilla"	"Chinchilla lanigera"	227.740585981287	33.1299696579631	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Heffner, 1991"	"digitised_from_figure"	""
"46"	"Canis familiaris"	"dog"	"Canis familiaris"	437.640559272371	43.981052496439	"air"	"filled_circle"	"FALSE"	"H. E. Heffner, 1983"	"digitised_from_figure"	""
"47"	"Felis catus"	"domestic cat"	"Felis catus"	258.824374766844	79.5794229240704	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Heffner, 1985b"	"digitised_from_figure"	""
"48"	"Mustela nivalis"	"least weasel"	"Mustela nivalis"	76.6597961703642	60.3417230707182	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Heffner, 1985a"	"digitised_from_figure"	""
"49"	"Mustela putorius"	"ferret"	"Mustela putorius"	182.412562406199	42.5557362730475	"air"	"filled_circle"	"FALSE"	"Kelly, Kavanagh, & Dalton, 1986"	"digitised_from_figure"	""
"50"	"Phoca vitulina"	"harbor seal in air"	"Phoca vitulina"	376.8004483717	23.2113252768574	"air"	"filled_circle"	"FALSE"	"Mohl, 1968"	"digitised_from_figure"	""
"51"	"Zalophus californianus"	"sea lion in air"	"Zalophus californianus"	397.16784624776	32.6962567021807	"air"	"filled_circle"	"FALSE"	"Schusterman, Balliet, & Nixon, 1972"	"digitised_from_figure"	""
"52"	"Elephas maximus"	"elephant"	"Elephas maximus"	3378.09356981239	10.4582305764106	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Heffner, 1980"	"digitised_from_figure"	""
"53"	"Equus caballus"	"horse"	"Equus caballus"	687.571286813575	33.3489788262352	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Heffner, 1983"	"digitised_from_figure"	""
"54"	"Sus scrofa"	"pig"	"Sus scrofa"	500.058976498786	40.9061962571161	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Heffner, 1990a"	"digitised_from_figure"	""
"55"	"Bos taurus"	"cattle"	"Bos taurus"	1282.02978692425	35.1539843356981	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Heffner, 1983"	"digitised_from_figure"	""
"56"	"Capra hircus"	"goat"	"Capra hircus"	682.654894573816	37.3016524745736	"air"	"filled_circle"	"FALSE"	"R. S. Heffner & Heffner, 1990a"	"digitised_from_figure"	""
"57"	"Ovis aries"	"sheep"	"Ovis aries"	677.802323460426	42.5557362730475	"air"	"filled_circle"	"FALSE"	"Wollack, 1963"	"digitised_from_figure"	""
"58"	"Inia geoffrensis"	"dolphin"	"Inia geoffrensis"	80.8411317153269	105.644128666402	"underwater"	"open_triangle_marine"	"TRUE"	"Jacobs & Hall, 1972"	"digitised_from_figure"	""
"59"	"Tursiops truncatus"	"porpoise"	"Tursiops truncatus"	76.2340758337778	143.045582654408	"underwater"	"open_triangle_marine"	"TRUE"	"Johnson, 1967"	"digitised_from_figure"	""
"60"	"Orcina orca"	"killer whale"	"Orcinus orca"	266.136167295531	34.2395893560218	"underwater"	"open_triangle_marine"	"TRUE"	"Hall & Johnson, 1972"	"digitised_from_figure"	""
"61"	"Delphinapterus leucas"	"beluga whale (Figure 7 only)"	"Delphinapterus leucas"			"underwater"	"figure7_only"	"TRUE"	"Awbrey, Thomas, & Kastelein, 1988; White, Ljungblad, Norris, Baron, & diSciara, 1977"	""	"beluga appears in Figure 7 only (caption); no Figure 6 point"
"62"	"Phoca vitulina"	"harbor seal"	"Phoca vitulina"	81.3556390910926	64.0281898690842	"underwater"	"open_triangle_marine"	"TRUE"	"Mohl, 1968"	"digitised_from_figure"	""
"63"	"Pagophilus groenlandicus"	"harp seal"	"Pagophilus groenlandicus"	121.515404715624	91.3886631769377	"underwater"	"open_triangle_marine"	"TRUE"	"Terhune & Ronald, 1972"	"digitised_from_figure"	""
"64"	"Pusa hispida"	"ringed seal"	"Pusa hispida"	80.7454513385086	60.740618412859	"underwater"	"open_triangle_marine"	"TRUE"	"Terhune & Ronald, 1975"	"digitised_from_figure"	""
