"search_id"	"sex_file"	"Sex_reported"	"habitat_type"	"Reference"	"Full_Reference"	"SpeciesName_Reported"	"CommonName_Reported"	"species_sci"	"Sleep_h_day"	"Sleep_h_day_drowsy_adj"	"REM_h"	"NREM_h"	"Sleep_cycle_min"	"REM_sleep_pct"	"Sleep_h_day_in_water"	"Sleep_h_day_on_land"	"REM_h_in_water"	"REM_h_on_land"	"NREM_h_in_water"	"NREM_h_on_land"	"USWS"	"BSWS"	"ASWS"	"N_reported"	"N_in_mean"	"Animals_sampled"	"EEG"	"Telemetry"	"Twenty_four_hour"	"Light"	"Adaptation"	"Diet_condition"	"Temperature"	"Restraint"	"Behavioural"	"Lab_condition_score"	"Summary_age_class"	"Monophasic_polyphasic"	"Error"	"Error_Note"	"Notes_Misc"	"Data_came_from"	"Post1988"
270	"Male"	"M"	"Land"	"Valatx & Bugat, 1974"	"Valatx, J. L., & Bugat, R. (1974). [Genetic Factors As Determinants Of The Waking-sleep Cycle In The Mouse (author's Transl)]. Brain Research, 69(2), 315-330."	"BALB/c"	"BALB/c"	"Mus musculus"	13.167	NA	0.9917	12.175	NA	7.53170805802385	NA	NA	NA	NA	NA	NA	""	""	""	8	8	8	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"0"	10	"Adult & Juvenile"	NA	""	""	"In French"	"Not from Zepelin"	"No"
116	"Male"	"M"	"Land"	"Galvao Et Al., 1983"	"Galvao De Moura Filho, A. G., Huggins, S. E., & Lines, S. G. (1983). Sleep And Waking In The Three-toed Sloth, Bradypus Tridactylus. Comparative Biochemical Physiology,  A, 76(2), 345-355."	"Bradypus Tridactylus"	"Three-toed Sloth"	"Bradypus tridactylus"	8.3536	2.7138	0.8725	7.4809	42.87	10.4445987358744	NA	NA	NA	NA	NA	NA	""	""	""	3	3	3	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"No"	"Normal"	"No"	"No"	"1"	10	NA	"Poly"	""	""	"Used Group III; N=4; Separated According Tos Ex; Used Table 2. Group III States 2 Males And 2 Females; We Went With The Table Wrt Sex - IC: Sleep Cycle From Table 2. Age Not Clear From The Paper, But The Body Mass Suggests The Males Were Adults"	"Not from Zepelin"	"No"
269	"Male"	"M"	"Land"	"Valatx & Bugat, 1974"	"Valatx, J. L., & Bugat, R. (1974). [Genetic Factors As Determinants Of The Waking-sleep Cycle In The Mouse (author's Transl)]. Brain Research, 69(2), 315-330."	"C3H/He"	"C3H/He"	"Mus musculus"	12.134	NA	1.1167	11.017	NA	9.20306576561727	NA	NA	NA	NA	NA	NA	""	""	""	8	8	8	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"0"	10	"Adult & Juvenile"	NA	""	""	"In French"	"Not from Zepelin"	"No"
266	"Male"	"M"	"Land"	"Valatx & Bugat, 1974"	"Valatx, J. L., & Bugat, R. (1974). [Genetic Factors As Determinants Of The Waking-sleep Cycle In The Mouse (author's Transl)]. Brain Research, 69(2), 315-330."	"C57BL/6J"	"C57BL/6J"	"Mus musculus"	12.495	NA	1.2933	11.202	NA	10.3505402160864	NA	NA	NA	NA	NA	NA	""	""	""	8	8	8	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"0"	10	"Adult & Juvenile"	NA	""	""	"In French"	"Not from Zepelin"	"No"
265	"Male"	"M"	"Land"	"Valatx & Bugat, 1974"	"Valatx, J. L., & Bugat, R. (1974). [Genetic Factors As Determinants Of The Waking-sleep Cycle In The Mouse (author's Transl)]. Brain Research, 69(2), 315-330."	"C57BR"	"C57BR"	"Mus musculus"	12.05	NA	1.3667	10.683	NA	11.3419087136929	NA	NA	NA	NA	NA	NA	""	""	""	8	8	8	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"0"	10	"Adult & Juvenile"	NA	""	""	"In French"	"Not from Zepelin"	"No"
81	"Male"	"M"	"Land"	"Crofts Et Al., 2001"	"Crofts, H. S., Wilson, S., Muggleton, N. G., Nutt, D. J., Scott, E. A., & Pearce, P. C. (2001). Investigation Of The Sleep Electrocorticogram Of The Common Marmoset (Callithrix Jacchus) Using Radiotelemetry. Clinical Neurophysiology, 112(12), 2265-2273."	"Callithrix Jacchus"	"Common Marmoset"	"Callithrix jacchus"	9.5061	NA	1.468	8.0831	50	15.4427157298997	NA	NA	NA	NA	NA	NA	""	""	""	4	2	2	"Yes"	"Telemetry / Radiotelemetry Used"	"2 (At least 12, but less than 24 hours)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	12	"Unknown"	NA	""	""	"Data For Males; Unclear If Adult Or Juv; No Body Weight Given; 12 Hr. Rec. Time"	"Not from Zepelin"	"Yes"
138	"Male"	"M"	"Land"	"Kantha & Suzuki, 2006"	"Kantha, S. S., & Suzuki, J. (2006). Sleep Quantitation In Common Marmoset, Cotton Top Tamarin And Squirrel Monkey By Non-invasive Actigraphy. Comparative Biochemistry & Physiology, Part A, 144, 203-210."	"Callithrix Jacchus"	"Common Marmoset"	"Callithrix jacchus"	12.383	NA	NA	NA	104.8	NA	NA	NA	NA	NA	NA	NA	""	""	""	5	5	5	"No"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"No"	"Normal"	"No"	"No"	"0"	7	"Adult & Juvenile"	NA	""	""	"Only Mean TST Taken; Sleep Cycle Includes One Baby Which May Account For Why It's So High; Does Not State If 0.8 Years Is Infant Or Juv"	"Not from Zepelin"	"Yes"
191	"Male"	"M"	"Marine"	"Mukhametov Et Al., 1984B"	"Mukhametov, L. M., Lyamin, O. I., & Polyakova, I. G. (1984B). [Sleep And Wakefulness In Northern Fur Seals (Callorhinus Ursinus)]. [Russian] Zh Vyssh Nerv Deiat Im I P Pavlova, 34(3), 465-471."	"Callorhinus Ursinus"	"Northern Fur Seal"	"Callorhinus ursinus"	8.712	NA	1.392	7.32	22.6	15.9779614325069	NA	NA	NA	NA	NA	NA	""	""	""	3	3	3	"Yes"	"Telemetry / Radiotelemetry Used"	"3 (24 hour recording period)"	"Normal light/dark conditions"	NA	"Normal"	"No"	NA	NA	10	"Unclassified"	NA	""	""	"Sea Mammals; Age Is Unclear; Not Sure If Adult Or Juv"	"Not from Zepelin"	"No"
192	"Male"	"M"	"Marine"	"Mukhametov Et Al., 1985"	"Mukhametov, L. M., Lyamin, O. I., & Polyakova, I. G. (1985). Interhemispheric 
Asynchrony Of The Sleep EEG In Northern Fur Seals. Experientia, 41(8), 1034-1035."	"Callorhinus Ursinus"	"Northern Fur Seal"	"Callorhinus ursinus"	7.272	NA	1.68	5.592	NA	23.1023102310231	NA	NA	NA	NA	NA	NA	""	""	""	1	1	1	"Yes"	"Telemetry / Radiotelemetry Used"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	13	"Juvenile"	NA	""	""	"Sea Mammals; Data Reported For 1 Male Aged 3.5 Years; Age Absolute Reported As 2m--22y; Not Sure If 3.5 Yrs Is Juv Or Adult; Zepelin (1989) Had Different Numbers; 24 Hour Recording"	"Not from Zepelin"	"No"
41	"Male"	"M"	"Land"	"Baumgardner Et Al., 1980"	"Baumgardner, D. J., Ward, S. E., & Dewsbury, D. A.  (1980). Diurnal Patterning Of Eight Activities In 14 Species Of Muroid Rodents. Animal Learning & Behavior, 8, 322-330."	"Calomys Callosus"	"Laucha De Campo"	"Calomys callosus"	6.9968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	12	12	12	"No"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	9	"Adult"	"Mono"	""	""	"TS Only; Took % Of Day And Night And Combined Totals; Do Not Know Exact Age B/c Gave Range Of 90-120 Days; 16hr/8hr Reverse Schedule; Females Excluded"	"Not from Zepelin"	"No"
