"animal_printed"	"species_sci"	"kind_of_areas_printed"	"modality"	"area_printed"	"area_not_shown"	"n_areas_in_group"	"area_connections_per_area"	"reference_printed"	"source"
"Opossum"	"Didelphis marsupialis"	"visual"	"visual"	"V1"	FALSE	NA	5	"Kahn et al., 2000"	"Changizi_Shimojo_2005_Table4"
"Opossum"	"Didelphis marsupialis"	"somatosensory"	"somatosensory"	"S1"	FALSE	NA	4	"Beck et al., 1996"	"Changizi_Shimojo_2005_Table4"
"Owl monkey"	"Aotus trivirgatus"	"visual"	"visual"	"V1"	FALSE	NA	11	"Lyon and Kaas, 2002b"	"Changizi_Shimojo_2005_Table4"
"Owl monkey"	"Aotus trivirgatus"	"visual"	"visual"	"DM"	FALSE	NA	14	"Beck and Kaas, 1998a"	"Changizi_Shimojo_2005_Table4"
"Owl monkey"	"Aotus trivirgatus"	"visual"	"visual"	"VP"	FALSE	NA	9	"Beck and Kaas, 1998a"	"Changizi_Shimojo_2005_Table4"
"Owl monkey"	"Aotus trivirgatus"	"visual"	"visual"	"MT"	FALSE	NA	7	"Krubitzer and Kaas, 1990a"	"Changizi_Shimojo_2005_Table4"
"Squirrel monkey"	"Saimiri sciureus"	"visual"	"visual"	"V1"	FALSE	NA	11	"Lyon and Kaas, 2002b"	"Changizi_Shimojo_2005_Table4"
"Squirrel monkey"	"Saimiri sciureus"	"visual"	"visual"	"DM"	FALSE	NA	15	"Beck and Kaas, 1998a"	"Changizi_Shimojo_2005_Table4"
"Squirrel monkey"	"Saimiri sciureus"	"visual"	"visual"	"MT"	FALSE	NA	7	"Krubitzer and Kaas, 1990a"	"Changizi_Shimojo_2005_Table4"
"Marmoset"	"Callithrix jacchus"	"visual"	"visual"	"V1"	FALSE	NA	12	"Lyon and Kaas, 2001"	"Changizi_Shimojo_2005_Table4"
"Marmoset"	"Callithrix jacchus"	"visual"	"visual"	"V2"	FALSE	NA	6	"Lyon and Kaas, 2001"	"Changizi_Shimojo_2005_Table4"
"Marmoset"	"Callithrix jacchus"	"visual"	"visual"	"MT"	FALSE	NA	7	"Krubitzer and Kaas, 1990a"	"Changizi_Shimojo_2005_Table4"
"Marmoset"	"Callithrix jacchus"	"somatosensory"	"somatosensory"	"S1 (3b)"	FALSE	NA	8	"Krubitzer and Kaas, 1990b"	"Changizi_Shimojo_2005_Table4"
"Marmoset"	"Callithrix jacchus"	"somatosensory"	"somatosensory"	"SII"	FALSE	NA	12	"Krubitzer and Kaas, 1990b"	"Changizi_Shimojo_2005_Table4"
"Bushbaby"	"Galago senegalensis"	"visual"	"visual"	"MT"	FALSE	NA	7	"Krubitzer and Kaas, 1990a"	"Changizi_Shimojo_2005_Table4"
"Bushbaby"	"Galago senegalensis"	"visual"	"visual"	"V1"	FALSE	NA	8	"Lyon and Kaas, 2002a"	"Changizi_Shimojo_2005_Table4"
"Bushbaby"	"Galago senegalensis"	"visual"	"visual"	"DM"	FALSE	NA	12	"Beck and Kaas, 1998b"	"Changizi_Shimojo_2005_Table4"
"Bushbaby"	"Galago senegalensis"	"visual"	"visual"	"V2"	FALSE	NA	10	"Collins et al., 2001"	"Changizi_Shimojo_2005_Table4"
"Tree shrew"	"Tupaia belangeri"	"visual"	"visual"	"V1"	FALSE	NA	4	"Lyon et al., 1998"	"Changizi_Shimojo_2005_Table4"
"Tree shrew"	"Tupaia belangeri"	"visual"	"visual"	"V2"	FALSE	NA	7	"Lyon et al., 1998"	"Changizi_Shimojo_2005_Table4"
"Tree shrew"	"Tupaia belangeri"	"visual"	"visual"	"TD"	FALSE	NA	4	"Lyon et al., 1998"	"Changizi_Shimojo_2005_Table4"
"Tree shrew"	"Tupaia belangeri"	"visual"	"visual"	"TA"	FALSE	NA	4	"Lyon et al., 1998"	"Changizi_Shimojo_2005_Table4"
"Tree shrew"	"Tupaia belangeri"	"visual"	"visual"	"TD"	FALSE	NA	5	"Lyon et al., 1998"	"Changizi_Shimojo_2005_Table4"
"Tree shrew"	"Tupaia belangeri"	"visual"	"visual"	"TP"	FALSE	NA	5	"Lyon et al., 1998"	"Changizi_Shimojo_2005_Table4"
"Rat"	"Rattus norvegicus"	"somatosensory"	"somatosensory"	"S1"	FALSE	NA	7	"Fabri and Burton, 1991"	"Changizi_Shimojo_2005_Table4"
"Flying fox"	"Pteropus poliocephalus"	"somatosensory"	"somatosensory"	"S1 (3b)"	FALSE	NA	6	"Krubitzer et al., 1993"	"Changizi_Shimojo_2005_Table4"
"Flying fox"	"Pteropus poliocephalus"	"somatosensory"	"somatosensory"	"1/2"	FALSE	NA	5	"Krubitzer et al., 1993"	"Changizi_Shimojo_2005_Table4"
"Flying fox"	"Pteropus poliocephalus"	"somatosensory"	"somatosensory"	"SII"	FALSE	NA	8	"Krubitzer et al., 1993"	"Changizi_Shimojo_2005_Table4"
"Flying fox"	"Pteropus poliocephalus"	"somatosensory"	"somatosensory"	"PV"	FALSE	NA	6	"Krubitzer et al., 1993"	"Changizi_Shimojo_2005_Table4"
"Flying fox"	"Pteropus poliocephalus"	"somatosensory"	"somatosensory"	"LP"	FALSE	NA	10	"Krubitzer et al., 1993"	"Changizi_Shimojo_2005_Table4"
"Squirrel"	"Sciurus carolinensis"	"visual"	"visual"	"V1"	FALSE	NA	3	"Kaas et al., 1989"	"Changizi_Shimojo_2005_Table4"
"Squirrel"	"Sciurus carolinensis"	"visual"	"visual"	"V2"	FALSE	NA	10	"Kaas et al., 1989"	"Changizi_Shimojo_2005_Table4"
"Squirrel"	"Sciurus carolinensis"	"somatosensory"	"somatosensory"	"S1 (3b)"	FALSE	NA	5	"Krubitzer et al., 1986; Krubitzer and Kaas, 1990b"	"Changizi_Shimojo_2005_Table4"
"Squirrel"	"Sciurus carolinensis"	"somatosensory"	"somatosensory"	"SII"	FALSE	NA	6	"Krubitzer et al., 1986; Krubitzer and Kaas, 1990b"	"Changizi_Shimojo_2005_Table4"
"Squirrel"	"Sciurus carolinensis"	"somatosensory"	"somatosensory"	"PV"	FALSE	NA	8	"Krubitzer et al., 1986"	"Changizi_Shimojo_2005_Table4"
"Cat"	"Felis catus"	"40 sensory areas"	"sensory"	"not shown here"	TRUE	40	NA	"Scannell et al., 1995"	"Changizi_Shimojo_2005_Table4"
"Macaque"	"Macaca mulatta"	"8 visual areas"	"visual"	"not shown here"	TRUE	8	NA	"Lewis and van Essen, 2000"	"Changizi_Shimojo_2005_Table4"
"Macaque"	"Macaca mulatta"	"56 sensory-motor areas"	"sensory-motor"	"not shown here"	TRUE	56	NA	"Young, 1993"	"Changizi_Shimojo_2005_Table4"
