"Species_Matano1986"	"n"	"body_weight_g"	"Nucleus_vestibularis_superior_unilateral_mm3"	"Nucleus_vestibularis_lateralis_unilateral_mm3"	"Nucleus_vestibularis_medialis_unilateral_mm3"	"Nucleus_vestibularis_descendens_unilateral_mm3"	"Complexus_vestibularis_unilateral_mm3"
"Tupaia glis"	2	170	2.16	2.07	3.27	2.62	10.1
"Urogale everetti"	1	275	1.91	2.33	4.68	3.59	12.5
"Microcebus murinus"	2	54	0.679	0.76	1.5	1.08	4.02
"Cheirogaleus major"	2	450	1.86	1.78	4.18	3.27	11.1
"C. medius"	1	177	1.36	1	2.03	1.61	6
"Lemur albifrons"	2	1400	6.22	5.9	9.75	9.27	31.1
"Varecia variegata"	1	3000	6.92	7.86	14.8	13.8	43.4
"Lepilemur ruficaudatus"	1	915	2.11	2.38	5.92	4.47	14.9
"Avahi laniger laniger"	1	1285	4.27	5.02	9.21	5.19	23.7
"A. l. occidentalis"	1	860	3.1	3.32	6.86	4.81	18.1
"Propithecus verreauxi"	2	3480	8.18	7.37	15.3	12.4	43.3
"Indri indri"	2	6250	7.8	9.51	22.2	11.8	51.3
"Daubentonia madagascariensis"	1	2800	8.45	8.13	18	12.7	47.3
"Loris tardigradus"	2	322	1.61	1.22	3.55	2.08	8.46
"Nycticebus coucang"	2	800	3.03	3.05	7.32	5.14	18.5
"Perodicticus potto"	2	1150	2.86	2.66	7.87	3.88	17.3
"Galago senegalensis"	2	186	1.36	1.43	3.42	2.93	9.14
"Otolemur crassicaudatus"	2	850	2.85	2.87	7.16	7.01	19.9
"Galagoides demidovii"	2	81	1.02	1.01	2.72	1.9	6.65
"Tarsius spp."	4	125	0.759	1.16	3.36	2.41	7.69
"Callithrix jacchus"	2	280	2.69	4.07	5.8	2.6	15.2
"Cebuella pygmaea"	2	140	2.1	2.94	4.11	1.96	11.1
"Saguinus midas"	2	340	3.21	3.28	5.7	3.6	15.8
"S. oedipus"	2	380	2.98	3.63	7.25	4.49	18.4
"Cebus albifrons"	1	3100	11.2	7.45	19.2	12.3	50.2
"Aotus trivirgatus"	2	830	6.07	5.14	11.1	5.81	28.1
"Callicebus moloch"	2	900	6.17	5.29	13.1	8.52	33.1
"Saimiri sciureus"	2	660	4.43	6.26	11.4	7.31	29.4
"Pithecia monachus"	2	1500	8.07	8.58	12	10.1	38.8
"Alouatta seniculus"	2	6400	9.09	9.27	16.3	11.2	45.9
"Ateles geoffroyi"	1	8000	7.2	6.81	23.8	11.9	49.7
"Lagothrix lagotricha"	2	5200	9.07	6.94	23	14.1	53.1
"Macaca mulatta"	2	7800	16.4	16.9	33.7	15.5	82.5
"Cercocebus albigena"	2	7900	16.2	10	35.6	25.2	87
"Papio anubis"	2	25000	14.4	10.5	48.1	33.9	107
"Cercopithecus ascanius"	2	3400	8.21	5.88	20.8	17.2	52.1
"C. mitis"	1	6300	15	10.5	30.7	24.3	80.5
"Miopithecus talapoin"	2	1200	7.61	7.25	15.7	9.24	39.8
"Erythrocebus patas"	2	7800	15.2	17.9	40.3	15.6	89
"Colobus badius"	2	7000	8.68	10	24.1	14.5	57.3
"Pygathrix nemaeus"	1	7500	14	12.2	18.1	18.2	62.5
"Nasalis larvatus"	1	14000	12.6	14.8	33.6	25.2	86.2
"Hylobates lar"	1	5700	14.9	5.53	24.5	14.5	59.4
"Pan troglodytes"	1	46000	23.5	9.65	54.7	29.8	118
"Gorilla gorilla"	2	105000	34.7	19.5	58.4	23.6	136
"Homo sapiens sapiens"	2	65000	35.8	22.4	72.8	45.9	177
