"species"	"reference"	"group"	"specimen"	"region"	"cell_type"	"measure"	"value"	"units"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cerebellum"	"Total"	"cell_density"	509.25	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cerebellum"	"Neurons"	"cell_density"	458.477775	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cerebellum"	"Non-neurons"	"cell_density"	50.772225	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cortex"	"Total"	"cell_density"	94.046875	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cortex"	"Neurons"	"cell_density"	36.96042	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cortex"	"Non-neurons"	"cell_density"	57.08645	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Olfactory"	"Total"	"cell_density"	645.347782258065	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Olfactory"	"Neurons"	"cell_density"	124.229448084677	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Olfactory"	"Non-neurons"	"cell_density"	521.118334173387	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Hippocampus"	"Total"	"cell_density"	125	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Hippocampus"	"Neurons"	"cell_density"	17.0625	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Hippocampus"	"Non-neurons"	"cell_density"	107.9375	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Rest"	"Total"	"cell_density"	88.4	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Rest"	"Neurons"	"cell_density"	30.4096	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Rest"	"Non-neurons"	"cell_density"	57.9904	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cerebellum"	"Total"	"cell_density"	870.091911764706	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cerebellum"	"Neurons"	"cell_density"	810.751643382353	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cerebellum"	"Non-neurons"	"cell_density"	59.3402683823531	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cortex"	"Total"	"cell_density"	75.8333333333333	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cortex"	"Neurons"	"cell_density"	17.21417	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cortex"	"Non-neurons"	"cell_density"	58.61917	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Olfactory"	"Total"	"cell_density"	332.948369565217	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Olfactory"	"Neurons"	"cell_density"	51.2740489130435	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Olfactory"	"Non-neurons"	"cell_density"	281.674320652174	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Hippocampus"	"Total"	"cell_density"	88.9583333333333	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Hippocampus"	"Neurons"	"cell_density"	11.5645833333333	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Hippocampus"	"Non-neurons"	"cell_density"	77.39375	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Rest"	"Total"	"cell_density"	125.184188741722	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Rest"	"Neurons"	"cell_density"	33.1362547599338	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Rest"	"Non-neurons"	"cell_density"	92.0479339817881	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cerebellum"	"Total"	"cell_density"	641.573567708333	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cerebellum"	"Neurons"	"cell_density"	535.07235546875	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cerebellum"	"Non-neurons"	"cell_density"	106.501212239583	"cells_per_mg (as published; verify against paper)"
"Mus musculus"	"BarbeitoAndres_etal_2019"	"C"	NA	"Cortex"	"Total"	"cell_density"	119.693933823529	"cells_per_mg (as published; verify against paper)"
