"Species"	"species_as_published"	"weight_brain_stem_mg"	"weight_prosencephalon_mg"	"ratio_prosencephalon_to_brainstem"	"weight_cerebellum_mg"	"ratio_cerebellum_to_brainstem"	"data_role"	"secondary_source"	"source_location"
NA	"Frog"	49	48	0.98	NA	NA	"primary"	NA	"Table 2, \"Weights in grams of the brain stem, prosencephalon and cerebellum and the ratios of the suprasegmental parts to the brain stem\""
"Gallus gallus"	"Chicken"	1110	1830	1.65	460	0.41	"primary"	NA	"Table 2, \"Weights in grams of the brain stem, prosencephalon and cerebellum and the ratios of the suprasegmental parts to the brain stem\""
NA	"Turtle"	197	491	2.49	38	0.19	"primary"	NA	"Table 2, \"Weights in grams of the brain stem, prosencephalon and cerebellum and the ratios of the suprasegmental parts to the brain stem\""
"Rattus norvegicus"	"Rat"	337	1198	3.56	244	0.72	"secondary"	"Donaldson (1924)"	"Table 2, \"Weights in grams of the brain stem, prosencephalon and cerebellum and the ratios of the suprasegmental parts to the brain stem\""
"Oryctolagus cuniculus"	"Rabbit"	1642	6118	3.72	1381	0.84	"primary"	NA	"Table 2, \"Weights in grams of the brain stem, prosencephalon and cerebellum and the ratios of the suprasegmental parts to the brain stem\""
"Cavia porcellus"	"Guinea pig"	671	2803	4.18	532	0.79	"primary"	NA	"Table 2, \"Weights in grams of the brain stem, prosencephalon and cerebellum and the ratios of the suprasegmental parts to the brain stem\""
"Felis catus"	"Cat"	2980	20610	6.92	3960	1.38	"primary"	NA	"Table 2, \"Weights in grams of the brain stem, prosencephalon and cerebellum and the ratios of the suprasegmental parts to the brain stem\""
"Canis lupus familiaris"	"Dog"	6030	63520	10.53	7370	1.22	"primary"	NA	"Table 2, \"Weights in grams of the brain stem, prosencephalon and cerebellum and the ratios of the suprasegmental parts to the brain stem\""
"Papio anubis"	"Baboon"	3910	142140	36.35	15490	3.96	"secondary"	"Riese & Riese (1952)"	"Table 2, \"Weights in grams of the brain stem, prosencephalon and cerebellum and the ratios of the suprasegmental parts to the brain stem\""
"Homo sapiens"	"Man"	27000	1164000	43.11	144000	5.33	"secondary"	"Donaldson (1909)"	"Table 2, \"Weights in grams of the brain stem, prosencephalon and cerebellum and the ratios of the suprasegmental parts to the brain stem\""
