"Species_Heuer2023"	"species_sci"	"Binomial_name_timetree"	"English_name"	"Microdraw_name"	"Provenance"	"Cerebellar_section_area_mm2"	"Cerebellar_section_length_mm"	"Cerebral_section_area_mm2"	"Cerebral_section_length_mm"	"Folial_width_median_mm"	"Folial_perimeter_median_mm"	"Molecular_layer_thickness_median_mm"	"Log10Area_cb_source"	"Log10Length_cb_source"	"Log10Area_ctx_source"	"Log10Length_ctx_source"	"Log10WidthMedian_source"	"Log10PeriodMedian_source"	"Log10ThicknessMedian_source"	"LogBodyWeight_source"	"LogBrainWeight_source"
"Ailurus fulgens"	"Ailurus fulgens"	"Ailurus fulgens"	"Red panda"	"Red panda"	"Brainmuseum"	157.284223583178	251.517745595361	396.875247956809	164.705067642167	0.865360712138394	2.35322062747112	0.211721	2.19668516283699	2.40056863170711	2.59865401397146	2.2167069617391	-0.0628028259027429	0.37166264659864	-0.674236063417515	8.49699048409872	3.70990682130601
"Alouatta palliata"	"Alouatta palliata"	"Alouatta palliata"	"Mantled howler"	"Mantled howler"	"Brainmuseum"	182.350207849845	231.3379706354	606.933294810698	229.188064862505	1.49953240014487	5.36663328513335	0.244158	2.26090626267579	2.36424692150398	2.78314096243023	2.36019199767879	0.175955853924896	0.729701919921975	-0.61232904119786	8.74033674273045	3.90962012081184
"Aotus trivirgatus"	"Aotus trivirgatus"	"Aotus trivirgatus"	"Night monkey"	"Night Monkey cell stained coronal"	"Brainmuseum"	114.890764459078	170.501194122406	439.529345231082	141.603521717773	1.4602214789579	5.27315773217572	0.268048	2.06028511915246	2.23172742496462	2.64298787610257	2.15107405450895	0.164418732355889	0.722070762264329	-0.571787428849808	6.89669433162271	2.82435065679837
"Aplodontia rufa"	"Aplodontia rufa"	"Aplodontia rufa"	"Mountain beaver"	"Mountain beaver"	"Brainmuseum"	88.8692980727327	135.586115215942	120.226712364758	49.3116291510158	0.89985946719266	2.14586629576045	0.171626	1.94875174994049	2.13221521760003	2.0800009713584	1.69294935093123	-0.0458253098810061	0.331602658532812	-0.765416919277597	7.00306545878646	1.95160817016995
"Bassariscus astutus"	"Bassariscus astutus"	"Bassariscus astutus"	"Ringtail cat"	"Ringtail cat Cell stain"	"Brainmuseum"	90.0978758223369	202.365825230267	208.184991343331	113.468529722907	0.734816472967412	1.94165630815359	0.161908	1.95471455202776	2.30613717236209	2.31844941676086	2.05487542749549	-0.13382111633104	0.288172358073465	-0.790731691888884	7.02997291170639	2.79971738962803
"Bos taurus indicus"	"Bos taurus indicus"	"Bos indicus"	"Zebu"	"Zebu cell stained"	"Brainmuseum"	662.344447123636	529.732023720113	2560.33881873599	647.799574376024	1.3401858782761	4.02993745708842	NA	2.82108389968352	2.72405622799421	3.40829744084729	2.8114406583296	0.127165037403001	0.605298306128169	NA	13.1615840905576	6.12249280951438
"Canis familiaris"	"Canis lupus familiaris"	"Canis lupus"	"Dog"	"Dog"	"Brainmuseum"	293.927375743579	368.965147761917	838.715428348838	263.339649266276	1.33537636979861	2.57102021138049	0.280959	2.46824003718079	2.56698534488661	2.92361463203038	2.42051625280596	0.12560368689157	0.410105490744968	-0.551357051528742	10.3449630981673	4.86753445045558
"Capra hircus domestica"	"Capra hircus domestica"	"Capra hircus"	"Goat"	"Goat"	"Brainmuseum"	220.044365867422	395.442553859639	695.982609066967	333.449078580086	0.959015863042336	2.36831713914149	0.200075	2.34251025313521	2.59708340223617	2.8425983877706	2.52302952167029	-0.0181742091225844	0.374439857914466	-0.698807174434004	10.3089526606442	4.66343909411206
"Castor canadensis"	"Castor canadensis"	"Castor canadensis"	"American beaver"	"American beaver"	"Brainmuseum"	141.691121402837	168.029191704103	326.196088912254	81.6284525036133	1.31345686502783	3.01603364233019	0.191026	2.15134263749826	2.22538473824187	2.51347874954911	1.91184156330682	0.118415814778734	0.479436181560094	-0.718907518155115	8.32161616781983	3.06339092202781
"Cavia porcellus"	"Cavia porcellus"	"Cavia porcellus"	"Guinea pig"	"Guineapig"	"Brainmuseum"	25.5952656359503	44.0871256715046	73.2252813048806	43.0647688787702	0.550966819206149	2.09505742272856	0.153721	1.40815964115834	1.64431178524736	1.86466104875818	1.63412212077443	-0.258874554813512	0.321195930897724	-0.813266798986057	6.16541785423142	1.57484646766448
