Genus	structure	slope	y_intercept	progression_index
Pongo	Whole brain	0.63	1.6128	8.48
Gorilla	Whole brain	0.63	1.6128	8.370000000000001
Pan	Whole brain	0.63	1.6128	11.41
Hylobates	Whole brain	0.63	1.6128	10.709999999999999
Homo	Whole brain	0.63	1.6128	30.12
Pongo	Medulla oblongata	0.6	0.7929999999999999	1.28
Gorilla	Medulla oblongata	0.6	0.7929999999999999	1.1700000000000002
Pan	Medulla oblongata	0.6	0.7929999999999999	1.49
Hylobates	Medulla oblongata	0.6	0.7929999999999999	2.02
Homo	Medulla oblongata	0.6	0.7929999999999999	2.01
Pongo	Cerebellum (including pons)	0.6699999999999999	0.5690000000000001	8.6
Gorilla	Cerebellum (including pons)	0.6699999999999999	0.5690000000000001	8.08
Pan	Cerebellum (including pons)	0.6699999999999999	0.5690000000000001	8.850000000000001
Hylobates	Cerebellum (including pons)	0.6699999999999999	0.5690000000000001	9.92
Homo	Cerebellum (including pons)	0.6699999999999999	0.5690000000000001	22.1
Pongo	Mesencephalon	0.54	0.5690000000000001	2.9899999999999998
Gorilla	Mesencephalon	0.54	0.5690000000000001	2.2800000000000002
Pan	Mesencephalon	0.54	0.5690000000000001	3.06
Hylobates	Mesencephalon	0.54	0.5690000000000001	3.69
Homo	Mesencephalon	0.54	0.5690000000000001	5.49
Pongo	Diencephalon	0.6	0.47650000000000003	6.52
Gorilla	Diencephalon	0.6	0.47650000000000003	6.28
Pan	Diencephalon	0.6	0.47650000000000003	8.19
Hylobates	Diencephalon	0.6	0.47650000000000003	10.639999999999999
Homo	Diencephalon	0.6	0.47650000000000003	14.4
Pongo	Telencephalon	0.63	1.357	10.93
Gorilla	Telencephalon	0.63	1.357	11.16
Pan	Telencephalon	0.63	1.357	15.91
Hylobates	Telencephalon	0.63	1.357	14.38
Homo	Telencephalon	0.63	1.357	43.41
Pongo	Neocortex	0.6699999999999999	0.47900000000000004	49.25
Gorilla	Neocortex	0.6699999999999999	0.47900000000000004	49
Pan	Neocortex	0.6699999999999999	0.47900000000000004	72.73
Hylobates	Neocortex	0.6699999999999999	0.47900000000000004	66.5
Homo	Neocortex	0.6699999999999999	0.47900000000000004	199.15
Pongo	Hippocampus	0.5700000000000001	0.587	1.3900000000000001
Gorilla	Hippocampus	0.5700000000000001	0.587	1.7
Pan	Hippocampus	0.5700000000000001	0.587	2.15
Hylobates	Hippocampus	0.5700000000000001	0.587	5
Homo	Hippocampus	0.5700000000000001	0.587	4.81
Pongo	Regio entorhinalis	0.6	0.0805	1.51
Gorilla	Regio entorhinalis	0.6	0.0805	2.2
Pan	Regio entorhinalis	0.6	0.0805	2.67
Hylobates	Regio entorhinalis	0.6	0.0805	5.26
Homo	Regio entorhinalis	0.6	0.0805	6.609999999999999
Pongo	Paleocortex (+ corpus amygdaloideum)	0.5700000000000001	1.0391	0.43000000000000005
Gorilla	Paleocortex (+ corpus amygdaloideum)	0.5700000000000001	1.0391	0.61
Pan	Paleocortex (+ corpus amygdaloideum)	0.5700000000000001	1.0391	0.55
Hylobates	Paleocortex (+ corpus amygdaloideum)	0.5700000000000001	1.0391	0.8400000000000001
Homo	Paleocortex (+ corpus amygdaloideum)	0.5700000000000001	1.0391	1.49
Pongo	Septum	0.5700000000000001	-0.034600000000000006	1.34
Gorilla	Septum	0.5700000000000001	-0.034600000000000006	1.75
Pan	Septum	0.5700000000000001	-0.034600000000000006	2.03
Hylobates	Septum	0.5700000000000001	-0.034600000000000006	2.36
Homo	Septum	0.5700000000000001	-0.034600000000000006	5.1
Pongo	Corpus striatum (nucleus caudatus/putamen)	0.6	0.257	9.18
Gorilla	Corpus striatum (nucleus caudatus/putamen)	0.6	0.257	7.83
Pan	Corpus striatum (nucleus caudatus/putamen)	0.6	0.257	10.8
Hylobates	Corpus striatum (nucleus caudatus/putamen)	0.6	0.257	14.77
Homo	Corpus striatum (nucleus caudatus/putamen)	0.6	0.257	20.56
