species_row	Species_Baron1996	mesencephalon_mm3	tegmentum_mesencephali_mm3	tectum_mesencephali_mm3	colliculi_inferiores_mm3	colliculi_superiores_mm3	source_pdf_page
1	Eidolon helvum	200.71	120.77	79.94	28.59	51.35	122
2	Rousettus aegyptiacus	109.12	67.99	41.13	15.47	25.66	122
3	Myonycteris torquata	66.67	41.31	25.36	7.45	17.91	122
4	Pteropus conspicillatus	334.6	207.25	127.36	37.41	89.95	122
5	Pteropus poliocephalus	337.07	220	117.07	36.84	80.23	122
6	Pteropus scapulatus	236.15	165.05	71.1	21.15	49.95	122
7	Pteropus tonganus	248.02	155.31	92.72	28.94	63.78	122
8	Pteropus vampyrus	380.74	235.6	145.14	40.28	104.86	122
9	Dobsonia inermis	109.96	73.96	35.99	12.83	23.17	122
10	D. moluccensis magna	208.55	134.74	73.8	25.55	48.26	122
11	Dobsonia praedatrix	127.13	82.76	44.37	16.4	27.97	122
12	Epomops franqueti	138.37	80.64	57.72	22.6	35.13	122
13	Epomophorus labiatus	92.48	53.12	39.36	14.87	24.48	122
14	Micropteropus pusillus	48.4	28.03	20.38	7.04	13.34	122
15	Scotonycteris zenkeri	42.03	24.37	17.66	6.39	11.27	122
16	Casinycteris argynnis	54.17	30.57	23.6	8.5	15.1	122
17	Cynopterus brachyotis	51.44	26.81	24.64	8.8	15.84	122
18	Cynopterus horsfieldi	74.85	42.27	32.58	11.18	21.4	122
19	Megaerops ecaudatus	44.08	26.31	17.77	7.47	10.3	122
20	Chironax melanocephalus	31.34	17.65	13.68	5.01	8.68	122
21	Balionycteris maculata	29.73	16.78	12.95	4.8	8.15	122
22	Nyctimene robinsoni	72.29	47.33	24.96	9.24	15.72	122
23	Nyctimene vizcaccia	55.98	31.81	24.17	8.31	15.86	122
24	Eonycteris spelaea	71.37	42.64	28.73	11.38	17.35	122
25	Macroglossus minimus	33.69	18.15	15.55	6.33	9.21	122
26	Syconycteris a. australis	31.42	16.81	14.6	5.32	9.28	122
27	Notopteris macdonaldi	66.18	42.22	23.95	9.71	14.24	122
28	Rhinopoma hardwickei	30.34	13.75	16.59	12.05	4.54	123
29	Rhinopoma microphyllum **	40.26	18.16	22.1	16.77	5.33	123
30	Emballonura monticola	19.99	8.36	11.63	8.26	3.38	123
31	Emballonura raffrayana	21.36	8.56	12.8	9.31	3.49	123
32	Emballonura semicaudata	19.89	8.7	11.19	7.91	3.28	123
33	Coleura afra	26.26	10.6	15.66	10.71	4.94	123
34	Rhynchonycteris naso	14.63	6.85	7.78	5.21	2.57	123
35	Saccopteryx leptura	22.21	8.59	13.62	8.89	4.73	123
