species_row	Species_Baron1996	total_cortex_mm2	total_minus_bulb_mm2	allocortex_minus_bulb_mm2	neocortex_mm2	allocortex_mm2	paleocortex_plus_bulb_mm2	schizocortex_mm2	hippocampus_mm2	cingulate_mm2	source_pdf_page
1	Pteropus giganteus	1678.1	246.6	1431.5	555.5	1122.6	876	657.2	93.9	124.8	159
2	Rousettus aegyptiacus	634.8	103.6	531.2	196.1	438.7	335.1	251.3	55.2	28.6	159
3	Saccopteryx bilineata	93.6	6.2	87.4	30.7	62.9	56.7	43	10.2	3.5	159
4	Rhinolophus hipposid.	97.5	10.5	87	33	64.5	54	37.9	14.1	2	159
5	Pteronotus parnelli	221.8	24.2	197.6	75.2	146.6	122.4	96	21.8	4.6	159
6	Pteronotus suapurens.	158.9	17.5	141.4	61.9	97	79.5	53.4	15.7	10.4	159
7	Phyllostomus discolor	361.6	39.2	322.4	133	228.6	189.4	146.2	31.8	11.3	159
8	Glossophaga soricina	182.3	20.5	161.8	60.4	121.9	101.4	72.8	21.7	6.9	159
9	Carollia perspicillata	217.6	31.3	186.3	70.6	147	115.7	86.2	24.2	5.3	159
10	Desmodus rotundus	364.3	35.2	329.1	120.3	244	208.8	173.4	22.7	12.7	159
11	Natalus mexican us 2;8	97.7	8.5	89.2	38.1	59.6	51.1	35	13.3		159
12	Myotis myotis	116	12.2	103.8	44.7	71.3	59.1	38.4	13.2	7.5	159
13	Plecotus auritus	128.1	13.6	114.5	39.8	88.3	74.7	50.8	16.1	7.8	159
14	Miniopterus schreib.	84.3	7.5	76.8	23.3	61	53.5	35.1	11.3	7.1	159
