"species"	"collection"	"sex"	"use"	"body_weight_g"	"brain_weight_mg"	"source"
"Didelphis m. marsupialis"	"P313"	"F"	"S"	1205	"6885"	"Pirlot__1981_TABLEI"
"Didelphis m. aurita"	"P321"	"F"	"S"	1150	"6033"	"Pirlot__1981_TABLEI"
"Didelphis azarae"	"J65069"	"M"	"W"	1229	"5100"	"Pirlot__1981_TABLEI"
"Didelphis virginiana"	"J66073"	"F"	"W"	1474	"6420"	"Pirlot__1981_TABLEI"
"Didelphis virginiana"	"J66075"	"M"	"S"	2494	"9300"	"Pirlot__1981_TABLEI"
"Philander opossum"	"J66076"	"F"	"S"	594	"4330"	"Pirlot__1981_TABLEI"
"Philander opossum"	"J66077"	"M"	"W"	558	"4150"	"Pirlot__1981_TABLEI"
"Metachirops (?) sp."	"P326"	"F"	"S"	375	"3305"	"Pirlot__1981_TABLEI"
"Marmosa (Marmosa) murina"	"J65067"	"M"	"S"	22	"770"	"Pirlot__1981_TABLEI"
"Marmosa (m.) domina"	"P327"	"M"	"S"	100	"1403"	"Pirlot__1981_TABLEI"
"Marmosa (Thylamys) sp."	"J70092"	"?"	"S"	170	"(2200)"	"Pirlot__1981_TABLEI"
"Caluromys lanatus"	"J66074"	"M"	"W"	378	"4650"	"Pirlot__1981_TABLEI"
"Caluromys lanatus"	"J66071"	"M"	"W"	501	"4900"	"Pirlot__1981_TABLEI"
"Caluromys lanatus"	"J66070"	"M"	"S"	418	"4540"	"Pirlot__1981_TABLEI"
"Antechinus flavipes (x)"	"J65047"	"F"	"S"	32	"760"	"Pirlot__1981_TABLEI"
"Antechinus flavipes (x)"	"J65048"	"F"	"W"	36	"770"	"Pirlot__1981_TABLEI"
"Sminthopsis murina"	"J64017"	"M"	"S"	10	"440"	"Pirlot__1981_TABLEI"
"Dasyurus quoll"	"J65060"	"F"	"S"	865	"7260"	"Pirlot__1981_TABLEI"
"Dasyurus quoll"	"J65061"	"M"	"W"	1162	"6620"	"Pirlot__1981_TABLEI"
"Dasyurus quoll"	"J65062"	"F"	"W"	709	"6900"	"Pirlot__1981_TABLEI"
"Sarcophilus harrisii"	"J65063"	"F"	"W"	3742	"14500"	"Pirlot__1981_TABLEI"
"Sarcophilus harrisii"	"J65065"	"F"	"S"	5060	"16260"	"Pirlot__1981_TABLEI"
"Isoodon obesulus"	"J64031"	"F"	"S"	1120	"5260"	"Pirlot__1981_TABLEI"
"Isoodon obesulus"	"J65032"	"M"	"W"	1372	"5310"	"Pirlot__1981_TABLEI"
"Isoodon obesulus"	"J65066"	"F"	"W"	1570	"5150"	"Pirlot__1981_TABLEI"
"Perameles nasuta"	"J65043"	"M"	"S"	1050	"5880"	"Pirlot__1981_TABLEI"
"Perameles nasuta"	"J65049"	"F"	"W"	1020	"5700"	"Pirlot__1981_TABLEI"
"Caenolestes obscurus"	"J69087"	"M"	"S"	26.5	"979"	"Pirlot__1981_TABLEI"
"Lestoros inca"	"J70094"	"?"	"S"	25.8	"790"	"Pirlot__1981_TABLEI"
"Petaurus breviceps"	"J64020"	"M"	"S"	171	"2480"	"Pirlot__1981_TABLEI"
"Petaurus breviceps"	"J65053"	"F"	"W"	110	"2390"	"Pirlot__1981_TABLEI"
"Petaurus norfolcensis"	"J64028"	"F"	"W"	250	"3230"	"Pirlot__1981_TABLEI"
"Schoinobates volans"	"J64037"	"M"	"S"	1305	"4910"	"Pirlot__1981_TABLEI"
"Pseudocheirus peregrinus"	"J64019"	"M"	"W"	658	"5520"	"Pirlot__1981_TABLEI"
"Pseudocheirus peregrinus"	"J64026"	"F"	"W"	476	"4720"	"Pirlot__1981_TABLEI"
"Pseudocheirus peregrinus"	"J64038"	"F"	"S"	728	"5570"	"Pirlot__1981_TABLEI"
"Trichosurus vulpecula"	"J64029"	"F"	"W"	1040	"12120"	"Pirlot__1981_TABLEI"
"Trichosurus vulpecula"	"J64040"	"F"	"S"	2150	"12970"	"Pirlot__1981_TABLEI"
"Vombatus mitchelli (ursinus ?)"	"J64011"	"M"	"S"	15876	"55400"	"Pirlot__1981_TABLEI"
"Potorous tridactylus"	"J65055"	"M"	"S"	1304	"12340"	"Pirlot__1981_TABLEI"
"Potorous tridactylus"	"J65056"	"M"	"W"	1358	"12130"	"Pirlot__1981_TABLEI"
"Setonix brachyurus"	"J64035"	"M"	"W"	2160	"17520"	"Pirlot__1981_TABLEI"
"Setonix brachyurus"	"J64036"	"F"	"W"	2220	"12780"	"Pirlot__1981_TABLEI"
"Setonix brachyurus"	"J67079"	"M"	"S"	3170	"14210"	"Pirlot__1981_TABLEI"
"Setonix brachyurus"	"J67080"	"F"	"W"	2430	"14100"	"Pirlot__1981_TABLEI"
"Thylogale billardieri"	"J65057"	"M"	"S"	8845	"25720"	"Pirlot__1981_TABLEI"
"Macropus eugenii"	"J64033"	"F"	"S"	3580	"12560"	"Pirlot__1981_TABLEI"
"Macropus eugenii"	"J64034"	"M"	"W"	3640	"16150"	"Pirlot__1981_TABLEI"
"Macropus rufogriseus"	"J65064"	"M"	"S"	12786	"36560"	"Pirlot__1981_TABLEI"
"Macropus giganteus"	"P309"	"F"	"S"	21000	"53850"	"Pirlot__1981_TABLEI"
