Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Acinonyx jubatus,gait,Duty_Factor,percent,70,70,1,1,1,True,Wimberly,primary,70,70
Acinonyx jubatus,gait,Foot_Posture,category,digitigrade,,1,1,1,True,Wimberly,primary,,
Acinonyx jubatus,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Acinonyx jubatus,gait,Phase,percent,18,18,1,1,1,True,Wimberly,primary,18,18
Acrobates pygmaeus,gait,Duty_Factor,percent,55.35,55.35,1,1,1,True,Wimberly,primary,55.35,55.35
Acrobates pygmaeus,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Acrobates pygmaeus,gait,Gait,category,LSDC,,1,1,1,True,Wimberly,primary,,
Acrobates pygmaeus,locomotion,Locomotor_diversity_index,index,1.46311620781614,1.46311620781614,1,1,1,True,Granatosky,primary,1.46311620781614,1.46311620781614
Acrobates pygmaeus,gait,Phase,percent,50.19,50.19,1,1,1,True,Wimberly,primary,50.19,50.19
Adapis parisiensis,manipulation,Tool_use,category,0,,1,1,0,False,Baker,secondary,,
Adapis parisiensis,hand_morphology,log10_dp3_mm,log10 mm,0.597695185925512,0.597695185925512,1,1,1,True,Baker,primary,0.597695185925512,0.597695185925512
Adapis parisiensis,hand_morphology,log10_ip3_mm,log10 mm,1.04805317311561,1.04805317311561,1,1,1,True,Baker,primary,1.04805317311561,1.04805317311561
Adapis parisiensis,hand_morphology,log10_mc1_mm,log10 mm,0.979092900638326,0.979092900638326,1,1,1,True,Baker,primary,0.979092900638326,0.979092900638326
Adapis parisiensis,hand_morphology,log10_mc2_mm,log10 mm,1.18098558078673,1.18098558078673,1,1,1,True,Baker,primary,1.18098558078673,1.18098558078673
Adapis parisiensis,hand_morphology,log10_mc3_mm,log10 mm,1.24204423936955,1.24204423936955,1,1,1,True,Baker,primary,1.24204423936955,1.24204423936955
Adapis parisiensis,hand_morphology,log10_mc4_mm,log10 mm,1.23468597432153,1.23468597432153,1,1,1,True,Baker,primary,1.23468597432153,1.23468597432153
