Organism,Genus,Species,Common name,VA,MT,SUBSTRATE,METHOD DETAILS,SECONDARY SOURCE,PRIMARY SOURCE 1,PRIMARY SOURCE 2,SPECIES IN PRIMARY REFERENCE,NOTE,PROCEDURE NOTE
Acinonyx jubatus,Acinonyx,jubatus,Cheetah,23.02,A,,,Veilleaux and Kirk 2014,"Ross and Kirk, 2007","Hughes, 1977",,,
Cuniculus paca,Cuniculus,paca,Spotted paca,2.80,A,,,Veilleaux and Kirk 2014,"Silveira, Picanço-Diniz and Oswaldo-Cruz, 1989",,Agouti paca,,
Alouatta caraya,Alouatta,caraya,Black-and-gold howler monkey,59.61,A,,retinal cone cell density,Veilleaux and Kirk 2014,"Ross and Kirk, 2007","Franco et al., 2000",,,
Aonyx cinerea,Aonyx,cinerea,Asian clawless otter ,2.20,B,air,,Kirk and Kay 2004,"Balliet and Schusterman, 1971",,,Not included in Veilleaux and Kirk 2014,
Aonyx cinerea,Aonyx,cinerea,Asian clawless otter ,2.00,B,water,,Kirk and Kay 2004,"Balliet and Schusterman, 1971",,,Not included in Veilleaux and Kirk 2014,
Aotus azarae,Aotus,azarae,Azara’s owl monkey,8.30,A,,,Veilleaux and Kirk 2014,"Yamada et al., 2001",,,,
Aotus trivirgatus,Aotus,trivirgatus,Northern owl monkey ,10.00,B,,,Veilleaux and Kirk 2014,"Jacobs, 1977",,,,
Artibeus cinereus,Artibeus,cinereus,Gervaif fruit eating bat ,1.40,A,,,Veilleaux and Kirk 2014,"Pettrigrew et al., 1988",,,,
Artibeus jamaicensis,Artibeus,jamaicensis,Jamaican fruit-eating bat ,0.17,B,,,Veilleaux and Kirk 2014,"Suthers, 1966",,,,
Balaenoptera acutorostrata,Balaenoptera,acutorostrata,Minke whale ,4.20,A,water,,Kirk and Kay 2004,"Murayama et al., 1992",,,Not included in Veilleaux and Kirk 2014,
Bos taurus,Bos,taurus,Domestic cow,10.31,A,,,Veilleaux and Kirk 2014,"Hebel, 1976","Howland, Merola and Basarb, 2004",,,
Callithrix jacchus,Callithrix,jacchus,Common marmoset ,30.00,A,,,Veilleaux and Kirk 2014,"Troilo, Howland and Judge, 1993",,,,
Callorhinus ursinus,Callorhinus,ursinus,Northern fur seal ,7.10,A,,,Kirk and Kay 2004,"Mass and Supin, 1992",,,Not included in Veilleaux and Kirk 2014,
Camelus bactrianus,Camelus,bactrianus,Bactrian camel ,10.00,B,,,Veilleaux and Kirk 2014,"Harman et al., 2001",,,,
Camelus dromedarius,Camelus,dromedarius,Dromedary camel ,10.40,A,,,Veilleaux and Kirk 2014,"Harman et al., 2001",,,,
Canis lupus familiaris,Canis,lupus familiaris,Dog ,8.3,A,,ganglion cell density,Heffner and Heffner 1992,Heffner and Heffner 1992,,Canis familiaris,From Heffner spreadsheet,DROPPED - subspecies not in PANTHERIA
Canis lupus,Canis,lupus,Gray wolf,14.57,A,,,Veilleaux and Kirk 2014,"Peichl, 1992",19,,,
Capra hircus,Capra,hircus,domestic goat ,8.43,A,,,Veilleaux and Kirk 2014,10,11,,,
Carollia perspicillata,Carollia,perspicillata,Seba's short-tailed bat,0.94,A,,,Veilleaux and Kirk 2014,37,,,,
Cebus apella,Cebus,apella,Tufted capuchin ,54.75,A,,,Veilleaux and Kirk 2014,78,,,,
Cheirogaleus medius,Cheirogaleus,medius,Fat-tailed dwarf lemur,2.84,A,,,Veilleaux and Kirk 2014,86,,,,
Chlorocebus aethiops,Chlorocebus,aethiops,Grivet monkey,55.23,A,,,Veilleaux and Kirk 2014,79,80,,,
Choloepus didactylus,Choloepus,disactylus,Linné's two-toed sloth,1.54,A,,,Veilleaux and Kirk 2014,"Ross and Kirk, 2007",122,,,
Crocuta crocuta,Crocuta,crocuta,spotted hyena,8.40,A,,,Veilleaux and Kirk 2014,20,,,,
Dama dama,Dama,dama,Fallow deer,18.48,A,,,Veilleaux and Kirk 2014,"Ross and Kirk, 2007",12,,,
Dasyprocta leporina,Dasyprocta,leporina,Red-rumped agouti,6.21,A,,,Veilleaux and Kirk 2014,95,,Dasyprocta leoporina,,
Dasyurus hallucatus,Dasyurus,hallucatus,Quoll ,2.80,B,,,Veilleaux and Kirk 2014,48,,,,
Delphinapterus leucas,Delphinapterus,leucas,Beluga whale ,2.60,A,water,,Kirk and Kay 2004,"Murayama and Somiya, 1998",,,Not included in Veilleaux and Kirk 2014,
Delphinus delphis,Delphinus,delphis,Common dolphin ,3.80,A,water,,Kirk and Kay 2004,"Dral, 1983",,,,
Desmodus rotundus,Desmodus,rotundus,Vampire bat,0.63,B,,,Veilleaux and Kirk 2014,39,,,Not included in Veilleaux and Kirk 2014,
Diceros bicornis,Diceros,bicornis,Black rhinoceros,6.00,A,,,Veilleaux and Kirk 2014,71,,,,
Didelphis marsupialis,Didelphis,marsupialis,Common opossum,1.25,A,,,Veilleaux and Kirk 2014,56,,,,
Didelphis virginiana,Didelphis,virginiana,Virginia opossum,2.49,A,,,Veilleaux and Kirk 2014,"Ross and Kirk, 2007",57,,,
Eidolon helvum,Eidolon,helvum,Straw-colored fruit bat,3.4,A,,ganglion cell density,Heffner et al 2008,Heffner et al 2008,,,From Heffner spreadsheet,
