SensoryData_excel_row,species,common_name,SensoryData_VA_cdeg,SensoryData_method,SensoryData_substrate,SensoryData_reference,species_present_in_Part1,Part1_VA_for_this_species,Part1_method,Part1_substrate,Part1_secondary_source,status,SensoryData_value_is_Part1_value_of
2,Acinonyx jubatus,Cheetah,23.02,A,,Veilleaux and Kirk 2014,True,23.02,A,,Veilleaux and Kirk 2014,agree,
4,Alouatta caraya,Black-and-gold howler monkey,2.8,A,,Veilleaux and Kirk 2014,True,59.61,A,,Veilleaux and Kirk 2014,MISMATCH,Cuniculus paca|Dasyurus hallucatus
6,Aonyx cinerea,Asian clawless otter,59.61,A,,Veilleaux and Kirk 2014,True,2.2|2.0,B|B,air|water,Kirk and Kay 2004|Kirk and Kay 2004,MISMATCH,Alouatta caraya
7,Aonyx cinerea,Asian clawless otter,2.2,B,air,Kirk and Kay 2004,True,2.2|2.0,B|B,air|water,Kirk and Kay 2004|Kirk and Kay 2004,agree,Mustela nivalis
8,Aotus azarae,Azara’s owl monkey,2.0,B,water,Kirk and Kay 2004,True,8.3,A,,Veilleaux and Kirk 2014,MISMATCH,Aonyx cinerea
9,Aotus trivirgatus,Northern owl monkey,8.3,A,,Veilleaux and Kirk 2014,True,10.0,B,,Veilleaux and Kirk 2014,MISMATCH,Aotus azarae|Canis lupus familiaris
10,Artibeus cinereus,Gervaif fruit eating bat,10.0,B,,Veilleaux and Kirk 2014,True,1.4,A,,Veilleaux and Kirk 2014,MISMATCH,Aotus trivirgatus|Camelus bactrianus
11,Artibeus jamaicensis,Jamaican fruit-eating bat,1.4,A,,Veilleaux and Kirk 2014,True,0.167,B,,Veilleaux and Kirk 2014,MISMATCH,Artibeus cinereus
12,Balaenoptera acutorostrata,Minke whale,0.167,B,,Veilleaux and Kirk 2014,True,4.2,A,water,Kirk and Kay 2004,MISMATCH,Artibeus jamaicensis|Phyllostomus hastatus
13,Bos taurus,Domestic cow/cattle,4.2,A,water,Kirk and Kay 2004,True,10.31,A,,Veilleaux and Kirk 2014,MISMATCH,Balaenoptera acutorostrata|Enhydra lutris|Eumetopias jubatus|Microcebus murinus
