Code,Definition,Structure,Measure,Reference,Note
Mass_g,mass (g),,"Mass,g",HerculanoHouzel_2015,
N_n,number of neurons,,"N,n",HerculanoHouzel_2015,
Nmg,neuronal density (in neurons/mg),,N/mg,HerculanoHouzel_2015,
O_n,number of other cells,,"O,n",HerculanoHouzel_2015,
Omg,other cells density (in neurons/mg),,Omg,HerculanoHouzel_2015,
ON,"O/N, ratio between numbers of other (non-neuronal) cells and neurons",,O/N,HerculanoHouzel_2015,
Cerebellum,"whole cerebellum (both brain halves), including the deep nuclei",Cerebellum,,HerculanoHouzel_2015,
Cerebral Cortex,"sum of gray matter, subcortical white matter, and including the hippocampus, amygdala and piriform cortex in the two hemispheres",CerebralCortex,,HerculanoHouzel_2015,
Olfactory Bulb,both olfactory bulbs,OlfactoryBulb,,HerculanoHouzel_2015,
RoB,"Rest of brain; the ensemble of brainstem, diencephalon and basal ganglia, for both sides of the brain; olfactory tract included",RoB,,HerculanoHouzel_2015,
Whole Brain,"whole brain (both sides), not including the olfactory bulbs",WholeBrain,,HerculanoHouzel_2015,
