"Original_Term","Reference","Standard_old","DosSantos2017_old","JardimMessender2017_old","Standardized_Term"
"Amygdala_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Amygdala_FractionofBrain"
"Amygdala_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Amygdala_Vol,mm3"
"Amygdala_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Amygdala_Vol,mm3"
"Body mass kg",NA,"Body_Mass_kg",NA,"MBD.kg","Body_Mass,kg"
"Body mass, g","HerculanoHouzel_etal_2015_Table5","Body_Mass_g","MBD",NA,"Body_Mass,g"
"Body mass, g SD","HerculanoHouzel_etal_2015_Table5","Body_Mass_g_SD","",NA,"Body_Mass,g_SD"
"Body_Mass,g","Kverkova_etal_2018_TableS1",NA,NA,NA,"Body_Mass,g"
"Body_Mass,g_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Body_Mass,g"
"Br_C","DosSantos_etal_2020_Table1",NA,NA,NA,"WholeBrain_C,n"
"Br_I","DosSantos_etal_2020_Table1",NA,NA,NA,"WholeBrain_I,n"
"Br_I/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"WholeBrain_I/mg"
"Br_I/N","DosSantos_etal_2020_Table1",NA,NA,NA,"WholeBrain_I/N"
"Br_N","DosSantos_etal_2020_Table1",NA,NA,NA,"WholeBrain_N,n"
"Br_N/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"WholeBrain_N/mg"
"Br_No. of samples","DosSantos_etal_2020_Table1",NA,NA,NA,"WholeBrain_n"
"Br_Structure mass (g)","DosSantos_etal_2020_Table1",NA,NA,NA,"WholeBrain_Mass,g"
"Brain mass, g","HerculanoHouzel_etal_2015_Table5","WholeBrain_Mass_g","MBR","MBR.g","WholeBrain_Mass,g"
"Brain mass, g SD","HerculanoHouzel_etal_2015_Table5","WholeBrain_Mass_g_SD","",NA,"WholeBrain_Mass,g_SD"
"Brain stem_N,n","Kverkova_etal_2018_TableS5",NA,NA,NA,"MesencephalonMedulla_N,n"
"Brain stem_N,n_SD","Kverkova_etal_2018_TableS5",NA,NA,NA,"MesencephalonMedulla_N,n"
"Brain_Mass,g","Kverkova_etal_2018_TableS1",NA,NA,NA,"WholeBrainOlfactoryBulb_Mass,g"
"Brain_Mass,g_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"WholeBrainOlfactoryBulb_Mass,g"
"Cb_C","DosSantos_etal_2020_Table1",NA,NA,NA,"Cerebellum_C,n"
"Cb_I","DosSantos_etal_2020_Table1",NA,NA,NA,"Cerebellum_I,n"
"Cb_I/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"Cerebellum_I/mg"
"Cb_I/N","DosSantos_etal_2020_Table1",NA,NA,NA,"Cerebellum_I/N"
"Cb_N","DosSantos_etal_2020_Table1",NA,NA,NA,"Cerebellum_N,n"
"Cb_N/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"Cerebellum_N/mg"
"Cb_No. of samples","DosSantos_etal_2020_Table1",NA,NA,NA,"Cerebellum_n"
"Cb_Structure mass (g)","DosSantos_etal_2020_Table1",NA,NA,NA,"Cerebellum_Mass,g"
"Cerebellum Mass, g","HerculanoHouzel_etal_2015_Table2","Cerebellum_Mass_g","MCB","MCB.g","Cerebellum_Mass,g"
"Cerebellum Mass, g SD","HerculanoHouzel_etal_2015_Table2","Cerebellum_Mass_g_SD","",NA,"Cerebellum_Mass,g_SD"
"Cerebellum N, n","HerculanoHouzel_etal_2015_Table2","Cerebellum_N_n","NCB","NCB","Cerebellum_N,n"
"Cerebellum N, n SD","HerculanoHouzel_etal_2015_Table2","Cerebellum_N_n_SD","",NA,"Cerebellum_N,n_SD"
"Cerebellum N/mg","HerculanoHouzel_etal_2015_Table2","Cerebellum_Nmg","DNCB","DNCB","Cerebellum_N/mg"
"Cerebellum N/mg SD","HerculanoHouzel_etal_2015_Table2","Cerebellum_Nmg_SD","",NA,"Cerebellum_N/mg_SD"
"Cerebellum O, n","HerculanoHouzel_etal_2015_Table2","Cerebellum_O_n","","OCB","Cerebellum_O,n"
"Cerebellum O, n SD","HerculanoHouzel_etal_2015_Table2","Cerebellum_O_n_SD","",NA,"Cerebellum_O,n_SD"
"Cerebellum O/mg","HerculanoHouzel_etal_2015_Table2","Cerebellum_Omg","",NA,"Cerebellum_O/mg"
"Cerebellum O/mg SD","HerculanoHouzel_etal_2015_Table2","Cerebellum_Omg_SD","",NA,"Cerebellum_O/mg_SD"
"Cerebellum O/N","HerculanoHouzel_etal_2015_Table2","Cerebellum_ON","O/NCB","O/NCB","Cerebellum_O/N"
"Cerebellum O/N SD","HerculanoHouzel_etal_2015_Table2","Cerebellum_ON_SD","",NA,"Cerebellum_O/N_SD"
"Cerebellum Source","HerculanoHouzel_etal_2015_Table2","Cerebellum_Source","",NA,"Cerebellum_Source"
"Cerebellum_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Cerebellum_FractionofBrain"
"Cerebellum_N,n","Kverkova_etal_2018_TableS5",NA,NA,NA,"Cerebellum_N,n"
"Cerebellum_N,n_SD","Kverkova_etal_2018_TableS5",NA,NA,NA,"Cerebellum_N,n"
"Cerebellum_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Cerebellum_Vol,mm3"
"Cerebellum_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Cerebellum_Vol,mm3"
"Cerebral cortex Grey matter N, n",NA,"CerebralCortexGreyMatter_N_n","NGM",NA,"CerebralCortexGrey_N,n"
"Cerebral cortex Grey matter N/mg",NA,"CerebralCortexGreyMatter_Nmg","DNGM",NA,"CerebralCortexGrey_N/mg"
"Cerebral cortex Grey matter O, n",NA,"CerebralCortexGreyMatter_O_n","",NA,"CerebralCortexGrey_O,n"
"Cerebral cortex Grey matter O/N",NA,"CerebralCortexGreyMatter_ON","O/NGM",NA,"CerebralCortexGrey_O/N"
"Cerebral cortex Mass, g","HerculanoHouzel_etal_2015_Table1","CerebralCortex_Mass_g","MCX","MCxT.g","CerebralCortex_Mass,g"
"Cerebral cortex Mass, g SD","HerculanoHouzel_etal_2015_Table1","CerebralCortex_Mass_g_SD","",NA,"CerebralCortex_Mass,g_SD"
"Cerebral cortex N, n","HerculanoHouzel_etal_2015_Table1","CerebralCortex_N_n","NCX","NCxT","CerebralCortex_N,n"
"Cerebral cortex N, n SD","HerculanoHouzel_etal_2015_Table1","CerebralCortex_N_n_SD","",NA,"CerebralCortex_N,n_SD"
"Cerebral cortex N/mg","HerculanoHouzel_etal_2015_Table1","CerebralCortex_Nmg","DNCX","DNCxT","CerebralCortex_N/mg"
"Cerebral cortex N/mg SD","HerculanoHouzel_etal_2015_Table1","CerebralCortex_Nmg_SD","",NA,"CerebralCortex_N/mg_SD"
"Cerebral cortex O, n","HerculanoHouzel_etal_2015_Table1","CerebralCortex_O_n","","OCxT","CerebralCortex_O,n"
"Cerebral cortex O, n SD","HerculanoHouzel_etal_2015_Table1","CerebralCortex_O_n_SD","",NA,"CerebralCortex_O,n_SD"
"Cerebral cortex O/mg","HerculanoHouzel_etal_2015_Table1","CerebralCortex_Omg","",NA,"CerebralCortex_O/mg"
"Cerebral cortex O/mg SD","HerculanoHouzel_etal_2015_Table1","CerebralCortex_Omg_SD","",NA,"CerebralCortex_O/mg_SD"
"Cerebral cortex O/N","HerculanoHouzel_etal_2015_Table1","CerebralCortex_ON","O/NCX","O/NCXT","CerebralCortex_O/N"
"Cerebral cortex O/N SD","HerculanoHouzel_etal_2015_Table1","CerebralCortex_ON_SD","",NA,"CerebralCortex_O/N_SD"
"Cerebral cortex Source","HerculanoHouzel_etal_2015_Table1","CerebralCortex_Source","",NA,"CerebralCortex_Source"
"Clade","HerculanoHouzel_etal_2020_Table1",NA,NA,NA,"Clade"
"Common Name","JardimMesseder_etal_2017_Table1",NA,NA,NA,"CommonName"
"Cortex_N,n","Kverkova_etal_2018_TableS5",NA,NA,NA,"CerebralCortex_N,n"
