"","source","date","number_species","priority"
"1","DosSantos_etal_2020_Table1",2020,32,1
"2","HerculanoHouzel_etal_2020_TABLE1",2020,12,2
"3","HerculanoHouzel_etal_2020_TABLE2",2020,12,3
"4","Kverkova_etal_2018_TableS1",2018,10,4
"5","Kverkova_etal_2018_TableS5",2018,10,5
"6","DosSantos_etal_2017_TableS1",2017,9,6
"7","JardimMesseder_etal_2017_Table1",2017,7,7
"8","HerculanoHouzel_etal_2015_Table2",2015,40,8
"9","HerculanoHouzel_etal_2015_Table1",2015,39,9
"10","HerculanoHouzel_etal_2015_Table3",2015,39,10
"11","HerculanoHouzel_etal_2015_Table5",2015,38,11
"12","HerculanoHouzel_etal_2015_Table4",2015,28,12
