Species,source,area10_all_layers,area10_granular,area10_infragranular,area10_supragranular,area13_all_layers,area13_granular,area13_infragranular,area13_supragranular,area44_all_layers,area44_granular,area44_infragranular,area44_supragranular,area45_all_layers,area45_granular,area45_infragranular,area45_supragranular,area4_M1_all_layers,area4_M1_infragranular,area4_M1_supragranular
Gorilla gorilla,PalomeroGallagher_Zilles_2018_TableS3,,,,,,,,,10.7266,11.142,10.171,12.352,10.7239,12.729,9.857,12.886,,,
Gorilla gorilla,Semendeferi_etal_1998_TABLE4,,,,,14.62,16.71,15.32,12.89,,,,,,,,,,,
Gorilla gorilla,Semendeferi_etal_2001_TABLE3,15.87,17.87,15.05,16.43,,,,,,,,,,,,,,,
Gorilla gorilla,Sherwood_etal_2004_I_Table4,,,,,,,,,,,,,,,,,8.76,8.295,9.575
Homo sapiens,PalomeroGallagher_Zilles_2018_TableS3,,,,,,,,,13.653475,15.548499999999999,13.658750000000001,14.42425,14.0829,15.947,14.47325,14.23775,,,
Homo sapiens,Semendeferi_etal_1998_TABLE4,,,,,14.18,15.09,14.13,13.79,,,,,,,,,,,
Homo sapiens,Semendeferi_etal_2001_TABLE3,15.17,18.04,16.04,14.4,,,,,,,,,,,,,,,
Homo sapiens,Sherwood_etal_2004_I_Table4,,,,,,,,,,,,,,,,,11.65,11.670000000000002,11.059999999999999
Hylobates lar,PalomeroGallagher_Zilles_2018_TableS3,,,,,,,,,9.974,12.461,9.801,10.798,10.7986,13.007,8.453,12.91,,,
Hylobates lar,Semendeferi_etal_1998_TABLE4,,,,,13.33,15.94,13.82,11.61,,,,,,,,,,,
Hylobates lar,Semendeferi_etal_2001_TABLE3,19.8,21.64,19.56,19.43,,,,,,,,,,,,,,,
Macaca fascicularis,PalomeroGallagher_Zilles_2018_TableS3,,,,,,,,,10.63975,12.470500000000001,10.7925,12.514,10.5862,11.689,10.123,12.050666666666666,,,
Macaca fascicularis,Sherwood_etal_2004_I_Table4,,,,,,,,,,,,,,,,,15.58,15.195,15.07
Macaca mulatta,Semendeferi_etal_1998_TABLE4,,,,,18.36,18.73,18.21,18.11,,,,,,,,,,,
Macaca mulatta,Semendeferi_etal_2001_TABLE3,20.34,24.03,19.91,20.16,,,,,,,,,,,,,,,
Pan paniscus,PalomeroGallagher_Zilles_2018_TableS3,,,,,,,,,11.6512,13.528,12.252,11.316,11.8088,13.748,12.526,11.418,,,
Pan paniscus,Semendeferi_etal_1998_TABLE4,,,,,16.98,18.05,16.67,16.66,,,,,,,,,,,
Pan paniscus,Semendeferi_etal_2001_TABLE3,18.17,21.6,16.21,18.95,,,,,,,,,,,,,,,
Pan troglodytes,PalomeroGallagher_Zilles_2018_TableS3,,,,,,,,,13.3518,14.477,13.675,14.379,12.9307,14.025,13.059,13.355,,,
Pan troglodytes,Semendeferi_etal_1998_TABLE4,,,,,18.63,19.37,18.93,17.6,,,,,,,,,,,
Pan troglodytes,Semendeferi_etal_2001_TABLE3,17.52,18.45,17.95,16.69,,,,,,,,,,,,,,,
Pan troglodytes,Sherwood_etal_2004_I_Table4,,,,,,,,,,,,,,,,,13.19,12.75,13.565
Papio anubis,Sherwood_etal_2004_I_Table4,,,,,,,,,,,,,,,,,14.85,15.05,14.195
Pongo pygmaeus,PalomeroGallagher_Zilles_2018_TableS3,,,,,,,,,11.7599,12.597,12.138,13.284,10.9554,11.024,10.006,13.562,,,
Pongo pygmaeus,Semendeferi_etal_1998_TABLE4,,,,,18.55,19.68,18.06,17.9,,,,,,,,,,,
Pongo pygmaeus,Semendeferi_etal_2001_TABLE3,20.1,21.49,19.65,19.81,,,,,,,,,,,,,,,
Pongo pygmaeus,Sherwood_etal_2004_I_Table4,,,,,,,,,,,,,,,,,10.61,10.260000000000002,10.715
