Species,Duty_Factor,Foot_Posture,Gait,Phase,Locomotor_diversity_index,Tool_use,log10_dp3_mm,log10_ip3_mm,log10_mc1_mm,log10_mc2_mm,log10_mc3_mm,log10_mc4_mm,log10_mc5_mm,log10_pp3_mm,log10_pp1_mm,Extractive_foraging_reduced_report_count,Extractive_foraging_report_count,Innovation_reduced_report_count,Innovation_report_count,Social_learning_report_count,Tool_use_reduced_report_count,Tool_use_report_count,Zoological_record_article_count,Journal_search_article_count,log10_dp1_mm,log10_ip2_mm,log10_ip4_mm,log10_pp2_mm,log10_pp4_mm,Arboreal_terrestrial,Intermembral_index,VocalRepertoire,Tool_Manufacture,True_Tool_Use,log10_dp2_mm,peak_workspace,real_size,relative_size,Dexterity,Extractive_foraging,Handedness_index_mean,Handedness_strength_mean,Manipulation_complexity,log10_ip5_mm,log10_pp5_mm,log10_dp4_mm,log10_dp5_mm,CM_connection_inference,CST_termination_grade
Acinonyx jubatus,70,digitigrade,LSLC,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrobates pygmaeus,55.35,plantigrade,LSDC,50.19,1.46311620781614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adapis parisiensis,NA,NA,NA,NA,NA,0,0.597695185925512,1.04805317311561,0.979092900638326,1.18098558078673,1.24204423936955,1.23468597432153,1.14519640611418,1.19117145572856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aepyceros melampus,68,unguligrade,LSLC,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afropithecus turkanensis,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1.45178643552429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ailuropoda melanoleuca,66.04377104,plantigrade,LSLC,20.16835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ailurus fulgens,61.16666667,plantigrade,LSLC,20.41667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcelaphus buselaphus,72.41379310000001,unguligrade,LSLC,18.96552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allenopithecus nigroviridis,NA,NA,NA,NA,NA,0,NA,NA,NA,1.45924166487808,1.47567118832443,1.43328968519503,NA,NA,NA,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocebus trichotis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
