"Species","Value_g","raw_value","raw_unit","Source","first_author","Year","Team","role"
"Panthera leo",155800,"155800","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Panthera leo",155800,"155800","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Lycaon pictus",26300,"26300","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Lycaon pictus",26300,"26300","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Panthera pardus orientalis",52400,"52400","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Panthera pardus orientalis",52400,"52400","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Amblonyx cinereus",3500,"3500","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Amblonyx cinereus",3500,"3500","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Mungos mungo",1300,"1300","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Mungos mungo",1300,"1300","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Caracal caracal",11600,"11600","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Caracal caracal",11600,"11600","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Mustela putorius",1100,"1100","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Mustela putorius",1100,"1100","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Pagophilus groenlandicus",132300,"132300","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Pagophilus groenlandicus",132300,"132300","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Callorhinus ursinus",135900,"135900","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Callorhinus ursinus",135900,"135900","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Procyon lotor",6400,"6400","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Procyon lotor",6400,"6400","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Panthera tigris altaica",161000,"161000","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Panthera tigris altaica",161000,"161000","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Saimiri boliviensis",900,"900","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Saimiri boliviensis",900,"900","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Papio ursinus",31000,"31000","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Papio ursinus",31000,"31000","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Saguinus oedipus",400,"400","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Saguinus oedipus",400,"400","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Leontopithecus rosalia",600,"600","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Leontopithecus rosalia",600,"600","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Papio hamadryas",26000,"26000","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Papio hamadryas",26000,"26000","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Hylobates lar",5500,"5500","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Hylobates lar",5500,"5500","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Callithrix pygmaea",100,"100","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Callithrix pygmaea",100,"100","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Cercopithecus ascanius",4200,"4200","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Cercopithecus ascanius",4200,"4200","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Chlorocebus pygerythrus",5600,"5600","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Chlorocebus pygerythrus",5600,"5600","g","10.1002%2Fcne.24349_Table3.tsv","","","10.1002%2Fcne.24349_Table3.tsv","secondary"
"Daubentonia madagascarensis",2800,"2800","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Perodicticus potto",953.5,"953.5","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Otolemur crassicaudatus",1165,"1165","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Callithrix jacchus",287,"287","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Saguinus oedipus",325,"325","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Aotus trivirgatus",1200,"1200","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Saimiri sciureus",805,"805","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Lagothrix lagothricha",8160,"8160","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Presbytis obscurus",6360,"6360","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Miopithecus talapoin",1460,"1460","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Cercopithecus aethiops",4878,"4878","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Cercopithecus aethiops",3469,"3469","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Cercocebus torquatus",7800,"7800","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Macaca fascicularis",3610,"3610","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Papio anubis",21750,"21750","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Papio hamadryas",17950,"17950","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Papio hamadryas",10000,"10000","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Theropithecus gelada",19410,"19410","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Theropithecus gelada",11690,"11690","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Pan troglodytes",34100,"34100","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Homo sapiens",60000,"60000","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Homo sapiens",60000,"60000","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Lagenorhyncus obliquidens",93000,"93000","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Lagenorhyncus obliquidens",79000,"79000","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Phocoenoides dalli",90000,"90000","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Tursiops truncatus",86000,"86000","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Tursiops truncatus",70500,"70500","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Mus musculus",19.6,"19.6","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Rattus norvegicus",213.5,"213.5","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Rattus norvegicus",211,"211","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Rattus norvegicus",273,"273","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Rattus norvegicus",258,"258","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Cavia porcellus",649.4,"649.4","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Oryctolagus cuniculus",1972,"1972","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Oryctolagus cuniculus",2480,"2480","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Oryctolagus cuniculus",3352,"3352","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
"Oryctolagus cuniculus",3579,"3579","g","10.1006%2Fjhev.1996.0005_Table1.tsv","MacLarnon","1996","MacLarnon","secondary"
