"Species","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Pan troglodytes",37,10,361.719,NA,"","Karl2024(Karl,secondary)=407.5 | deSousa2010(Zilles,primary)=359.5 | deSousa2010(Zilles,primary)=440 | deSousa2010(Zilles,primary)=420 | Bauernfeind2013(Zilles,primary)=374 | Bauernfeind2013(Zilles,primary)=341.2 | Bauernfeind2013(Zilles,primary)=312.9 | Garwicz2009(Garwicz,secondary)=382 | Collins2016(Collins,info)=344 | Collins2016(Collins,info)=344 | Collins2016(Collins,info)=344 | Collins2016(Collins,info)=344 | Collins2016(Collins,info)=344 | Collins2016(Collins,info)=344 | Collins2016(Collins,info)=344 | Collins2016(Collins,info)=344 | deSousa2009(deSousa,secondary)=360 | deSousa2009(deSousa,secondary)=387 | Burger2019(Burger,secondary)=354.81 | Stimpson2015(Stimpson,secondary)=341.2 | Stimpson2015(Stimpson,secondary)=346.6 | Stimpson2015(Stimpson,secondary)=401.8 | Stimpson2015(Stimpson,secondary)=327.8 | Stimpson2015(Stimpson,secondary)=375.5 | Stimpson2015(Stimpson,secondary)=348.1 | Stimpson2015(Stimpson,secondary)=312.9 | Stephan1981(Stephan_collection,primary)=405 | Stephan1981(Stephan_collection,primary)=405 | deSousa2013(Zilles,secondary)=406.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=392.06 | Lewitus2013(Lewitus,secondary)=392.06 | Stephan1970(Stephan_collection,primary)=420 | Stephan1970(Stephan_collection,primary)=420 | Brodmann1913(Brodmann,primary)=295 | Frahm1998(Stephan_collection,secondary)=405"
"Homo sapiens",32,9,1374.7979,NA,"","Karl2024(Karl,secondary)=1336 | deSousa2010(Zilles,primary)=1437 | deSousa2010(Zilles,primary)=1757 | deSousa2010(Zilles,primary)=1270 | deSousa2010(Zilles,primary)=1349 | deSousa2010(Zilles,primary)=1360 | deSousa2010(Zilles,primary)=1046 | deSousa2010(Zilles,primary)=1142 | deSousa2010(Zilles,primary)=1350 | deSousa2010(Zilles,primary)=1216 | deSousa2010(Zilles,primary)=1110 | Bauernfeind2013(Zilles,primary)=1639.6 | Bauernfeind2013(Zilles,primary)=1483 | Bauernfeind2013(Zilles,primary)=1349 | Bauernfeind2013(Zilles,primary)=1320 | Bauernfeind2013(Zilles,primary)=1242 | Garwicz2009(Garwicz,secondary)=1350 | deSousa2009(deSousa,secondary)=1350 | deSousa2009(deSousa,secondary)=1110 | Burger2019(Burger,secondary)=1250.43 | HerculanoHouzel2015(HerculanoHouzel,secondary)=1509 | Stephan1981(Stephan_collection,primary)=1330 | Stephan1981(Stephan_collection,primary)=1330 | deSousa2013(Zilles,secondary)=1303.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=1508.91 | Lewitus2014(Lewitus,secondary)=1300 | Stephan1970(Stephan_collection,primary)=1330 | Stephan1970(Stephan_collection,primary)=1330 | Brodmann1913(Brodmann,primary)=1590 | Brodmann1913(Brodmann,primary)=1327"
"Canis lupus familiaris",22,3,52.9258,NA,"","Schleifenbaum1973(Schleifenbaum,primary)=11.03 | Schleifenbaum1973(Schleifenbaum,primary)=17.25 | Schleifenbaum1973(Schleifenbaum,primary)=27.23 | Schleifenbaum1973(Schleifenbaum,primary)=37.1 | Schleifenbaum1973(Schleifenbaum,primary)=39.17 | Schleifenbaum1973(Schleifenbaum,primary)=58 | Schleifenbaum1973(Schleifenbaum,primary)=73.12 | Schleifenbaum1973(Schleifenbaum,primary)=75.98 | Schleifenbaum1973(Schleifenbaum,primary)=85.41 | Schleifenbaum1973(Schleifenbaum,primary)=8.46 | Schleifenbaum1973(Schleifenbaum,primary)=9.31 | Schleifenbaum1973(Schleifenbaum,primary)=7.97 | Schleifenbaum1973(Schleifenbaum,primary)=15.28 | Schleifenbaum1973(Schleifenbaum,primary)=35.1 | Schleifenbaum1973(Schleifenbaum,primary)=37.33 | Schleifenbaum1973(Schleifenbaum,primary)=59.65 | Schleifenbaum1973(Schleifenbaum,primary)=74.69 | Schleifenbaum1973(Schleifenbaum,primary)=90.25 | Garwicz2009(Garwicz,secondary)=70.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=63.5"
"Gorilla gorilla",20,8,401.7371,NA,"","deSousa2010(Zilles,primary)=376 | deSousa2010(Zilles,primary)=450 | Bauernfeind2013(Zilles,primary)=450 | Bauernfeind2013(Zilles,primary)=420 | Bauernfeind2013(Zilles,primary)=419 | Bauernfeind2013(Zilles,primary)=376 | Garwicz2009(Garwicz,secondary)=500 | deSousa2009(deSousa,secondary)=376 | Burger2019(Burger,secondary)=454.55 | Stephan1981(Stephan_collection,primary)=500 | Stephan1981(Stephan_collection,primary)=500 | deSousa2013(Zilles,secondary)=376 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=477.44 | Lewitus2013(Lewitus,secondary)=477.44 | Stephan1970(Stephan_collection,primary)=465 | Stephan1970(Stephan_collection,primary)=465 | MacLeod2000(MacLeod,secondary)=429.4 | Weaver2001(Weaver,primary)=313.14"
"Macaca mulatta",20,11,81.0883,NA,"","Nudo1995(Nudo,primary)=53.7 | Garwicz2009(Garwicz,secondary)=93.8 | Burger2019(Burger,secondary)=87.99 | Finlay2006(Finlay,primary)=95 | HerculanoHouzel2015(HerculanoHouzel,secondary)=87.35 | Changizi2005(Changizi,primary)=84.64 | Changizi2005(Changizi,primary)=84.64 | Stephan1981(Stephan_collection,primary)=93 | Stephan1981(Stephan_collection,primary)=93 | deSousa2013(Zilles,secondary)=78 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=87.35 | Turner2016(Turner,info)=33.2 | Lewitus2014(Lewitus,secondary)=89.22 | Lewitus2013(Lewitus,secondary)=89.22 | Stephan1970(Stephan_collection,primary)=93 | Stephan1970(Stephan_collection,primary)=93 | Frahm1998(Stephan_collection,secondary)=93 | Weaver2001(Weaver,primary)=79.1"
"Pan paniscus",19,5,342.8886,NA,"","deSousa2010(Zilles,primary)=392 | deSousa2010(Zilles,primary)=324 | deSousa2010(Zilles,primary)=337 | Bauernfeind2013(Zilles,primary)=395 | Bauernfeind2013(Zilles,primary)=337 | Bauernfeind2013(Zilles,primary)=324 | deSousa2009(deSousa,secondary)=324 | Burger2019(Burger,secondary)=329.7 | Stimpson2015(Stimpson,secondary)=353.3 | Stimpson2015(Stimpson,secondary)=337 | Stimpson2015(Stimpson,secondary)=307.4 | Stimpson2015(Stimpson,secondary)=326.7 | Stimpson2015(Stimpson,secondary)=313.2 | Stimpson2015(Stimpson,secondary)=305.1 | Stimpson2015(Stimpson,secondary)=295.7 | deSousa2013(Zilles,secondary)=364.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=332.42"
"Canis lupus",18,2,111.5267,NA,"","Schleifenbaum1973(Schleifenbaum,primary)=13 | Schleifenbaum1973(Schleifenbaum,primary)=75.2 | Schleifenbaum1973(Schleifenbaum,primary)=121.2 | Schleifenbaum1973(Schleifenbaum,primary)=135 | Schleifenbaum1973(Schleifenbaum,primary)=49.2 | Schleifenbaum1973(Schleifenbaum,primary)=102 | Schleifenbaum1973(Schleifenbaum,primary)=152.4 | Schleifenbaum1973(Schleifenbaum,primary)=115.7 | Schleifenbaum1973(Schleifenbaum,primary)=119 | Schleifenbaum1973(Schleifenbaum,primary)=125 | Schleifenbaum1973(Schleifenbaum,primary)=117.4 | Schleifenbaum1973(Schleifenbaum,primary)=121 | Schleifenbaum1973(Schleifenbaum,primary)=132.6 | Schleifenbaum1973(Schleifenbaum,primary)=131.8 | Schleifenbaum1973(Schleifenbaum,primary)=162.4 | Burger2019(Burger,secondary)=130 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Papio cynocephalus anubis",16,2,109.6417,NA,"","xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=173.4 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=165.3 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=159.7 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=173.4 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=165.3 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=159.7 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=173.4 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=165.3 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=159.7 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=173.4 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=165.3 | xml:space=""preserve"">Young2013(xml:space=""preserve"">Young,secondary)=159.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Turner2016(Turner,info)=56.3 | Turner2016(Turner,info)=50"
"Aotus trivirgatus",15,6,17.0658,NA,"","Burger2019(Burger,secondary)=16.04 | Finlay2006(Finlay,primary)=18.2 | HerculanoHouzel2015(HerculanoHouzel,secondary)=15.75 | Changizi2005(Changizi,primary)=16.34 | Changizi2005(Changizi,primary)=16.34 | Stephan1981(Stephan_collection,primary)=17.1 | Stephan1981(Stephan_collection,primary)=17.1 | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=15.73 | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=17.4 | Lewitus2013(Lewitus,secondary)=17.4 | Stephan1970(Stephan_collection,primary)=16 | Stephan1970(Stephan_collection,primary)=16 | Frahm1998(Stephan_collection,secondary)=17.1"
"Callithrix jacchus",15,7,7.1899,NA,"","Nudo1995(Nudo,primary)=5.48 | Burger2019(Burger,secondary)=7.73 | Finlay2006(Finlay,primary)=7.9 | Changizi2005(Changizi,primary)=7.78 | Changizi2005(Changizi,primary)=7.78 | Stephan1981(Stephan_collection,primary)=7.6 | Stephan1981(Stephan_collection,primary)=7.6 | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=7.78 | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=7.61 | Lewitus2013(Lewitus,secondary)=7.61 | Stephan1970(Stephan_collection,primary)=7.6 | Stephan1970(Stephan_collection,primary)=7.6 | Frahm1998(Stephan_collection,secondary)=7.6"
