Original_Term,Reference,Standardized_Term
Species,HerculanoHouzel_etal_2013_Table1-a,Species
Infralimbic_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Infralimbic_N.n
Infralimbic_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Infralimbic_O.n
Infralimbic_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Infralimbic_N.p.mm2
Infralimbic_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Infralimbic_N.p.mm3
Infralimbic_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Infralimbic_Thickness.mm
Cingulate_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Cingulate_N.n
Cingulate_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Cingulate_O.n
Cingulate_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Cingulate_N.p.mm2
Cingulate_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Cingulate_N.p.mm3
Cingulate_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Cingulate_Thickness.mm
Retrosplenial_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Retrosplenial_N.n
Retrosplenial_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Retrosplenial_O.n
Retrosplenial_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Retrosplenial_N.p.mm2
Retrosplenial_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Retrosplenial_N.p.mm3
Retrosplenial_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Retrosplenial_Thickness.mm
Parietal_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Parietal_N.n
Parietal_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Parietal_O.n
Parietal_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Parietal_N.p.mm2
Parietal_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Parietal_N.p.mm3
Parietal_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Parietal_Thickness.mm
Motor_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Motor_N.n
Motor_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Motor_O.n
Motor_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Motor_N.p.mm2
Motor_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Motor_N.p.mm3
Motor_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Motor_Thickness.mm
Frontal_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Frontal_N.n
Frontal_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Frontal_O.n
Frontal_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Frontal_N.p.mm2
Frontal_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Frontal_N.p.mm3
Frontal_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Frontal_Thickness.mm
V2M_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_V2M_N.n
V2M_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_V2M_O.n
V2M_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_V2M_N.p.mm2
V2M_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_V2M_N.p.mm3
V2M_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_V2M_Thickness.mm
V1_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_V1_N.n
V1_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_V1_O.n
V1_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_V1_N.p.mm2
V1_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_V1_N.p.mm3
V1_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_V1_Thickness.mm
V2L_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_V2L_N.n
V2L_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_V2L_O.n
V2L_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_V2L_N.p.mm2
V2L_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_V2L_N.p.mm3
V2L_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_V2L_Thickness.mm
S1limb_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_S1limb_N.n
S1limb_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_S1limb_O.n
S1limb_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_S1limb_N.p.mm2
S1limb_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_S1limb_N.p.mm3
S1limb_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_S1limb_Thickness.mm
S1face_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_S1face_N.n
S1face_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_S1face_O.n
S1face_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_S1face_N.p.mm2
S1face_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_S1face_N.p.mm3
S1face_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_S1face_Thickness.mm
S2_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_S2_N.n
S2_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_S2_O.n
S2_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_S2_N.p.mm2
S2_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_S2_N.p.mm3
S2_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_S2_Thickness.mm
Auditory_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Auditory_N.n
Auditory_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Auditory_O.n
Auditory_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Auditory_N.p.mm2
Auditory_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Auditory_N.p.mm3
Auditory_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Auditory_Thickness.mm
Insula_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Insula_N.n
Insula_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Insula_O.n
Insula_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Insula_N.p.mm2
Insula_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Insula_N.p.mm3
Insula_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Insula_Thickness.mm
Orbital_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Orbital_N.n
Orbital_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Orbital_O.n
Orbital_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Orbital_N.p.mm2
Orbital_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Orbital_N.p.mm3
Orbital_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Orbital_Thickness.mm
Ectorhinal_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Ectorhinal_N.n
Ectorhinal_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Ectorhinal_O.n
Ectorhinal_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Ectorhinal_N.p.mm2
Ectorhinal_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Ectorhinal_N.p.mm3
Ectorhinal_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Ectorhinal_Thickness.mm
Entorhinal_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Entorhinal_N.n
Entorhinal_O.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Entorhinal_O.n
Entorhinal_N.p.mm2,HerculanoHouzel_etal_2013_Table1-a,Cortex_Entorhinal_N.p.mm2
Entorhinal_N.p.mm3,HerculanoHouzel_etal_2013_Table1-a,Cortex_Entorhinal_N.p.mm3
Entorhinal_Thickness.mm,HerculanoHouzel_etal_2013_Table1-a,Cortex_Entorhinal_Thickness.mm
Piriform_N.n,HerculanoHouzel_etal_2013_Table1-a,Cortex_Piriform_N.n
