Original_Term,Reference,Standardized_Term
Species,Kazu_etal_2014_Table1,Species
n,Kazu_etal_2014_Table1,WholeBrain_n
"Body mass, g",Kazu_etal_2014_Table1,Body_Mass.g
"Brain mass, g",Kazu_etal_2014_Table1,WholeBrain_Mass.g
"Cortex mass, g",Kazu_etal_2014_Table1,CerebralCortex_Mass.g
Cortex neurons,Kazu_etal_2014_Table1,CerebralCortex_N.n
Cortex other cells,Kazu_etal_2014_Table1,CerebralCortex_O.n
"Cerebellum mass, g",Kazu_etal_2014_Table1,Cerebellum_Mass.g
Cerebellum neurons,Kazu_etal_2014_Table1,Cerebellum_N.n
Cerebellum other cells,Kazu_etal_2014_Table1,Cerebellum_O.n
"RoB mass, g",Kazu_etal_2014_Table1,RoB_Mass.g
RoB neurons,Kazu_etal_2014_Table1,RoB_N.n
RoB other cells,Kazu_etal_2014_Table1,RoB_O.n
