Original_Term,Reference,Standardized_Term
Species,Kazu_etal_2015_TABLE1,Species
Species_Kazu2015,Kazu_etal_2015_TABLE1,Species_Kazu2015
n,Kazu_etal_2015_TABLE1,WholeBrain_n
Body_Mass.g,Kazu_etal_2015_TABLE1,Body_Mass.g
WholeBrain_Mass.g,Kazu_etal_2015_TABLE1,WholeBrain_Mass.g
CerebralCortex_Mass.g,Kazu_etal_2015_TABLE1,CerebralCortex_Mass.g
Hippocampus_Mass.g,Kazu_etal_2015_TABLE1,Hippocampus_Mass.g
Cerebellum_Mass.g,Kazu_etal_2015_TABLE1,Cerebellum_Mass.g
RoB_Mass.g,Kazu_etal_2015_TABLE1,RoB_Mass.g
DiencephalonStriatum_Mass.g,Kazu_etal_2015_TABLE1,DiencephalonStriatum_Mass.g
Mesencephalon_Mass.g,Kazu_etal_2015_TABLE1,Mesencephalon_Mass.g
PonsMedulla_Mass.g,Kazu_etal_2015_TABLE1,PonsMedulla_Mass.g
OlfactoryBulb_Mass.g,Kazu_etal_2015_TABLE1,OlfactoryBulb_Mass.g
WholeBrain_N.n,Kazu_etal_2015_TABLE1,WholeBrain_N.n
CerebralCortex_N.n,Kazu_etal_2015_TABLE1,CerebralCortex_N.n
CerebralCortexGrey_N.n,Kazu_etal_2015_TABLE1,CerebralCortexGrey_N.n
Hippocampus_N.n,Kazu_etal_2015_TABLE1,Hippocampus_N.n
Cerebellum_N.n,Kazu_etal_2015_TABLE1,Cerebellum_N.n
RoB_N.n,Kazu_etal_2015_TABLE1,RoB_N.n
DiencephalonStriatum_N.n,Kazu_etal_2015_TABLE1,DiencephalonStriatum_N.n
Mesencephalon_N.n,Kazu_etal_2015_TABLE1,Mesencephalon_N.n
PonsMedulla_N.n,Kazu_etal_2015_TABLE1,PonsMedulla_N.n
OlfactoryBulb_N.n,Kazu_etal_2015_TABLE1,OlfactoryBulb_N.n
CerebralCortex_N.p.mg,Kazu_etal_2015_TABLE1,CerebralCortex_N.p.mg
CerebralCortexGrey_N.p.mg,Kazu_etal_2015_TABLE1,CerebralCortexGrey_N.p.mg
Hippocampus_N.p.mg,Kazu_etal_2015_TABLE1,Hippocampus_N.p.mg
Cerebellum_N.p.mg,Kazu_etal_2015_TABLE1,Cerebellum_N.p.mg
RoB_N.p.mg,Kazu_etal_2015_TABLE1,RoB_N.p.mg
DiencephalonStriatum_N.p.mg,Kazu_etal_2015_TABLE1,DiencephalonStriatum_N.p.mg
Mesencephalon_N.p.mg,Kazu_etal_2015_TABLE1,Mesencephalon_N.p.mg
PonsMedulla_N.p.mg,Kazu_etal_2015_TABLE1,PonsMedulla_N.p.mg
OlfactoryBulb_N.p.mg,Kazu_etal_2015_TABLE1,OlfactoryBulb_N.p.mg
WholeBrain_O.p.N,Kazu_etal_2015_TABLE1,WholeBrain_O.p.N
CerebralCortex_O.p.N,Kazu_etal_2015_TABLE1,CerebralCortex_O.p.N
CerebralCortexGrey_O.p.N,Kazu_etal_2015_TABLE1,CerebralCortexGrey_O.p.N
Hippocampus_O.p.N,Kazu_etal_2015_TABLE1,Hippocampus_O.p.N
Cerebellum_O.p.N,Kazu_etal_2015_TABLE1,Cerebellum_O.p.N
RoB_O.p.N,Kazu_etal_2015_TABLE1,RoB_O.p.N
DiencephalonStriatum_O.p.N,Kazu_etal_2015_TABLE1,DiencephalonStriatum_O.p.N
Mesencephalon_O.p.N,Kazu_etal_2015_TABLE1,Mesencephalon_O.p.N
PonsMedulla_O.p.N,Kazu_etal_2015_TABLE1,PonsMedulla_O.p.N
OlfactoryBulb_O.p.N,Kazu_etal_2015_TABLE1,OlfactoryBulb_O.p.N
body_mass_approximate,Kazu_etal_2015_TABLE1,body_mass_approximate
source_printing,Kazu_etal_2015_TABLE1,source_printing
parse_flags,Kazu_etal_2015_TABLE1,parse_flags
consistency_flags,Kazu_etal_2015_TABLE1,consistency_flags
