Original_Term,Reference,Standardized_Term
Species,Brodmann__1913_Table1,Species
CorticalSurface_1hemisphere.mm2,Brodmann__1913_Table1,CorticalSurface_Area.mm2
Species,Changizi__2001_Figure3,Species
n_areas,Changizi__2001_Figure3,n_cortical_areas
species_sci,Changizi_Shimojo_2005_Table1,Species
areas_shown,Changizi_Shimojo_2005_Table1,n_cortical_areas
Species,Collins_etal_2010_DatasetS1,Species
surface_area_mm2,Collins_etal_2010_DatasetS1,CorticalSurface_Area.mm2_piece
Species,Collins_etal_2016_Table1,Species
area_cm2,Collins_etal_2016_Table1,Surface_Area.cm2_by_structure
Species,Finlay_etal_2006_Table6.1,Species
visual_areas,Finlay_etal_2006_Table6.1,n_visual_areas
somatomotor_areas,Finlay_etal_2006_Table6.1,n_somatomotor_areas
total_areas,Finlay_etal_2006_Table6.1,n_cortical_areas
cortical_area_mm2,Finlay_etal_2006_Table6.1,CorticalSurface_Area.mm2
Species,Krubitzer_Kaas_1990_Table1,Species
Species,Mota_etal_2019_SupplementaryTableS1,Species
AT_mm2,Mota_etal_2019_SupplementaryTableS1,CorticalSurface_Area.mm2
AE_mm2,Mota_etal_2019_SupplementaryTableS1,CorticalExposedSurface_Area.mm2
T_mm,Mota_etal_2019_SupplementaryTableS1,CorticalThickness.mm
species_sci,Mota_Herculano-Houzel_2015_TableS1,Species
AG_own_mm2,Mota_Herculano-Houzel_2015_TableS1,CorticalSurface_Area.mm2
FI_own,Mota_Herculano-Houzel_2015_TableS1,FoldingIndex_MHH
T_own_mm,Mota_Herculano-Houzel_2015_TableS1,CorticalThickness.mm
species,Smaers_etal_2017_TableS1part2,Species
primary_visual_surface,Smaers_etal_2017_TableS1part2,V1_Surface_Area.mm2
prefrontal_surface,Smaers_etal_2017_TableS1part2,Prefrontal_Surface_Area.mm2
other_association_surface,Smaers_etal_2017_TableS1part2,OtherAssociation_Surface_Area.mm2
frontal_motor_surface,Smaers_etal_2017_TableS1part2,FrontalMotor_Surface_Area.mm2
Species,Turner_etal_2016_Table1,Species
Brain surface area cm2,Turner_etal_2016_Table1,CorticalSurface_Area.mm2
Species,Young_etal_2013_Table1,Species
M1_area_mm2,Young_etal_2013_Table1,M1_Surface_Area.mm2
