"source","doi","source_table","taxon_level","species_printed","Species","specimen_id","observation_level","n_specimens","age_class","age_detail","sex","hemisphere","region_printed","region","m1_compatible","layer_printed","layer","layer_status","measure","statistic","value","unit","uncertainty_type","uncertainty_value","n_sampling_locations","sampling_detail","value_basis","source_location","curation_note","merge_default","status"
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer I","I","present","absolute thickness","mean",379,"um","SD",17,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them.",TRUE,"active"
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer II","II","present","absolute thickness","mean",180,"um","SD",33,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them.",TRUE,"active"
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer III","III","present","absolute thickness","mean",516,"um","SD",59,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them.",TRUE,"active"
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer IV","IV","absent","absolute thickness","mean",,"um",,,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed absence (-)","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them; layer IV is explicitly absent in M1.",TRUE,"active"
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer V","V","present","absolute thickness","mean",157,"um","SD",24,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them.",TRUE,"active"
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer VI","VI","present","absolute thickness","mean",359,"um","SD",57,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them.",TRUE,"active"
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Total cortical thickness","total cortex","not applicable","absolute thickness","mean",1591,"um","SD",90,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them.",TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn giraffe","Giraffa camelopardalis","newborn_giraffe_1","single-specimen summary",1,"newborn","1 day old","female","right","Motor cortex","primary motor cortex",TRUE,"Layer I","I","present","absolute thickness","mean",803,"um","SD",74,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn giraffe","Giraffa camelopardalis","newborn_giraffe_1","single-specimen summary",1,"newborn","1 day old","female","right","Motor cortex","primary motor cortex",TRUE,"Layer II","II","present","absolute thickness","mean",203,"um","SD",11,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn giraffe","Giraffa camelopardalis","newborn_giraffe_1","single-specimen summary",1,"newborn","1 day old","female","right","Motor cortex","primary motor cortex",TRUE,"Layer III","III","present","absolute thickness","mean",832,"um","SD",69,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
