"measure","layer","printed_average","unit","arithmetic_mean_of_six_displayed_sheep","printed_minus_arithmetic","note"
"absolute thickness","total cortex",1838,"um",1831.33333333333,6.66666666666674,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"absolute thickness","I",375,"um",380.666666666667,-5.66666666666669,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"absolute thickness","II",169,"um",167.5,1.5,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"absolute thickness","III",596,"um",583.666666666667,12.3333333333334,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"absolute thickness","V",376,"um",373.166666666667,2.83333333333331,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"absolute thickness","VI",322,"um",326.5,-4.5,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"absolute thickness","IV",,"um",,,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"proportional thickness","I",0.204,"proportion",0.207166666666667,-0.00316666666666668,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"proportional thickness","II",0.093,"proportion",0.0923333333333333,0.000666666666666663,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"proportional thickness","III",0.325,"proportion",0.319,0.006,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"proportional thickness","V",0.205,"proportion",0.205833333333333,-0.000833333333333353,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
"proportional thickness","VI",0.173,"proportion",0.175666666666667,-0.00266666666666668,"Retain the printed Average; it may reflect averaging across section-level measurements rather than the six displayed subject summaries."
