Species,Team,upstream_team,source_of_value,Value,reason
Allenopithecus nigroviridis,Powell,Isler,Isler et al. 2008,53.6970457142857,value attributed by its own source column to Isler
Ateles fusciceps,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",107.549,value attributed by its own source column to Isler
Ateles fusciceps,Heldstab,Isler,,107.6,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Ateles geoffroyi,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",103.459,value attributed by its own source column to Isler
Ateles geoffroyi,Heldstab,Isler,,103.5,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Ateles hybridus,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",102.594,value attributed by its own source column to Isler
Cacajao calvus,Powell,Isler,Isler et al. 2008,70.7454545454545,value attributed by its own source column to Isler
Callicebus cupreus,Heldstab,Isler,,17.4,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Callimico goeldii,Heldstab,Isler,,11.1,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Callithrix geoffroyi,Heldstab,Powell,,9.8,source's definitions attribute its ECV to an upstream compilation that Powell already carries for this species
Callithrix jacchus,Heldstab,Isler,,7.4,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Cebus libidinosus,Powell,Isler,Isler et al. 2008,63.6534807918894,value attributed by its own source column to Isler
Cebus nigritus,Powell,Isler,Isler et al. 2008,65.0320399929579,value attributed by its own source column to Isler
Cebus xanthosternos,Powell,Isler,Isler et al. 2008,64.0048194022301,value attributed by its own source column to Isler
Cercocebus atys,Heldstab,Isler,,85.9,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Cercocebus atys,Powell,Isler,Isler et al. 2008,86.8,value attributed by its own source column to Isler
Cercocebus torquatus,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",93.482,value attributed by its own source column to Isler
Cercopithecus diana,Heldstab,Isler,,57.3,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Cercopithecus diana/roloway,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",57.293,value attributed by its own source column to Isler
Cercopithecus hamlyni,Heldstab,Isler,,51.2,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Cercopithecus lhoesti,Heldstab,Isler,,66.5,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Cercopithecus neglectus,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",60.862,value attributed by its own source column to Isler
Cercopithecus neglectus,Powell,Isler,Isler et al. 2008,60.8617817271575,value attributed by its own source column to Isler
Chlorocebus sabaeus,Powell,Isler,Isler et al. 2008,58.662812036859,value attributed by its own source column to Isler
