Species,measure_class,Measure,Units,Value,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,sex_scope,value_min,value_max
Acrobates pygmaeus,endocranial_volume,Endocranial_volume,mL,0.25,1,1,0,False,Seymour,secondary,unknown,0.25,0.25
Aepyprymnus rufescens,endocranial_volume,Endocranial_volume,mL,13.32,1,1,0,False,Seymour,secondary,unknown,13.32,13.32
Allenopithecus nigroviridis,endocranial_volume,Endocranial_volume,mL,58.02,1,1,1,True,Isler,primary,unknown,58.02,58.02
Alouatta belzebul,endocranial_volume,Endocranial_volume,mL,52.84,1,1,1,True,Isler,primary,unknown,52.84,52.84
Alouatta belzebul,endocranial_volume,Endocranial_volume_female,mL,50.943,1,1,0,False,Powell,secondary,female,50.943,50.943
Alouatta caraya,endocranial_volume,Endocranial_volume,mL,52.63,1,1,1,True,Isler,primary,unknown,52.63,52.63
Alouatta caraya,endocranial_volume,Endocranial_volume_female,mL,49.229,1,1,0,False,Powell,secondary,female,49.229,49.229
Alouatta guariba,endocranial_volume,Endocranial_volume,mL,51.7,1,1,1,True,Isler,primary,unknown,51.7,51.7
Alouatta guariba,endocranial_volume,Endocranial_volume_female,mL,48.504,1,1,0,False,Powell,secondary,female,48.504,48.504
Alouatta macconnelli,endocranial_volume,Endocranial_volume,mL,61.33,1,1,1,True,Isler,primary,unknown,61.33,61.33
Alouatta macconnelli,endocranial_volume,Endocranial_volume_female,mL,53.662,1,1,0,False,Powell,secondary,female,53.662,53.662
Alouatta palliata,endocranial_volume,Endocranial_volume,mL,49.88,1,1,1,True,Isler,primary,unknown,49.88,49.88
Alouatta palliata,endocranial_volume,Endocranial_volume_female,mL,48.916,1,1,0,False,Powell,secondary,female,48.916,48.916
Alouatta pigra,endocranial_volume,Endocranial_volume,mL,51.13,1,1,1,True,Isler,primary,unknown,51.13,51.13
Alouatta pigra,endocranial_volume,Endocranial_volume_female,mL,49.175,1,1,0,False,Powell,secondary,female,49.175,49.175
Alouatta sara,endocranial_volume,Endocranial_volume,mL,59.08,1,1,1,True,Isler,primary,unknown,59.08,59.08
Alouatta sara,endocranial_volume,Endocranial_volume_female,mL,56.75,1,1,0,False,Powell,secondary,female,56.75,56.75
Alouatta seniculus,endocranial_volume,Endocranial_volume,mL,55.22,1,1,1,True,Isler,primary,unknown,55.22,55.22
