Species,Endocranial_volume.mL,Endocranial_volume_female.mL
Acrobates pygmaeus,0.25,
Aepyprymnus rufescens,13.32,
Allenopithecus nigroviridis,58.02,
Alouatta belzebul,52.84,50.943
Alouatta caraya,52.63,49.229
Alouatta guariba,51.7,48.504
Alouatta macconnelli,61.33,53.662
Alouatta palliata,49.88,48.916
Alouatta pigra,51.13,49.175
Alouatta sara,59.08,56.75
Alouatta seniculus,55.22,55.289
Aotus azarae,20.67,
Aotus lemurinus,16.3,
Aotus miconax,16.657,
Aotus nancymaae,17.887,
Aotus nigriceps,17.591,
Aotus trivirgatus,16.85,
Aotus vociferans,17.7,
Arctocebus aureus,5.88,
Arctocebus calabarensis,6.92,
Ateles belzebuth,117.02,112.818
Ateles chamek,,110.278
Ateles fusciceps,114.24,107.549
Ateles geoffroyi,105.09,103.459
Ateles hybridus,103.05,102.594
Ateles paniscus,103.85,107.567
Avahi laniger,9.86,
Avahi occidentalis,7.95,
Bettongia lesueur,9.2,
Brachyteles arachnoides,102.043,
Brachyteles sp.,116.72,
Bunopithecus hoolock,110.68,
Cacajao calvus,76.0,
Cacajao melanocephalus,68.77,61.98
Callicebus brunneus,18.0,
Callicebus caligatus,17.25,
Callicebus cupreus,17.63,
Callicebus discolor,17.53,
Callicebus lugens,18.97,
Callicebus medemi,19.44,
Callicebus moloch,15.4,
Callicebus oenanthe,13.9,
Callicebus personatus,20.2,
Callicebus torquatus,19.774,
Callimico goeldii,11.43,
Callithrix argentata,7.95,
Callithrix aurita,8.425,
Callithrix geoffroyi,9.775,
Callithrix jacchus,7.24,
Callithrix kuhlii,7.973,
Callithrix penicillata,7.32,
Callithrix pygmaea,4.17,
Cebus albifrons,67.457,66.004
Cebus capucinus,72.93,69.22
Cebus libidinosus,64.69,
Cebus nigritus,66.977,
Cebus olivaceus,69.84,70.086
Cebus xanthosternos,66.09,
Cercartetus concinnus,0.28,
Cercartetus nanus,0.55,
Cercocebus agilis,116.43,100.969
Cercocebus atys,94.68,
Cercocebus galeritus,99.07,95.337
Cercocebus torquatus,105.99,93.482
Cercopithecus albogularis,70.237,
Cercopithecus ascanius,59.58,56.684
Cercopithecus campbelli,57.39,54.064
Cercopithecus campbelli lowei,,51.186
Cercopithecus cephus,65.26,60.578
Cercopithecus diana,62.61,57.293
Cercopithecus doggetti,65.36,
Cercopithecus erythrotis,65.4,
Cercopithecus hamlyni,65.9,61.867
Cercopithecus lhoesti,74.2,66.127
Cercopithecus lowei,55.64,
Cercopithecus mitis,71.33,65.623
Cercopithecus mona,61.84,56.5
Cercopithecus neglectus,65.97,
Cercopithecus nictitans,71.13,67.83
Cercopithecus petaurista,54.85,52.748
Cercopithecus pogonias,59.56,57.594
Cercopithecus pogonias wolfi,,53.5
Cercopithecus preussi,,62.8
Cercopithecus wolfi,61.45,
Cheirogaleus adipicaudatus,3.04,
Cheirogaleus major,5.81,
Cheirogaleus medius,2.6,
Cheirogaleus sibreei,4.4,
Chiropotes albinasus,57.64,
Chiropotes chiropotes,57.04,
Chiropotes israelita,55.13,
Chiropotes satanas,48.33,
Chlorocebus aethiops,65.0,58.247
Chlorocebus pygerythrus,61.642,59.92
Chlorocebus sabaeus,64.91,
Colobus angolensis,77.7,
Colobus guereza,75.98,72.0
Colobus polykomos,73.83,70.975
Colobus satanas,74.9,
Colobus vellerosus,73.07,70.605
Daubentonia madagascariensis,44.85,
Dendrolagus dorianus,38.0,
Dendrolagus matschiei,29.0,
Erythrocebus patas,97.73,
Eulemur albifrons,21.45,
Eulemur albocollaris,22.1,
Eulemur collaris,22.885,
Eulemur coronatus,20.65,
Eulemur fulvus,25.77,
Eulemur macaco,24.51,
Eulemur mongoz,20.17,
Eulemur rubriventer,26.23,
Eulemur rufus,25.4,
Eulemur sanfordi,21.667,
Euoticus elegantulus,5.53,
Euoticus pallidus,5.19,
Galago cameronensis,5.58,
Galago gabonensis,5.36,
Galago gallarum,4.32,
Galago granti,4.07,
Galago matschiei,4.62,
Galago moholi,3.71,
Galago orinus,2.64,
Galago senegalensis,3.96,
Galago thomasi,3.12,
Galago zanzibaricus,3.51,
Galagoides demidoff,2.65,
Galagoides granti,4.074,
Galagoides thomasi,2.823,
Galagoides zanzibaricus,4.129,
Gorilla beringei,491.27,456.145
Gorilla gorilla,490.41,433.735
Hapalemur alaotrensis,13.8,
Hapalemur griseus,14.09,
Hapalemur occidentalis,14.2,
Hemibelideus lemuroides,3.35,
Homo sapiens,1186.0,1253.3
Hoolock hoolock,108.316,
Hylobates agilis,91.16,
Hylobates albibarbis,84.35,
Hylobates klossii,87.99,
Hylobates lar,102.353,
Hylobates moloch,93.469,
Hylobates muelleri,85.13,
Hylobates pileatus,84.69,
Hylobates syndactylus,120.0,
Indri indri,34.81,
Lagothrix cana,99.34,96.228
Lagothrix lagothricha,96.5,88.218
Lagothrix lugens,,94.8
Lagothrix poeppigii,,86.1
Lasiorhinus latifrons,56.0,
Lemur catta,22.9,
