Species,REM_sleep_pct,Sleep_h_day,SWS_total_pct,USWS_pctTST,Torpor_type,Torpor_Tb_min_C,Torpor_bout_max_h,n_traits
Acomys russatus,NA,NA,NA,NA,DT,25,10,3
Acrobates pygmaeus,NA,NA,NA,NA,HIB,1.6,192,3
Aegotheles cristatus,NA,NA,NA,NA,DT,22.4,10.7,3
Aeronautes saxatalis,NA,NA,NA,NA,DT,20,10,3
Aethomys namaquenesis,NA,NA,NA,NA,DT,18.9,NA,2
Allactaga euphratica,NA,NA,NA,NA,HIB,NA,336,2
Allactaga williamsi,NA,NA,NA,NA,HIB,NA,144,2
Amazilia versicolor,NA,NA,NA,NA,DT,21.8,10.4,3
Amblysomus hottentotus,NA,NA,NA,NA,HIB,8.6,96,3
Antechinomys laniger,NA,NA,NA,NA,DT,11,16,3
Antechinus flavipes,NA,NA,NA,NA,DT,24.5,5.5,3
Antechinus stuartii,NA,NA,NA,NA,DT,19.9,9,3
Aotus trivirgatus,11,16.97,NA,NA,NA,NA,NA,2
Apodemus peninsulae,NA,NA,NA,NA,DT,20,6.5,3
Apus apus,NA,NA,NA,NA,DT,28,5,3
Archilochus alexandri,NA,NA,NA,NA,DT,13.5,NA,2
Artamus cyanopterus,NA,NA,NA,NA,DT,29,12,3
Atelerix algirus,NA,NA,NA,NA,HIB,9.7,168,3
Atelerix frontalis,NA,NA,NA,NA,HIB,1,116,3
Ateles geoffroyi,7,NA,NA,NA,NA,NA,NA,1
Baiomys taylori,NA,NA,NA,NA,DT,22,20,3
Barbastella barbastellus,NA,NA,NA,NA,HIB,NA,NA,1
Blarina brevicauda,NA,14.9,NA,NA,NA,NA,NA,1
Bos taurus,NA,3.19,NA,NA,NA,NA,NA,1
Burramys parvus,NA,NA,NA,NA,HIB,1.8,480,3
Callithrix jacchus,14,NA,NA,NA,NA,NA,NA,1
Callithrix sp.,NA,10.22,NA,NA,NA,NA,NA,1
Calomys musculinus,NA,NA,NA,NA,DT,NA,16,2
Calomys venustus,NA,NA,NA,NA,DT,16.4,8,3
Calypte anna,NA,NA,NA,NA,DT,16,NA,2
Calypte costae,NA,NA,NA,NA,DT,9,NA,2
Caprimulgus europaeus,NA,NA,NA,NA,DT,14,16,3
Caprimulgus guttatus,NA,NA,NA,NA,DT,29.6,NA,2
Caprimulgus tristigma,NA,NA,NA,NA,DT,10.5,15,3
Caprimulgus vociferus,NA,NA,NA,NA,DT,18.5,NA,2
Carollia perspicillata,NA,NA,NA,NA,DT,22,NA,2
Cavia porcellus,NA,9.37,NA,NA,NA,NA,NA,1
Cebus apella,NA,5.95,NA,NA,NA,NA,NA,1
Cercartetus concinnus,NA,NA,NA,NA,HIB,4.7,264,3
Cercartetus lepidus,NA,NA,NA,NA,HIB,5.9,144,3
Cercartetus nanus,NA,NA,NA,NA,HIB,1.3,840,3
Chalinolobus gouldii,NA,NA,NA,NA,HIB,5,NA,2
Cheirogaleus crossleyi,NA,NA,NA,NA,HIB,9,168,3
Cheirogaleus medius,NA,NA,NA,NA,HIB,9.3,1680,3
Chlorocebus pygerythrus,6,NA,NA,NA,NA,NA,NA,1
Chlorocebus sabaeus,9,NA,NA,NA,NA,NA,NA,1
Chordeiles acutipennis,NA,NA,NA,NA,DT,15.7,NA,2
Chordeiles minor,NA,NA,NA,NA,DT,18,NA,2
Chrysuronia oenone,NA,NA,NA,NA,DT,18,NA,2
Clytolaema rubricauda,NA,NA,NA,NA,DT,18,NA,2
Colius castanotus,NA,NA,NA,NA,DT,18,11,3
Colius colius,NA,NA,NA,NA,DT,26,NA,2
Colius striatus,NA,NA,NA,NA,DT,18.2,10,3
Condylura cristata,NA,10.32,NA,NA,NA,NA,NA,1
Corynorhinus rafinesquii,NA,NA,NA,NA,HIB,13.9,NA,2
Cricetus cricetus,NA,NA,NA,NA,HIB,3.6,160,3
Crocidura flavescens,NA,NA,NA,NA,DT,19,NA,2
Crocidura leucodon,NA,NA,NA,NA,DT,18.6,NA,2
Crocidura russula,NA,NA,NA,NA,DT,17.9,3,3
Crocidura suaveolens,NA,NA,NA,NA,DT,21.6,NA,2
Cynomys leucurus,NA,NA,NA,NA,HIB,8,199,3
Cynomys ludovicianus,NA,NA,NA,NA,HIB,15,214,3
Cynomys parvidens,NA,NA,NA,NA,HIB,6,418,3
