accepted_name,candidate_name,candidate_rank,candidate_source,auto_match,family_expected,order_expected,note
Ailurus fulgens,Ailurus fulgens,1,accepted_name,TRUE,Ailuridae,Carnivora,
Alouatta caraya,Alouatta caraya,1,accepted_name,TRUE,Atelidae,Primates,
Alouatta palliata,Alouatta palliata,1,accepted_name,TRUE,Atelidae,Primates,
Alouatta seniculus,Alouatta seniculus,1,accepted_name,TRUE,Atelidae,Primates,
Amblysomus hottentotus,Amblysomus hottentotus,1,accepted_name,TRUE,Chrysochloridae,Afrosoricida,
Antidorcas marsupialis,Antidorcas marsupialis,1,accepted_name,TRUE,Bovidae,Artiodactyla,
Aotus trivirgatus,Aotus trivirgatus,1,accepted_name,TRUE,Aotidae,Primates,
Aotus trivirgatus,Aotus trivirgatua,2,species_key_variant,TRUE,Aotidae,Primates,orthographic variant
Aplodontia rufa,Aplodontia rufa,1,accepted_name,TRUE,Aplodontiidae,Rodentia,
Atelerix algirus,Atelerix algirus,1,accepted_name,TRUE,Erinaceidae,Eulipotyphla,
Atelerix algirus,Erinaceus algirus,2,species_key_variant,TRUE,Erinaceidae,Eulipotyphla,"same epithet, generic reassignment (Erinaceus <-> Atelerix)"
Ateles geoffroyi,Ateles geoffroyi,1,accepted_name,TRUE,Atelidae,Primates,
Ateles sp.,,,none_possible,FALSE,Atelidae,Primates,genus-level placeholder: no single species tip can represent it
Avahi laniger,Avahi laniger,1,accepted_name,TRUE,Indriidae,Primates,
Avahi occidentalis,Avahi occidentalis,1,accepted_name,TRUE,Indriidae,Primates,
Avahi occidentalis,Avahi laniger,2,species_key_variant,FALSE,Indriidae,Primates,different epithet in same genus -- distinct taxon concept unless verified as a senior synonym
Balaenoptera acutorostrata,Balaenoptera acutorostrata,1,accepted_name,TRUE,Balaenopteridae,Artiodactyla,
Bathyergus suillus,Bathyergus suillus,1,accepted_name,TRUE,Bathyergidae,Rodentia,
Blarina brevicauda,Blarina brevicauda,1,accepted_name,TRUE,Soricidae,Eulipotyphla,
Callicebus moloch,Callicebus moloch,1,accepted_name,TRUE,Pitheciidae,Primates,
Callicebus moloch,Plecturocebus moloch,2,mdd_accepted_name,TRUE,Pitheciidae,Primates,Mammal Diversity Database name; Upham 2019 tips follow MDD
Callicebus sp.,,,none_possible,FALSE,Pitheciidae,Primates,genus-level placeholder: no single species tip can represent it
Callimico goeldii,Callimico goeldii,1,accepted_name,TRUE,Cebidae,Primates,
Callithrix jacchus,Callithrix jacchus,1,accepted_name,TRUE,Cebidae,Primates,
Callithrix pygmaea,Callithrix pygmaea,1,accepted_name,TRUE,Cebidae,Primates,
Callithrix pygmaea,Cebuella pygmaea,2,mdd_accepted_name,TRUE,Cebidae,Primates,Mammal Diversity Database name; Upham 2019 tips follow MDD
Canis latrans,Canis latrans,1,accepted_name,TRUE,Canidae,Carnivora,
Canis lupus familiaris,Canis lupus familiaris,1,accepted_name,TRUE,Canidae,Carnivora,
Canis lupus familiaris,Canis lupus,2,subspecies_parent,TRUE,Canidae,Carnivora,subspecies -> parent species: a species-level tree has no subspecies tip
Cardioderma cor,Cardioderma cor,1,accepted_name,TRUE,Megadermatidae,Chiroptera,
Casinycteris argynnis,Casinycteris argynnis,1,accepted_name,TRUE,Pteropodidae,Chiroptera,
Cavia porcellus,Cavia porcellus,1,accepted_name,TRUE,Caviidae,Rodentia,
Cebus albifrons,Cebus albifrons,1,accepted_name,TRUE,Cebidae,Primates,
Cercocebus agilis,Cercocebus agilis,1,accepted_name,TRUE,Cercopithecidae,Primates,
Cercocebus torquatus,Cercocebus torquatus,1,accepted_name,TRUE,Cercopithecidae,Primates,
Cercopithecus ascanius,Cercopithecus ascanius,1,accepted_name,TRUE,Cercopithecidae,Primates,
Cercopithecus ascanius,Cercopithecus ascianus,2,species_key_variant,FALSE,Cercopithecidae,Primates,different epithet in same genus -- distinct taxon concept unless verified as a senior synonym
Cercopithecus mitis,Cercopithecus mitis,1,accepted_name,TRUE,Cercopithecidae,Primates,
Cercopithecus mitis,Cercopithecus kandti,2,species_key_variant,FALSE,Cercopithecidae,Primates,different epithet in same genus -- distinct taxon concept unless verified as a senior synonym
Cercopithecus mitis,Cercopithecus mitus,3,species_key_variant,TRUE,Cercopithecidae,Primates,orthographic variant
Cercopithecus nictitans,Cercopithecus nictitans,1,accepted_name,TRUE,Cercopithecidae,Primates,
Cheirogaleus major,Cheirogaleus major,1,accepted_name,TRUE,Cheirogaleidae,Primates,
Cheirogaleus medius,Cheirogaleus medius,1,accepted_name,TRUE,Cheirogaleidae,Primates,
Chinchilla laniger,Chinchilla laniger,1,accepted_name,TRUE,Chinchillidae,Rodentia,
Chinchilla laniger,Chinchilla lanigera,2,verified_bridge,TRUE,Chinchillidae,Rodentia,lanigera is the correct original spelling
Choloepus didactylus,Choloepus didactylus,1,accepted_name,TRUE,Megalonychidae,Pilosa,
Chrysochloris asiatica,Chrysochloris asiatica,1,accepted_name,TRUE,Chrysochloridae,Afrosoricida,
Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,1,accepted_name,TRUE,Chrysochloridae,Afrosoricida,
Coleura afra,Coleura afra,1,accepted_name,TRUE,Emballonuridae,Chiroptera,
Colobus angolensis,Colobus angolensis,1,accepted_name,TRUE,Cercopithecidae,Primates,
Condylura cristata,Condylura cristata,1,accepted_name,TRUE,Talpidae,Eulipotyphla,
Crocidura flavescens,Crocidura flavescens,1,accepted_name,TRUE,Soricidae,Eulipotyphla,
Crocidura flavescens,Crocidura occidentalis,2,species_key_variant,FALSE,Soricidae,Eulipotyphla,different epithet in same genus -- distinct taxon concept unless verified as a senior synonym
Crocidura hildegardeae,Crocidura hildegardeae,1,accepted_name,TRUE,Soricidae,Eulipotyphla,
Crocidura jacksoni,Crocidura jacksoni,1,accepted_name,TRUE,Soricidae,Eulipotyphla,
Crocidura russula,Crocidura russula,1,accepted_name,TRUE,Soricidae,Eulipotyphla,
Crocuta crocuta,Crocuta crocuta,1,accepted_name,TRUE,Hyaenidae,Carnivora,
Cryptomys hottentotus,Cryptomys hottentotus,1,accepted_name,TRUE,Bathyergidae,Rodentia,
Cryptomys hottentotus natalensis,Cryptomys hottentotus natalensis,1,accepted_name,TRUE,Bathyergidae,Rodentia,
Cryptomys hottentotus natalensis,Cryptomys hottentotus,2,subspecies_parent,TRUE,Bathyergidae,Rodentia,subspecies -> parent species: a species-level tree has no subspecies tip
Cryptomys hottentotus pretoriae,Cryptomys hottentotus pretoriae,1,accepted_name,TRUE,Bathyergidae,Rodentia,
