"ref_column","merge_variable","note"
"Species","","key column"
"Species_Stephan_file","","provenance label"
"Code_number_Stephan","","Stephan specimen code"
"Body_weight","Body_Mass.g","Stephan 1981 body weight, g"
"Brain_weight","Brain_Mass.mg","Stephan 1981 brain weight, mg"
"Ventricles","Ventricles_Vol.mm3",""
"Meninges_hypophysis_nerves_etc","","not carried by the merge"
"Total_brain_net_volume","Total_brain_net_volume_Vol.mm3",""
"Medulla_oblongata","Medulla_oblongata_Vol.mm3",""
"Cerebellum","Cerebellum_Vol.mm3",""
"Mesencephalon","Mesencephalon_Vol.mm3",""
"Diencephalon","Diencephalon_Vol.mm3",""
"Telencephalon","Telencephalon_Vol.mm3",""
"Bulbus_olfactorius","Bulbus_olfactorius_Vol.mm3",""
"Bulbus_olfactorius_accessorius","Bulbus_olfactorius_accessorius_Vol.mm3",""
"Lobus_piriformis","Lobus_piriformis_Vol.mm3",""
"Septum","Septum_Vol.mm3",""
"Striatum","Striatum_Vol.mm3",""
"Schizocortex","Schizo_cortex_Vol.mm3",""
"Hippocampus","Hippocampus_Vol.mm3",""
"NeoWG","Neocortex_Vol.mm3","neocortex white+grey"
"Epithalamus","Epithalamus_Vol.mm3",""
"Thalamus","Thalamus_Vol.mm3",""
"Hypothalamus","Hypothalamus_Vol.mm3",""
"Subthalamus","Subthalamus_Vol.mm3",""
"Pallidum","Pallidum_Vol.mm3",""
"Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",""
"Capsula_interna","Capsula_interna_Vol.mm3",""
"Tractus_opticus","Tractus_opticus_Vol.mm3",""
"Palaeocortex","Palaeocortex_Vol.mm3",""
"Amygdala","Amygdala_Vol.mm3",""
"Complexus_centromedialis","Complexus_centromedialis_Vol.mm3",""
"Nucleus_tractus_olfactorius","Nucleus_tractus_olfactorius_Vol.mm3",""
"Complexus_cortico_basolateralis","Complexus_corticobasolateralis_Vol.mm3",""
"Nucleus_amygdalae_basalis_parsmagnocellularis","Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3",""
"Brainvol","","not carried by the merge"
"NeoG_Frahm","Neocortex_grey_matter_Vol.mm3","Frahm 1982"
"NeoW_Frahm","Neocortex_white_matter_Vol.mm3","Frahm 1982"
"ASG_Sousa","Area_striata_grey_matter_Vol.mm3","BILATERAL (de Sousa publishes 2x-left) - not the _left variable"
"LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3","BILATERAL (de Sousa publishes 2x-left) - not the _left variable"
"Pons","Pons_Vol.mm3",""
"Body_mass","","Bauernfeind body mass - duplicate of Body_weight"
"Brain_mass","","Bauernfeind brain mass - duplicate of Brain_weight"
"Brain_volume","","not carried by the merge"
"Granular_volume_L","Granular_insular_cortex_left_Vol.mm3","Bauernfeind, LEFT"
"Dysgranular_volume_L","Dysgranular_insular_cortex_left_Vol.mm3","Bauernfeind, LEFT"
"Agranular_volume_L","Agranular_insular_cortex_left_Vol.mm3","Bauernfeind, LEFT"
"FI_volume_L","fronto_insular_cortex_left_Vol.mm3","Bauernfeind, LEFT"
"Total_insula_volume_L","Insula_left_Vol.mm3","Bauernfeind, LEFT"
"Number.of.individuals.vestibular.complex","","sample size, not a measurement"
"Complexus.vestibularis","Complexus_vestibularis_unilateral_Vol.mm3","Matano, one side"
"Nucleus.vestibularis.superior","Nucleus_vestibularis_superior_unilateral_Vol.mm3","Matano, one side"
"Nucleus.vestibularis.lateralis","Nucleus_vestibularis_lateralis_unilateral_Vol.mm3","Matano, one side"
"Nucleus.vestibularis.medialis","Nucleus_vestibularis_medialis_unilateral_Vol.mm3","Matano, one side"
"Nucleus.vestibularis.descendens","Nucleus_vestibularis_descendens_unilateral_Vol.mm3","Matano, one side"
"Number.of.individuals.periventrucular","","sample size, not a measurement"
"Nucleus.septalis.triangularis","Nucleus_septalis_triangularis_Vol.mm3",""
"Corpus.subfornicale","Corpus_subfornicale_Vol.mm3",""
"Nucleus.habenularis.medialis","Nucleus_habenularis_medialis_Vol.mm3",""
"Corpus.pineale","Corpus_pineal_Vol.mm3",""
"Corpus.subcommissurale","Corpus_subcommissurale_Vol.mm3",""
"Prefrontal.Gray","PrefrontalCortex_grey_matter_Vol.mm3","Smaers 2017 - SKIPPED in the merge (= Smaers 2011)"
"Other.cortical.association.areas.Gray","AssociationCortex_grey_matter_Vol.mm3","Smaers 2017 - SKIPPED (derived residual)"
"Frontal.motor.Gray","FrontalMotor_grey_matter_Vol.mm3","Smaers 2017; reference is cm3, merge mm3"
"Primary.visual.White.Smaers","Area_striata_white_matter_Vol.mm3","Smaers 2017 - SKIPPED (= Frahm 1984); reference is cm3"
"Prefrontal.White","PrefrontalCortex_white_matter_Vol.mm3","Smaers 2017 - SKIPPED in the merge (= Smaers 2011)"
"Other.cortical.association.areas.White","AssociationCortex_white_matter_Vol.mm3","Smaers 2017 - SKIPPED (derived residual)"
"Frontal.motor","FrontalMotor_white_matter_Vol.mm3","Smaers 2017 WHITE; reference is cm3, merge mm3"
"order","","row order"
"Species_Matano1985a","","provenance label"
"code_Matano1985a","","Matano code"
"Body_weight_1985a","","Matano 1985a body weight - duplicate of Body_weight"
"Cerebellar_nuclei_total","Cerebellar_nuclei_total_Vol.mm3",""
"Interpositus_cerebellar_nuclei","Interpositus_cerebellar_nuclei_Vol.mm3",""
"Lateral_cerebellar_nuclei","Lateral_cerebellar_nuclei_Vol.mm3",""
"Medial_cerebellar_nuclei","Medial_cerebellar_nuclei_Vol.mm3",""
"Number_cerebellar_nuclei","","sample size, not a measurement"
